Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
"Рынок, технологии и методы оценки эффективности современных многофункциональных присадок к дизельному топливу","Савеленко Всеволод Дмитриевич, Ершов Михаил Александрович, Махова Ульяна Александровна, Махмудова Алиса Эдуардовна, Овчинников Кирилл Александрович, Никулин Михаил Владимирович, Подлеснова Екатерина Витальевна , Низовцев Алексей Вадимович, Тимофеева Татьяна Викторовна, Ковригина Кристина Алексеевна, Решетов Михаил Сергеевич",НефтеГазоХимия,2023,Химические технологии,"топливо, дизельное топливо, многофункциональные присадки","fuel, diesel fuel, multifunctional additives","В статье представлен обзор составов многофункциональных пакетов присадок (МФП) к дизельным топливам, а также методов оценки их функциональной эффективности. Анализ принципиального состава МФП был проведен путем изучения маркетинговых заявлений ведущих производителей брендовых дизельных топлив и присадок, а также на основании патентной документации. По итогам анализа были определены основные ключевые компоненты данных пакетов, их механизм функционального действия, а также принципиальные структуры активных соединений.","Савеленко Всеволод Дмитриевич, Ершов Михаил Александрович, Махова Ульяна Александровна, Махмудова Алиса Эдуардовна, Овчинников Кирилл Александрович, Никулин Михаил Владимирович, Подлеснова Екатерина Витальевна, Низовцев Алексей Вадимович, Тимофеева Татьяна Викторовна, Ковригина Кристина Алексеевна, Решетов Михаил Сергеевич Рынок, технологии и методы оценки эффективности современных многофункциональных присадок к дизельному топливу // НефтеГазоХимия. 2023. №2. URL: https://cyberleninka.ru/article/n/rynok-tehnologii-i-metody-otsenki-effektivnosti-sovremennyh-mnogofunktsionalnyh-prisadok-k-dizelnomu-toplivu (дата обращения: 02.11.2024).","Савеленко Всеволод Дмитриевич, Ершов Михаил Александрович, Махова Ульяна Александровна, Махмудова Алиса Эдуардовна, Овчинников Кирилл Александрович, Никулин Михаил Владимирович, Подлеснова Екатерина Витальевна , Низовцев Алексей Вадимович, Тимофеева Татьяна Викторовна, Ковригина Кристина Алексеевна, & Решетов Михаил Сергеевич (2023). Рынок, технологии и методы оценки эффективности современных многофункциональных присадок к дизельному топливу. НефтеГазоХимия,  (2), 34-44. doi: 10.24412/2310-8266-2023-2-34-44",https://cyberleninka.ru/article/n/rynok-tehnologii-i-metody-otsenki-effektivnosti-sovremennyh-mnogofunktsionalnyh-prisadok-k-dizelnomu-toplivu
Места дефосфатирования городской сточной жидкости и эффект удаления фосфора реагентами,"Амбросова Г.Т., Матюшенко Е.Н., Синеева Н. В",Вода и экология: проблемы и решения,2017,Химические технологии,"эвтрофирование, дефосфатирование, сточная жидкость, фосфор, реагенты",,"Изложена проблема, существующая в области очистки сточ-ных вод, связанная с эвтрофированием водоемов при сбро-се в них с очищенными стоками остаточных концентраций фосфора. Перечисляются негативные последствия, включая рост водорослей в водоемах, используемых для хозяйствен-но-бытовых целей. Указываются места и причины наиболее интенсивного выделения фосфора в ходе очистки сточной жидкости и обработки осадков. Поступающая на очистные сооружения канализации (ОСК) сточная жидкость имеет несколько источников насыщения фосфором: стоки от жи-лой застройки и промышленных предприятий, иловая вода уплотнителей избыточного активного ила или иловая вода уплотнителей совместного сгущения сырого осадка и избы-точного активного ила, иловая вода уплотнителей промы-того осадка в схемах с метантенками и вакуум-фильтрами, а также иловая вода иловых площадок, фугат центрифуг и фильтрат фильтр-прессов. Приводится сравнительная оцен-ка реагентов, применяемых в настоящее время для извле-чения фосфора, указываются необходимые условия для успешного протекания процесса кристаллизации. Анализи-руются экспериментальные данные с точки зрения возмож-ного их применения на действующих ОСК","Амбросова Г. Т., Матюшенко Е. Н., Синеева Н. В. Места дефосфатирования городской сточной жидкости и эффект удаления фосфора реагентами // Вода и экология: проблемы и решения. 2017. №4 (72). URL: https://cyberleninka.ru/article/n/mesta-defosfatirovaniya-gorodskoy-stochnoy-zhidkosti-i-effekt-udaleniya-fosfora-reagentami (дата обращения: 02.11.2024).","Амбросова Г.Т., Матюшенко Е.Н., & Синеева Н. В (2017). Места дефосфатирования городской сточной жидкости и эффект удаления фосфора реагентами. Вода и экология: проблемы и решения,  (4 (72)), 13-25.",https://cyberleninka.ru/article/n/mesta-defosfatirovaniya-gorodskoy-stochnoy-zhidkosti-i-effekt-udaleniya-fosfora-reagentami
ГИДРОФОБИЗАЦИЯ ТОНКОДИСПЕРСНОГО МЕЛА,"Кривенко Ю.Ю., Везенцев А.И.",Вестник Белгородского государственного технологического университета им. В. Г. Шухова,2021,Химические технологии,"мел, карбонат кальция, наполнитель композиционных материалов, гидрофобизация, адсорбция, десорбция, текстурные характеристики",,"Природный мел является широко используемым функциональным наполнителем композиционных материалов, применяемым во многих отраслях промышленности. Развитие углубленных исследований физико-химических свойств гидрофобного мела, безусловно, способствует расширению областей применения этого ценного материала. Анализ научно-технической литературы показал, что на данный момент отсутствуют исследования параметров пористой структуры и текстурных показателей природного мела различного гранулометрического состава, тем более гидрофобизированного жирными карбоновыми кислотами. В работе представлены результаты химического и минералогического анализов мела, данные по дифференциальному распределению частиц, степени гидрофобности и исследованию текстурных характеристик природного и гидрофобизированного тонкодисперсного мела. Проведена оценка влияния способа измельчения на гранулометрический состав и выявление совокупного влияния способа измельчения и гидрофобизации на текстурные характеристики мела. Установлено, что обработка поверхности частиц мела влияет на процесс адсорбции газообразного азота.","Кривенко Ю. Ю., Везенцев А. И. ГИДРОФОБИЗАЦИЯ ТОНКОДИСПЕРСНОГО МЕЛА // Вестник БГТУ имени В. Г. Шухова. 2021. №6. URL: https://cyberleninka.ru/article/n/gidrofobizatsiya-tonkodispersnogo-mela (дата обращения: 02.11.2024).","Кривенко Ю.Ю., & Везенцев А.И. (2021). ГИДРОФОБИЗАЦИЯ ТОНКОДИСПЕРСНОГО МЕЛА. Вестник Белгородского государственного технологического университета им. В. Г. Шухова,  (6), 63-70.",https://cyberleninka.ru/article/n/gidrofobizatsiya-tonkodispersnogo-mela
Технико-экономический анализ высокотемпературной переработки кислых гудронов в расплавленной среде,"Шовкопляс Ю. А., Гликин М. А., Тарасов В. Ю.",Восточно-Европейский журнал передовых технологий,2014,Химические технологии,"кислый гудрон, расплав, окисление, каталитическая доочистка дымовых газов","acid sludge, melt, oxidation, catalytic flue gas final purification","Рассмотрено состояние переработки техногенных отходов, в частности кислых гудронов. Сделан анализ возможного химического состава органической части кислого гудрона. Предложен метод переработки кислых гудронов в жидком высокотемпературном теплоносителе. Показана перспективность автономных передвижных установок, перерабатывающих отходы 2-го класса опасности высокотемпературным окислением и каталитической доочисткой дымовых газов с получением электрической энергии и сульфатов","Шовкопляс Ю. А., Гликин М. А., Тарасов В. Ю. Технико-экономический анализ высокотемпературной переработки кислых гудронов в расплавленной среде // ВЕЖПТ. 2014. №10 (68). URL: https://cyberleninka.ru/article/n/tehniko-ekonomicheskiy-analiz-vysokotemperaturnoy-pererabotki-kislyh-gudronov-v-rasplavlennoy-srede (дата обращения: 02.11.2024).","Шовкопляс, Ю. А., Гликин, М. А., & Тарасов, В. Ю. (2014). Технико-экономический анализ высокотемпературной переработки кислых гудронов в расплавленной среде. Восточно-Европейский журнал передовых технологий, 2 (10 (68)), 41-44.",https://cyberleninka.ru/article/n/tehniko-ekonomicheskiy-analiz-vysokotemperaturnoy-pererabotki-kislyh-gudronov-v-rasplavlennoy-srede
ИСПОЛЬЗОВАНИЕ КАРБОНОВЫХ ФЕРМ ДЛЯ ФИКСАЦИИ УГЛЕКИСЛОГО ГАЗА,"Лазарев Валерий Михайлович, Корнеев Даниил Александрович",Успехи в химии и химической технологии,2021,Химические технологии,"фиксация углерода, глобальное потепление, фотосинтез, карбоновая ферма, парниковый эффект",,"В статье описывается карбоновая ферма, её возможности в использовании для фиксации атмосферного углерода. Так же авторы рассматривают механизм фотосинтеза, как базисный механизм функционирования карбоновой фермы. На основе калориметрического анализа поверхности листа делается вывод об интенсивности процесса фотосинтеза различных растений в отличающихся температурных условиях","Лазарев Валерий Михайлович, Корнеев Даниил Александрович ИСПОЛЬЗОВАНИЕ КАРБОНОВЫХ ФЕРМ ДЛЯ ФИКСАЦИИ УГЛЕКИСЛОГО ГАЗА // Успехи в химии и химической технологии. 2021. №2 (237). URL: https://cyberleninka.ru/article/n/ispolzovanie-karbonovyh-ferm-dlya-fiksatsii-uglekislogo-gaza (дата обращения: 02.11.2024).","Лазарев Валерий Михайлович, & Корнеев Даниил Александрович (2021). ИСПОЛЬЗОВАНИЕ КАРБОНОВЫХ ФЕРМ ДЛЯ ФИКСАЦИИ УГЛЕКИСЛОГО ГАЗА. Успехи в химии и химической технологии, 35 (2 (237)), 7-9.",https://cyberleninka.ru/article/n/ispolzovanie-karbonovyh-ferm-dlya-fiksatsii-uglekislogo-gaza
К ВОПРОСУ О ПРАВОВОМ РЕГУЛИРОВАНИИ РЫНКА УГЛЕРОДНЫХ ЕДИНИЦ: СРАВНИТЕЛЬНО-ПРАВОВОЙ АСПЕКТ,"Хакимова Жанна Александровна, Васильева Алина Александровна",Право и практика,2023,Право,"рынок углеродных единиц, квотирование, парниковый эффект, единицы сокращения выбросов",,"В статье рассматриваются различные правовые способы решения проблемы неопределённости в вопросах квотирования углеродного загрязнения. Данная проблема является актуальной уже на протяжении длительного времени. В связи с этим был принят ряд важных международных документов, включая Рамочную конвенцию ООН об изменении климата (UNCCCN), Киотский Протокол к UNCCCN, и Парижское Соглашение ООН. В России также были предприняты шаги по реализации климатической повестки, в том числе были приняты ФЗ №296 «Об ограничении парниковых выбросов» и ФЗ №34 «О проведении эксперимента с ограничением выбросов парниковых газов». Однако правоприменительная практика в отношении углеродных единиц еще не устоялась.","Хакимова Жанна Александровна, Васильева Алина Александровна К ВОПРОСУ О ПРАВОВОМ РЕГУЛИРОВАНИИ РЫНКА УГЛЕРОДНЫХ ЕДИНИЦ: СРАВНИТЕЛЬНО-ПРАВОВОЙ АСПЕКТ // Право и практика. 2023. №2. URL: https://cyberleninka.ru/article/n/k-voprosu-o-pravovom-regulirovanii-rynka-uglerodnyh-edinits-sravnitelno-pravovoy-aspekt (дата обращения: 02.11.2024).","Хакимова Жанна Александровна, & Васильева Алина Александровна (2023). К ВОПРОСУ О ПРАВОВОМ РЕГУЛИРОВАНИИ РЫНКА УГЛЕРОДНЫХ ЕДИНИЦ: СРАВНИТЕЛЬНО-ПРАВОВОЙ АСПЕКТ. Право и практика,  (2), 127-131. doi: 10.24412/2411-2275-2023-2-127-131",https://cyberleninka.ru/article/n/k-voprosu-o-pravovom-regulirovanii-rynka-uglerodnyh-edinits-sravnitelno-pravovoy-aspekt
Правовое регулирование механизма сдерживания изменения климата в лесном хозяйстве,"Куликова Ольга Валентиновна, Абанина Елена Николаевна",Вестник Саратовской государственной юридической академии,2022,Право,"лес, правовая охрана лесов, пожары, лесное хозяйство.","forest, legal protection of forests, fires, forestry","Введение: в статье рассматриваются направления развития лесного и климатического законодательства и правоприменительной практики в сфере адаптационных мер, применяемых в лесном хозяйстве России. Цель: проанализировать правовые основы и содержание правового механизма сдерживания изменения климата посредством лесохозяйственных мероприятий. Методологическая основа: системно-структурный, формально-юридический методы, метод анализа. Результаты: разработаны авторские предложения о направлениях развития правового регулирования механизма адаптации лесного хозяйства к возможным изменениям климата. Выводы: в качестве возможных путей оперативного реагирования на глобальное изменение климата предложены меры по совершенствованию всех видов лесохозяйственной деятельности с учетом адаптационных целей.","Куликова Ольга Валентиновна, Абанина Елена Николаевна Правовое регулирование механизма сдерживания изменения климата в лесном хозяйстве // Вестник СГЮА. 2022. №5 (148). URL: https://cyberleninka.ru/article/n/pravovoe-regulirovanie-mehanizma-sderzhivaniya-izmeneniya-klimata-v-lesnom-hozyaystve (дата обращения: 02.11.2024).","Куликова Ольга Валентиновна, & Абанина Елена Николаевна (2022). Правовое регулирование механизма сдерживания изменения климата в лесном хозяйстве. Вестник Саратовской государственной юридической академии,  (5 (148)), 251-256. doi: 10.24412/2227-7315-2022-5-251-256",https://cyberleninka.ru/article/n/pravovoe-regulirovanie-mehanizma-sderzhivaniya-izmeneniya-klimata-v-lesnom-hozyaystve
ПРАВОВЫЕ ПОЗИЦИИ ВЕРХОВНОГО СУДА,Марина Николаевна Степанова,"Вестник экономики, управления и права",2023,Право,"правовая позиция верховного суда российской федерации, анализ судебной практики, законность решений судов общей юрисдикции, единство судебной практики","legal position of the supreme court of the russian federation, analysis of judicial practice, legality of decisions of courts of general jurisdiction, unity of judicial practice",Рассматриваются вопросы поддержания единообразия в применении судами законодательства Российской Федерации в целях поддержания и в рамках реализации правомочий Верховным Судом. Устанавливается необходимость изучения правовых позиций Верховного Суда Российской Федерации и их практическую ценность в осуществлении правосудия. Делается вывод о теоретической и практической ценности изучения правовых позиций Верховного Суда Российской Федерации. Правовые позиции Верховного Суда Российской Федерации в правоприменительной практике судов общей юрисдикции являются необходимым средством обеспечения единства судебной практики и повышения эффективности судебного правоприменения в целом.,"Марина Николаевна Степанова ПРАВОВЫЕ ПОЗИЦИИ ВЕРХОВНОГО СУДА // Вестник экономики, управления и права. 2023. №4. URL: https://cyberleninka.ru/article/n/pravovye-pozitsii-verhovnogo-suda (дата обращения: 02.11.2024).","Марина Николаевна Степанова (2023). ПРАВОВЫЕ ПОЗИЦИИ ВЕРХОВНОГО СУДА. Вестник экономики, управления и права, 16 (4), 54-65.",https://cyberleninka.ru/article/n/pravovye-pozitsii-verhovnogo-suda
ВОЗМОЖНОСТИ РАЗВИТИЯ МУНИЦИПАЛИТЕТОВ С УЧЕТОМ НОВОЙ ESG-СТРАТЕГИИ,Осина А. С.,Столыпинский вестник,2021,Право,"esg-стратегия, дальний восток, налоговые сборы, развитие муниципалитетов, зеленая экономика, устойчивое развитие территорий.","esg strategy, the far east, tax revenues, municipal development, green economy, sustainable development.",В статье рассматривается статистика по налоговым сборам Дальневосточного федерального округа (ДФО) Российской Федерации и проводится сравнительный анализ этих поступлений. Также анализируется влияние местных налогов на развитие муниципалитетов в рамках ESG-стратегии.,Осина А. С. ВОЗМОЖНОСТИ РАЗВИТИЯ МУНИЦИПАЛИТЕТОВ С УЧЕТОМ НОВОЙ ESG-СТРАТЕГИИ // Столыпинский вестник. 2021. №5. URL: https://cyberleninka.ru/article/n/vozmozhnosti-razvitiya-munitsipalitetov-s-uchetom-novoy-esg-strategii (дата обращения: 02.11.2024).,"Осина А. С. (2021). ВОЗМОЖНОСТИ РАЗВИТИЯ МУНИЦИПАЛИТЕТОВ С УЧЕТОМ НОВОЙ ESG-СТРАТЕГИИ. Столыпинский вестник, 3 (5).",https://cyberleninka.ru/article/n/vozmozhnosti-razvitiya-munitsipalitetov-s-uchetom-novoy-esg-strategii
ПРАВОВЫЕ ПРОБЛЕМЫ ПРИРОДОПОЛЬЗОВАНИЯ И ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ ПРИ НИЗКОУГЛЕРОДНЫХ ЕДИНИЦАХ,Фарид Муллагалиевич Тюльпанов,"Вестник экономики, управления и права",2023,Право,"«зеленая» экономика, рациональное использование и управление природными ресурсами, направленные на использование углеводородных единиц","«green» economy, rational use and management of natural resources aimed at the use of hydrocarbon units","Рассмотрены проблемные вопросы использования природных ресурсов и их охраны при переходе от “грязной” экономики к “зеленой”, рациональной системе использования при низкоуглеродных единицах. Методы. В статье использован сравнительно-правовой метод научного познания, а также совокупность правовых методов, регулирующих экономические отношения использования природных ресурсов, в частности объектов окружающей среды. Результаты. На основе собранного материала и теоретических положений автором уделяется особое внимание системе человека и природы при использовании низкоуглеродных единиц. Научная новизна. В современных условиях проводятся реформы по усилению контрольно-надзорной деятельности, которая создает основы для развития «зеленой» экономики России, формируя здоровую окружающую среду.","Фарид Муллагалиевич Тюльпанов ПРАВОВЫЕ ПРОБЛЕМЫ ПРИРОДОПОЛЬЗОВАНИЯ И ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ ПРИ НИЗКОУГЛЕРОДНЫХ ЕДИНИЦАХ // Вестник экономики, управления и права. 2023. №4. URL: https://cyberleninka.ru/article/n/pravovye-problemy-prirodopolzovaniya-i-ohrany-okruzhayuschey-sredy-pri-nizkouglerodnyh-edinitsah (дата обращения: 02.11.2024).","Фарид Муллагалиевич Тюльпанов (2023). ПРАВОВЫЕ ПРОБЛЕМЫ ПРИРОДОПОЛЬЗОВАНИЯ И ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ ПРИ НИЗКОУГЛЕРОДНЫХ ЕДИНИЦАХ. Вестник экономики, управления и права, 16 (4), 59-65.",https://cyberleninka.ru/article/n/pravovye-problemy-prirodopolzovaniya-i-ohrany-okruzhayuschey-sredy-pri-nizkouglerodnyh-edinitsah
