Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
ИЗУЧЕНИЕ ФЕРМЕНТОВ МАЛАТ-АСПАРТАТНОЙ ЧЕЛНОЧНОЙ СИСТЕМЫ У ГЕНОТИПОВ ПШЕНИЦЫ,"Гурбанова Улдуза Ахмед, Мирзалиева Минара Адиль",Бюллетень науки и практики,2023,Агробиотехнологии,"пшеница, стресс вызванный засухой",,"Одной из важных проблем сельского хозяйства является снижение продуктивности сортов мягкой пшеницы, выращиваемых на территории Азербайджана, в условиях водного дефицита вызванного климатическими изменениями. В связи с этим засуха, являющийся одним из абиотических стрессовых факторов, способных прямо или косвенно влиять на метаболизм растений, остается активной темой дискуссий в исследованиях, проводимых в этой области в последние десятилетия. Изучена активность ферментов малат-аспартатной челночной системы у растений пшеницы, выращенной в условиях водного дефицита. Установлено, что активность ферментов аспартатаминотрансферазы и НАД-малатдегидрогеназы выше у засухоустойчивых генотипов.","Гурбанова Улдуза Ахмед, Мирзалиева Минара Адиль ИЗУЧЕНИЕ ФЕРМЕНТОВ МАЛАТ-АСПАРТАТНОЙ ЧЕЛНОЧНОЙ СИСТЕМЫ У ГЕНОТИПОВ ПШЕНИЦЫ // Бюллетень науки и практики. 2023. №5. URL: https://cyberleninka.ru/article/n/izuchenie-fermentov-malat-aspartatnoy-chelnochnoy-sistemy-u-genotipov-pshenitsy (дата обращения: 24.10.2024).","Гурбанова Улдуза Ахмед, & Мирзалиева Минара Адиль (2023). ИЗУЧЕНИЕ ФЕРМЕНТОВ МАЛАТ-АСПАРТАТНОЙ ЧЕЛНОЧНОЙ СИСТЕМЫ У ГЕНОТИПОВ ПШЕНИЦЫ. Бюллетень науки и практики, 9 (5), 42-48.",https://cyberleninka.ru/article/n/izuchenie-fermentov-malat-aspartatnoy-chelnochnoy-sistemy-u-genotipov-pshenitsy
ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ТОРФЯНЫХ ЗАЛЕЖАХ РАЗЛИЧНОГО ГЕНЕЗИСА НА БОЛОТАХ СЕВЕРО-ВОСТОКА СРЕДНЕРУССКОЙ ВОЗВЫШЕННОСТИ,Леонова Ольга Андреевна,Известия Тульского государственного университета. Естественные науки,2023,Биологические науки,"запасы углерода, торфяные залежи, болота","carbon stocks, peat deposits, mires","В статье обсуждаются результаты определения запасов углерода в торфяных залежах различного происхождения на болотах Тульской области. Показано, что запас углерода зависит от ботанического состава торфов, степени их разложения, мощности торфяных залежей и продолжительности торфообразовательного процесса. Выявленные показатели свидетельствуют о специфике функционирования разных типов болот.",Леонова Ольга Андреевна ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ТОРФЯНЫХ ЗАЛЕЖАХ РАЗЛИЧНОГО ГЕНЕЗИСА НА БОЛОТАХ СЕВЕРО-ВОСТОКА СРЕДНЕРУССКОЙ ВОЗВЫШЕННОСТИ // Известия ТулГУ. Естественные науки. 2023. №1. URL: https://cyberleninka.ru/article/n/otsenka-zapasov-ugleroda-v-torfyanyh-zalezhah-razlichnogo-genezisa-na-bolotah-severo-vostoka-srednerusskoy-vozvyshennosti (дата обращения: 14.11.2024).,"Леонова Ольга Андреевна (2023). ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ТОРФЯНЫХ ЗАЛЕЖАХ РАЗЛИЧНОГО ГЕНЕЗИСА НА БОЛОТАХ СЕВЕРО-ВОСТОКА СРЕДНЕРУССКОЙ ВОЗВЫШЕННОСТИ. Известия Тульского государственного университета. Естественные науки,  (1), 129-138. doi: 10.24412/2071-6176-2023-1-129-138",https://cyberleninka.ru/article/n/otsenka-zapasov-ugleroda-v-torfyanyh-zalezhah-razlichnogo-genezisa-na-bolotah-severo-vostoka-srednerusskoy-vozvyshennosti
КОНТРОЛЬ АВСТРАЛИЙСКОГО ЖЕЛОБЧАТОГО ЧЕРВЕЦА (ICERYA PURCHASI MASKELL) ПРИ ПОМОЩИ ИННОВАЦИОННОГО ОЛИГОНУКЛЕОТИДНОГО ИНСЕКТИЦИДА АВЖЕЧ-11,"Гальчинский Н. В., Усеинов Р. Ж., Новиков И. А., Оберемок В. В.",Экосистемы,2023,Биологические науки,"австралийский желобчатый червец, олигонуклеотидные инсектициды, днк-инсектициды, олинциды, изменение климата, углеродный след, защита растений",icerya purchasi,"Изменение климата создает благоприятные условия для роста популяций насекомых-вредителей. В настоящее время в мире наблюдается увеличение числа вспышек насекомых-вредителей, связанное с многолетним повышением средней температуры климатических систем. Ущерб, наносимый вредителем цитрусовых австралийским желобчатым червецом Icerya purchasi Maskell, в последние годы тоже увеличивается. Борьба с этим видом крайне затруднена, поскольку не все современные химические инсектициды способны контролировать его численность. Кроме этого, использование химических инсектицидов для борьбы с этим вредителем нежелательно, так как плоды цитрусовых употребляют в пищу, а химические средства кумулятивно накапливаются в организме и наносят системный вред здоровью человека. Таким образом, изменение климата вызывает потребность как сельского, так лесного хозяйства в безопасных и эффективных инсектицидах с низким углеродным следом и длительным операционным сроком действия, таких как инсектициды на основе олигонуклеотидов (олигонуклеотидных инсектицидов) - ДНК-инсектицидов, разработанных на основе дезоксирибонуклеиновой кислоты. В этой статье мы впервые демонстрируем успешное использование короткого одноцепочечного фрагмента гена 28S рибосомальной РНК (рРНК), который мы назвали Авжеч-11, для борьбы с австралийским желобчатым червецом и предлагаем использование олигонуклеотидных инсектицидов с нулевым углеродным следом для крупномасштабного внедрения в сельском и лесном хозяйстве.","Гальчинский Н. В., Усеинов Р. Ж., Новиков И. А., Оберемок В. В. КОНТРОЛЬ АВСТРАЛИЙСКОГО ЖЕЛОБЧАТОГО ЧЕРВЕЦА (ICERYA PURCHASI MASKELL) ПРИ ПОМОЩИ ИННОВАЦИОННОГО ОЛИГОНУКЛЕОТИДНОГО ИНСЕКТИЦИДА АВЖЕЧ-11 // Экосистемы. 2023. №33. URL: https://cyberleninka.ru/article/n/kontrol-avstraliyskogo-zhelobchatogo-chervetsa-icerya-purchasi-maskell-pri-pomoschi-innovatsionnogo-oligonukleotidnogo-insektitsida (дата обращения: 14.11.2024).","Гальчинский Н. В., Усеинов Р. Ж., Новиков И. А., & Оберемок В. В. (2023). КОНТРОЛЬ АВСТРАЛИЙСКОГО ЖЕЛОБЧАТОГО ЧЕРВЕЦА (ICERYA PURCHASI MASKELL) ПРИ ПОМОЩИ ИННОВАЦИОННОГО ОЛИГОНУКЛЕОТИДНОГО ИНСЕКТИЦИДА АВЖЕЧ-11. Экосистемы,  (33), 32-37.",https://cyberleninka.ru/article/n/kontrol-avstraliyskogo-zhelobchatogo-chervetsa-icerya-purchasi-maskell-pri-pomoschi-innovatsionnogo-oligonukleotidnogo-insektitsida
"ВЛИЯНИЕ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ НА АРЕАЛЫ БЕСПОЗВОНОЧНЫХ (DIPTERA, MOLLUSKA) ТАВУШСКОЙ ОБЛАСТИ АРМЕНИИ","Оганесян Варужан С., Мирумян Людмила С., Гаспарян Армен С., Аванесян Людмила Г., Шогерян Сирине А., Магомедова Мадина З., Магомедова Патимат Д., Арутюнова Лаура Д.","Юг России: экология, развитие",2023,Биологические науки,"изменение климата, расширение ареала, беспозвоночные, слепни, галлицы, моллюски, тавушская область",,"Цель. Целью работы является изучение видового состава беспозвоночных (Insecta, Molluska) Тавушской области и изменения их ареалов под влиянием климатических условий. Материал и методы. Материалом послужили собственные сборы, проведенные в 2021-2022 гг. в разных пунктах Тавушской области Армении, а также коллекции беспозвоночных Института зоологии НЦЗГЭ. Сбор и определение двукрылых насекомых и моллюсков проводился по общепринятым методикам. Работа выполнена в Институте зоологии НЦЗГЭ. Научный материал хранится в коллекционном фонде НЦ. Результаты. В результате исследований видового состава беспозвоночных к настоящему времени для Тавушской области приводятся 28 видов слепней (Tabanidae); 27 видов галлиц - фитофагов (Cecidomyiidae), 10 видов моллюсков. В результате изменения климата в сторону потепления, для 6-и видов слепней S. (N.) caucasicus , Ch. (H.) f. flavipes , Ch. ludens , T. unifasciatus , T. indrae vappa , T. miki ; 4-х видов галлиц - фитофагов - A. verbasci , D. tortrix , S. euphorbiae , R. terminalis; 1-го вида моллюска H. buchi отмечены новые локалитеты. Указанные виды расширили ареал обитания: у слепней наблюдаются изменения ареала по вертикальной зональности. Заключение. В результате проведенных исследований выявлено, что в связи с изменением климата, ареалы некоторых видов беспозвоночных - слепней, галлиц - фитофагов, моллюсков по сравнению с данными прошлых лет, расширились. Все виды, у которых наблюдается прямая зависимость изменения ареала от климатических условий могут в дальнейшем рассматриваться как биондикаторы на изменения климата.","Оганесян Варужан С., Мирумян Людмила С., Гаспарян Армен С., Аванесян Людмила Г., Шогерян Сирине А., Магомедова Мадина З., Магомедова Патимат Д., Арутюнова Лаура Д. ВЛИЯНИЕ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ НА АРЕАЛЫ БЕСПОЗВОНОЧНЫХ (DIPTERA, MOLLUSKA) ТАВУШСКОЙ ОБЛАСТИ АРМЕНИИ // Юг России: экология, развитие. 2023. №2 (67). URL: https://cyberleninka.ru/article/n/vliyanie-klimaticheskih-izmeneniy-na-arealy-bespozvonochnyh-diptera-molluska-tavushskoy-oblasti-armenii (дата обращения: 14.11.2024).","Оганесян Варужан С., Мирумян Людмила С., Гаспарян Армен С., Аванесян Людмила Г., Шогерян Сирине А., Магомедова Мадина З., Магомедова Патимат Д., & Арутюнова Лаура Д. (2023). ВЛИЯНИЕ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ НА АРЕАЛЫ БЕСПОЗВОНОЧНЫХ (DIPTERA, MOLLUSKA) ТАВУШСКОЙ ОБЛАСТИ АРМЕНИИ. Юг России: экология, развитие, 18 (2 (67)), 15-20.",https://cyberleninka.ru/article/n/vliyanie-klimaticheskih-izmeneniy-na-arealy-bespozvonochnyh-diptera-molluska-tavushskoy-oblasti-armenii
ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ЛЕСНЫХ ПОДСТИЛКАХ РАИФСКОГО УЧАСТКА ВОЛЖСКО-КАМСКОГО ЗАПОВЕДНИКА,"Александрова А.Б., Кулагина В.И., Иванов Д.В., Маланин В.В., Марасов А.А.",Российский журнал прикладной экологии,2023,Биологические науки,"запасы углерода, секвестрация углерода, лесная подстилка, волжско-камский биосферный заповедник",,"Приведены численные характеристики запасов углерода в подстилках разновозрастных лесных фитоценозов Раифского участка Волжско-Камского государственного природного биосферного заповедника. Запасы углерода в подстилках различных типов леса отличаются вариабельностью и в среднем равны: березняки 4.1 тС/га, липняки 4.8 тС/га, сосняки 12.9 тС/га.","Александрова А. Б., Кулагина В. И., Иванов Д. В., Маланин В. В., Марасов А. А. ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ЛЕСНЫХ ПОДСТИЛКАХ РАИФСКОГО УЧАСТКА ВОЛЖСКО-КАМСКОГО ЗАПОВЕДНИКА // Российский журнал прикладной экологии. 2023. №2 (34). URL: https://cyberleninka.ru/article/n/otsenka-zapasov-ugleroda-v-lesnyh-podstilkah-raifskogo-uchastka-volzhsko-kamskogo-zapovednika (дата обращения: 14.11.2024).","Александрова А.Б., Кулагина В.И., Иванов Д.В., Маланин В.В., & Марасов А.А. (2023). ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ЛЕСНЫХ ПОДСТИЛКАХ РАИФСКОГО УЧАСТКА ВОЛЖСКО-КАМСКОГО ЗАПОВЕДНИКА. Российский журнал прикладной экологии,  (2 (34)), 57-62.",https://cyberleninka.ru/article/n/otsenka-zapasov-ugleroda-v-lesnyh-podstilkah-raifskogo-uchastka-volzhsko-kamskogo-zapovednika
ОЦЕНКА ПРИРОДНЫХ КОМПЛЕКСОВ КУНОВАТСКОГО ЗАКАЗНИКА В РАЙОНЕ РЕИНТРОДУКЦИИ СТЕРХА (LEUCOGERANUS LEUCOGERANUS),"Левых Алёна Юрьевна, Замятин Дмитрий Олегович, Моргун Евгения Николаевна",Самарский научный вестник,2023,Биологические науки,"ямало-ненецкий автономный округ, белый журавль стерх, реинтродукция, млекопитающие, птицы, растительность, торфяные почвы, обская западносибирская популяция, сообщество, разнообразие, устойчивость",,"В статье приведены некоторые результаты исследований почв, растительности, состава и структуры населения птиц и млекопитающих в окрестностях стационара «Стерх» на территории Куноватского заказника (подзона северной тайги, Шурышкарский район, Ямало-Ненецкий автономный округ) с целью оценки современного состояния природных комплексов в районе реинтродукции обской популяции исчезающего вида Leucogeranus leucogeranus. Установлено общее соответствие различных компонентов изучаемых природных комплексов зонально-провинциальным ландшафтным, климатическим и биотопическим особенностям данной территории, что указывает на их удовлетворительное состояние и относительную стабильность. В то же время в сообществах индикаторной группы животных - мелких млекопитающих в течение 2 лет выявлено превышение показателя резистентной устойчивости над упругой, свойственное для нарушенных местообитаний или ранних стадий экологических сукцессий, которое может быть обусловлено влиянием локальных пожаров, а также динамичным поёмным режимом изучаемого природно-территориального комплекса. Установлено гнездование в разных частях топяного («стершиного») болота вида Botaurus stellaris, границы гнездового ареала которого ранее проходили значительно южнее. Это свидетельствует о продвижении ареала данного вида в высокие широты и о влиянии глобальных климатических изменений на природные комплексы в историческом гнездовом ареале западносибирской популяции стерха.","Левых Алёна Юрьевна, Замятин Дмитрий Олегович, Моргун Евгения Николаевна ОЦЕНКА ПРИРОДНЫХ КОМПЛЕКСОВ КУНОВАТСКОГО ЗАКАЗНИКА В РАЙОНЕ РЕИНТРОДУКЦИИ СТЕРХА (LEUCOGERANUS LEUCOGERANUS) // СНВ. 2023. №1. URL: https://cyberleninka.ru/article/n/otsenka-prirodnyh-kompleksov-kunovatskogo-zakaznika-v-rayone-reintroduktsii-sterha-leucogeranus-leucogeranus (дата обращения: 14.11.2024).","Левых Алёна Юрьевна, Замятин Дмитрий Олегович, & Моргун Евгения Николаевна (2023). ОЦЕНКА ПРИРОДНЫХ КОМПЛЕКСОВ КУНОВАТСКОГО ЗАКАЗНИКА В РАЙОНЕ РЕИНТРОДУКЦИИ СТЕРХА (LEUCOGERANUS LEUCOGERANUS). Самарский научный вестник, 12 (1), 64-75.",https://cyberleninka.ru/article/n/otsenka-prirodnyh-kompleksov-kunovatskogo-zakaznika-v-rayone-reintroduktsii-sterha-leucogeranus-leucogeranus
"СОСТОЯНИЕ ПЛАНКТОННЫХ И ДОННЫХ СООБЩЕСТВ РАВНИННОЙ РЕКИ УСА (БАССЕЙН СРЕДНЕЙ ВОЛГИ, КУЙБЫШЕВСКОЕ ВОДОХРАНИЛИЩЕ) В УСЛОВИЯХ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ","Т.Д. Зинченко, Э.В. Абросимова, О.Г. Горохова, Л.В. Головатюк, Р.С. Кузнецова, С.Э. Болотов",Экосистемы: экология и динамика,2023,Биологические науки,"река уса, малые реки, планктонные и донные сообщества, таксономическое разнообразие, абиотические факторы, пространственное распределение, экологическое состояние, качество воды","usa river, small rivers, plankton and bottom communities, taxonomic diversity, abiotic factors, spatial distribution, ecological state, water quality, the basin of the kuibyshev reservoir (middle volga basin, russia)","Рассмотрены особенности пространственной и структурной изменчивости планктонных и донных сообществ на участках малой равнинной реки Уса (приток Куйбышевского водохранилища) на фоне комплексных исследований экологического состояния и качества воды в реке. По результатам исследований в 2017-2018 годов выявлен характер пространственного распределения видов сообществ фитопланктона, зоопланктона и макрозообентоса по продольному профилю реки с учетом гидрохимических показателей. Выполнен сравнительный анализ изменения видового богатства планктонных и донных сообществ, оценок экологического состояния участков реки с учетом пространственной изменчивости видового разнообразия и количественных характеристик. По результатам изменений численности и биомассы основных таксономических групп с использованием различных методологических подходов изучения динамики гидробиологических показателей была установлена их нестационарность и существование закономерных трендов в зависимости от гидрологических и гидрохимических факторов. Впервые дана оценка биоразнообразия альгоценозов летнего планктона р. Уса в зависимости от гидрологических условий, антропогенного влияния, изменения содержания биогенных веществ. Установлен 201 таксон альгофлоры рангом ниже рода из 7 отделов водорослей. Доминирующими являются Bacillariophyta (56%) и Chlorophyta (28%). В лимнопланктоне Усинского залива соотношение видов в составе отделов водорослей меняется в сторону возрастания доли зеленых водорослей – Chlorophyta (45%). Доля Cyanoprokaryota изменяется от 4% в реке до 12% в заливе. Установлено, что пространственная динамика структуры альгоценозов в р. Уса характеризуется увеличением видового разнообразия, численности, биомассы, содержания хлорофилла-«а» от истока к устью. Корреляционный анализ выявил наличие достоверных связей (P ≤ 0.05) между скоростью течения, концентрацией хлорофилла-«а», численностью, удельным числом видов и биомассой: r = -0.65, r = -0.69, r = -0.82 и r = -0.79 соответственно. По биомассе и концентрации хлорофилла-«а» трофическое состояние рек в верхнем и среднем течении является олиготрофным, в устьевых участках – олиго-мезотрофным, в Усинском заливе водные массы соответствуют мезотрофному типу. Основным загрязняющим веществом на всем протяжении является концентрация Робщ. (7-18 ПДК), что сопровождается увеличением доли миксотрофных фитофлагеллят – индикаторов органического загрязнения. Возрастание численности и биомассы фитопланктона в 2017 году обусловлено высоким содержанием биогенных элементов N и P. Зоопланктон водной системы р. Уса включает 45 видов, из которых коловраток – 28, ветвистоусых – 13 и веслоногих ракообразных – 4. Состав зоопланктона типичен для водоемов Волжского бассейна, представлен фитофильными и планктобентосными коловратками, ветвистоусыми ракообразными рода Alona. Впервые в зоопланктоне устьевой зоны реки зарегистрирован вид-вселенец – коловратка Kellicottia bostoniensis (Rousselet), обитатель водоемов северных широт. Наибольшие величины обилия зоопланктона отмечены в глубоководном участке река–водохранилище, где численность и биомасса зоопланктона достигают 0.4 тыс. экз./м3 и 5.4 г/м3 с преобладанием Daphnia galeata Sars. Динамичность гидрофизических и гидрологических параметров определяет продольное распределение количественных и структурных показателей сообществ планктонных организмов по типу экоклина в условиях обитания в мезо-эвтрофных водных массах. Установлена пространственная изменчивость планктонных и донных сообществ с учетом локальной биотопической изменчивости, определяемой особенностями геоморфологии ландшафта и закономерным трендом количественных показателей таксоценов биотических сообществ. Оценка качества воды и экологического состояния водотока выполнена с использованием интегральных методов и метрик. Полученные результаты оценки качества воды р. Уса могут быть использованы в качестве эталонных для расчета мультиметрических показателей экологического состояния типологически сходных малых равнинных рек.","Т Д. Зинченко, Э В. Абросимова, О Г. Горохова, Л В. Головатюк, Р С. Кузнецова, С Э. Болотов СОСТОЯНИЕ ПЛАНКТОННЫХ И ДОННЫХ СООБЩЕСТВ РАВНИННОЙ РЕКИ УСА (БАССЕЙН СРЕДНЕЙ ВОЛГИ, КУЙБЫШЕВСКОЕ ВОДОХРАНИЛИЩЕ) В УСЛОВИЯХ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ // Экосистемы: экология и динамика. 2023. №2. URL: https://cyberleninka.ru/article/n/sostoyanie-planktonnyh-i-donnyh-soobschestv-ravninnoy-reki-usa-basseyn-sredney-volgi-kuybyshevskoe-vodohranilische-v-usloviyah (дата обращения: 14.11.2024).","Т.Д. Зинченко, Э.В. Абросимова, О.Г. Горохова, Л.В. Головатюк, Р.С. Кузнецова, & С.Э. Болотов (2023). СОСТОЯНИЕ ПЛАНКТОННЫХ И ДОННЫХ СООБЩЕСТВ РАВНИННОЙ РЕКИ УСА (БАССЕЙН СРЕДНЕЙ ВОЛГИ, КУЙБЫШЕВСКОЕ ВОДОХРАНИЛИЩЕ) В УСЛОВИЯХ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ. Экосистемы: экология и динамика, 7 (2), 137-175.",https://cyberleninka.ru/article/n/sostoyanie-planktonnyh-i-donnyh-soobschestv-ravninnoy-reki-usa-basseyn-sredney-volgi-kuybyshevskoe-vodohranilische-v-usloviyah
НЕКОТОРЫЕ СВЕДЕНИЯ О ГНЕЗДОВАНИИ СТЕПНОГО ОРЛА НА СЕВЕРО-ЗАПАДЕ РЕСПУБЛИКИ КАЛМЫКИИ ПОД ВОЗДЕЙСТВИЕМ КЛИМАТИЧЕСКИХ И АНТРОПОГЕННЫХ ФАКТОРОВ,И.Б. Шаповалова,Проблемы региональной экологии,2023,Биологические науки,"республика калмыкия, динамика, фактор воздействия, степная зона, аридизация, климат, осадки, влажность, антропогенное воздействие, степной орел, гнездование, численность, обилие, популяция, распашка, перевыпас скота, редкие виды, красная книга","the republic of kalmykia, dynamics, impact factor, the steppe zone, aridization, climate, precipitation, humidity, anthropogenic impact, the steppe eagle (aquila nipalensis), nesting, abundance, population, plowing, overgrazing, rare species, the red data book","В работе приведены некоторые дополнительные сведения о встречах и местах гнездования Aquila nipalensis на юге Европейской части России, в степных районах на северо-западе Республики Калмыкии в период 2012—2015 гг. Даны сведения об особенностях экологии и охранном статусе вида. Выявлено влияние антропогенных и природных факторов на численность и успех размножения вида в районе исследований. Установлена связь численности вида с фоновыми климатическими изменениями (осадки, температурный режим, степень аридизации климата). Определены лимитирующие факторы и даны рекомендации по сохранению вида на территории региона.",И Б. Шаповалова НЕКОТОРЫЕ СВЕДЕНИЯ О ГНЕЗДОВАНИИ СТЕПНОГО ОРЛА НА СЕВЕРО-ЗАПАДЕ РЕСПУБЛИКИ КАЛМЫКИИ ПОД ВОЗДЕЙСТВИЕМ КЛИМАТИЧЕСКИХ И АНТРОПОГЕННЫХ ФАКТОРОВ // Проблемы региональной экологии. 2023. №4. URL: https://cyberleninka.ru/article/n/nekotorye-svedeniya-o-gnezdovanii-stepnogo-orla-na-severo-zapade-respubliki-kalmykii-pod-vozdeystviem-klimaticheskih-i (дата обращения: 14.11.2024).,"И.Б. Шаповалова (2023). НЕКОТОРЫЕ СВЕДЕНИЯ О ГНЕЗДОВАНИИ СТЕПНОГО ОРЛА НА СЕВЕРО-ЗАПАДЕ РЕСПУБЛИКИ КАЛМЫКИИ ПОД ВОЗДЕЙСТВИЕМ КЛИМАТИЧЕСКИХ И АНТРОПОГЕННЫХ ФАКТОРОВ. Проблемы региональной экологии,  (4), 11-15. doi: 10.24412/1728-323X-2023-4-11-15",https://cyberleninka.ru/article/n/nekotorye-svedeniya-o-gnezdovanii-stepnogo-orla-na-severo-zapade-respubliki-kalmykii-pod-vozdeystviem-klimaticheskih-i
ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ПОЧВЕ НА ТЕРРИТОРИИ КАРБОНОВОГО ПОЛИГОНА «КАРБОН – ПОВОЛЖЬЕ»,"Александрова Людмила, Гордеев Александр Сергеевич, Бабичук Вячеслав Романович, Курынцева Полина Александровна, Селивановская Светлана Юрьевна",Российский журнал прикладной экологии,2023,Биологические науки,"карбоновый полигон, дерново-подзолистые почвы, запас углерода в почвах, общий углерод, микробный углерод, республика татарстан","carbon polygon, soddy-podzolic soils, carbon reserves in soils, total carbon, microbial carbon, republic of tatarstan","Для разработки технологий снижения эмиссии парниковых газов необходимо иметь представление о накоплении углерода в разных пулах, в частности в почве. В работе проведена оценка содержания общего и микробного углерода, численности бактерий и микромицет в почвах на территории карбонового полигона «Карбон – Поволжье» (Республика Татарстан). Полигон располагается на дерново-подзолистых почвах в подзоне южной тайги с типичным распределением горизонтов. Установлено, что с глубиной содержание общего углерода снижается на 8793%, микробного углерода на 43-51%, содержание бактерий снижается на 99%, микромицет на 99%. Рассчитанный запас общего углерода составляет 48.05±13.86 т/га, микробного углерода – 4.89±1.13 т/га.","Александрова Людмила, Гордеев Александр Сергеевич, Бабичук Вячеслав Романович, Курынцева Полина Александровна, Селивановская Светлана Юрьевна ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ПОЧВЕ НА ТЕРРИТОРИИ КАРБОНОВОГО ПОЛИГОНА «КАРБОН – ПОВОЛЖЬЕ» // Российский журнал прикладной экологии. 2023. №4 (36). URL: https://cyberleninka.ru/article/n/otsenka-zapasov-ugleroda-v-pochve-na-territorii-karbonovogo-poligona-karbon-povolzhie (дата обращения: 14.11.2024).","Александрова Людмила, Гордеев Александр Сергеевич, Бабичук Вячеслав Романович, Курынцева Полина Александровна, & Селивановская Светлана Юрьевна (2023). ОЦЕНКА ЗАПАСОВ УГЛЕРОДА В ПОЧВЕ НА ТЕРРИТОРИИ КАРБОНОВОГО ПОЛИГОНА «КАРБОН – ПОВОЛЖЬЕ». Российский журнал прикладной экологии,  (4 (36)), 12-21. doi: 10.24852/2411-7374.2023.4.12.21",https://cyberleninka.ru/article/n/otsenka-zapasov-ugleroda-v-pochve-na-territorii-karbonovogo-poligona-karbon-povolzhie
ВЗАИМОСВЯЗЬ ФУНКЦИОНАЛЬНЫХ ПРИЗНАКОВ И НАДЗЕМНОЙ БИОМАССЫ РАСТЕНИЙ ТРАВЯНО-КУСТАРНИЧКОВОГО ЯРУСА В ЭКОСИСТЕМЕ КАРБОНОВОГО ПОЛИГОНА,"Сауткин Илья Сергеевич, Кутузова Анастасия Сергеевна",Российский журнал прикладной экологии,2023,Биологические науки,"карбоновый полигон, лесные экосистемы, функциональные признаки растений, травяно-кустарничковый ярус, продуктивность экосистемы","carbon polygon, forest ecosystems, plant functional traits, forest floor, ecosystem productivity","Исследование посвящено взаимосвязям между функциональными признаками листьев, высотой и надземной биомассой растений травяно-кустарничкового яруса лесной экосистемы карбонового полигона в Зеленодольском районе Республики Татарстан. Обнаружена значительная изменчивость функциональных признаков растений на исследованных участках, что может быть связано с такими факторами среды как освещенность, влажность почвы и содержание в ней элементов питания растений. Показано, что через функциональные признаки доминантных видов растений можно охарактеризовать то, как они занимают объем своего яруса. Наличие взаимосвязей между функциональными признаками растений и надземной биомассой подчеркивает их существенное влияние на продуктивность экосистемы. Отмечается необходимость комплексного подхода, учитывающего функциональные характеристики растений различных ярусов.","Сауткин Илья Сергеевич, Кутузова Анастасия Сергеевна ВЗАИМОСВЯЗЬ ФУНКЦИОНАЛЬНЫХ ПРИЗНАКОВ И НАДЗЕМНОЙ БИОМАССЫ РАСТЕНИЙ ТРАВЯНО-КУСТАРНИЧКОВОГО ЯРУСА В ЭКОСИСТЕМЕ КАРБОНОВОГО ПОЛИГОНА // Российский журнал прикладной экологии. 2023. №4 (36). URL: https://cyberleninka.ru/article/n/vzaimosvyaz-funktsionalnyh-priznakov-i-nadzemnoy-biomassy-rasteniy-travyano-kustarnichkovogo-yarusa-v-ekosisteme-karbonovogo (дата обращения: 14.11.2024).","Сауткин Илья Сергеевич, & Кутузова Анастасия Сергеевна (2023). ВЗАИМОСВЯЗЬ ФУНКЦИОНАЛЬНЫХ ПРИЗНАКОВ И НАДЗЕМНОЙ БИОМАССЫ РАСТЕНИЙ ТРАВЯНО-КУСТАРНИЧКОВОГО ЯРУСА В ЭКОСИСТЕМЕ КАРБОНОВОГО ПОЛИГОНА. Российский журнал прикладной экологии,  (4 (36)), 22-29. doi: 10.24852/2411-7374.2023.4.22.29",https://cyberleninka.ru/article/n/vzaimosvyaz-funktsionalnyh-priznakov-i-nadzemnoy-biomassy-rasteniy-travyano-kustarnichkovogo-yarusa-v-ekosisteme-karbonovogo
