Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
ОЦЕНКА ПРИРОДНО-ЛЕЧЕБНЫХ РЕСУРСОВ КАРАЧАЕВО-ЧЕРКЕСИИ,"И.Р. Аджиев, Н.С. Дега",Международный журнал гуманитарных и естественных наук,2024,Биологические науки,"бальнеологические, природные, лечебные ресурсы, рациональное природопользование, лекарственные растения, климат, горные леса, карачаево-черкесская республика","balneological, natural, medical resources, rational nature management, medicinal plants, climate, mountain forests, karachay-cherkess republic","Карачаево-Черкесская Республика отличается уникальными природными, климатическими, бальнеологическими ресурсами. Природно-ресурсный потенциал республики способен возвращать больным здоровье, улучшать работоспособность, хорошее самочувствие. В республике проведены мониторинговые наблюдения по изучению лекарственных растений, собран обширный материал по их химическому составу, ареалам распространения, лечебным свойствам. В настоящее время возникла острая необходимость в решении проблемы сохранения природно-территориальных комплексов, биологического и ландшафтного разнообразия и рационального включения их в туристко-рекреационную и санаторно-курортную отрасли экономики республики.","И Р. Аджиев, Н С. Дега ОЦЕНКА ПРИРОДНО-ЛЕЧЕБНЫХ РЕСУРСОВ КАРАЧАЕВО-ЧЕРКЕСИИ // Международный журнал гуманитарных и естественных наук. 2024. №2-1 (89). URL: https://cyberleninka.ru/article/n/otsenka-prirodno-lechebnyh-resursov-karachaevo-cherkesii (дата обращения: 14.11.2024).","И.Р. Аджиев, & Н.С. Дега (2024). ОЦЕНКА ПРИРОДНО-ЛЕЧЕБНЫХ РЕСУРСОВ КАРАЧАЕВО-ЧЕРКЕСИИ. Международный журнал гуманитарных и естественных наук,  (2-1 (89)), 71-74. doi: 10.24412/2500-1000-2024-2-1-71-74",https://cyberleninka.ru/article/n/otsenka-prirodno-lechebnyh-resursov-karachaevo-cherkesii
ФЕНОЛОГИЯ ВИДОВ РОДА SYRINGA L. КАК ПОКАЗАТЕЛЬ АДАПТАЦИИ И НАТУРАЛИЗАЦИИ В СУБАРКТИЧЕСКИХ УСЛОВИЯХ,"Залывская Ольга Сергеевна, Бабич Николай Алексеевич, Лебедева Ольга Петровна",Лесной вестник / Forestry bulletin,2024,Биологические науки,"интродукция, вегетационный период, фенологические исследования, цветение, плодоношение, зимостойкость","syringa l., introduction, vegetation period, phenological studies, flowering, fruiting, winter hardiness, syringa l.","Одним из важных показателей успешности интродукции видов является сохранение фенологических фаз в условиях изменения климата и сохранение их жизненной формы. Представлены материалы многолетних наблюдений (2009–2021 гг.) за сезонным развитием видов рода Syringa L. Исследования проведены в г. Архангельске (64°33′ c. ш. 40°32′ в. д.). Представлены результаты мониторинга 10 видов сирени дендрологического сада имени И.М. Стратоновича Северного (Арктического) федерального университета имени М.В. Ломоносова: S. vulgaris L., S. velutina Kom., Syringa komarowii C.K. Schneider, S. Henryi C. Schn., S. villosa Vahl., S. zweginzowii Koehne., S. Emodi Wall., S. Wolfi C.K. Schneider., S. josikaea Jacq. f., S. amurensis Rupr. Проанализировано развитие следующих фаз: набухание почек, распускание почек, цветение, плодоношение (первые созревшие плоды, массовое созревание плодов, опадание плодов), осеннее расцвечивание листьев, листопад (начало, массовое и окончание листопада). Выполнен анализ ежегодных изменений погодных условий. Установлено, что ритмы сезонного развития всех сохранившихся сиреней в коллекции дендросада соответствуют климатическим условиям региона произрастания. Различные сроки цветения позволяют использовать отдельные виды Syringa L. в качестве декоративных элементов ландшафтных композиций в озеленении населенных пунктов региона. Выявлено, что большинство видов исследуемого рода показали I балл зимостойкости, что свидетельствует об их адаптации в северных условиях.","Залывская Ольга Сергеевна, Бабич Николай Алексеевич, Лебедева Ольга Петровна ФЕНОЛОГИЯ ВИДОВ РОДА SYRINGA L. КАК ПОКАЗАТЕЛЬ АДАПТАЦИИ И НАТУРАЛИЗАЦИИ В СУБАРКТИЧЕСКИХ УСЛОВИЯХ // Вестник МГУЛ – Лесной вестник. 2024. №1. URL: https://cyberleninka.ru/article/n/fenologiya-vidov-roda-syringa-l-kak-pokazatel-adaptatsii-i-naturalizatsii-v-subarkticheskih-usloviyah (дата обращения: 14.11.2024).","Залывская Ольга Сергеевна, Бабич Николай Алексеевич, & Лебедева Ольга Петровна (2024). ФЕНОЛОГИЯ ВИДОВ РОДА SYRINGA L. КАК ПОКАЗАТЕЛЬ АДАПТАЦИИ И НАТУРАЛИЗАЦИИ В СУБАРКТИЧЕСКИХ УСЛОВИЯХ. Лесной вестник / Forestry bulletin, 28 (1), 39-45. doi: 10.18698/2542-1468-2024-1-39-45",https://cyberleninka.ru/article/n/fenologiya-vidov-roda-syringa-l-kak-pokazatel-adaptatsii-i-naturalizatsii-v-subarkticheskih-usloviyah
ЗООКОМПОНЕНТ ОБЪЁМНЫХ ФРАГМЕНТОВ БИОГЕОЦЕНОЗОВ В ЭКСПОЗИЦИИ МУЗЕЯ ЗЕМЛЕВЕДЕНИЯ МГУ,"Борискин Дмитрий Анатольевич, Конькова Полина Игоревна, Хрисанов Владислав Радомирович",Жизнь Земли,2024,Биологические науки,"музей землеведения мгу, биогеоценоз, животные, биогруппа, музейная экспозиция","earth science museum, msu, biogeocenosis, animals, biogroup, museum displays","В экспозиции отдела «Природные зоны» Музея землеведения МГУ (25 этаж, залы № 18–20) представлено 15 натурных экспонатов сухих объёмных фрагментов биогеоценозов: пятнистой тундры, лесотундры, болот: плоско-бугристого тундрового, олиготрофного верхового и мезотрофного низинного осокового, ельника-зеленомошника, разнотравно-ковыльных и типчаково-ковыльных степей, субтропического горного леса, альпийского луга, полупустыни, пустынь – глинистой, полынно-солянковой и илакового белосаксаульника на грядовых песках, а также саванны. Эти экспонаты демонстрируют взаимодействие основных природных компонентов, характерных для соответствующих климатических условий – почв, флоры и фауны. На основе визуального обследования зоологических экспонатов и исследования их номенклатурно-таксономических изменений в статье даётся характеристика представленных в экспозиции видов животных.","Борискин Дмитрий Анатольевич, Конькова Полина Игоревна, Хрисанов Владислав Радомирович ЗООКОМПОНЕНТ ОБЪЁМНЫХ ФРАГМЕНТОВ БИОГЕОЦЕНОЗОВ В ЭКСПОЗИЦИИ МУЗЕЯ ЗЕМЛЕВЕДЕНИЯ МГУ // Жизнь Земли. 2024. №1. URL: https://cyberleninka.ru/article/n/zookomponent-obyomnyh-fragmentov-biogeotsenozov-v-ekspozitsii-muzeya-zemlevedeniya-mgu (дата обращения: 14.11.2024).","Борискин Дмитрий Анатольевич, Конькова Полина Игоревна, & Хрисанов Владислав Радомирович (2024). ЗООКОМПОНЕНТ ОБЪЁМНЫХ ФРАГМЕНТОВ БИОГЕОЦЕНОЗОВ В ЭКСПОЗИЦИИ МУЗЕЯ ЗЕМЛЕВЕДЕНИЯ МГУ. Жизнь Земли, 46 (1), 90-97.",https://cyberleninka.ru/article/n/zookomponent-obyomnyh-fragmentov-biogeotsenozov-v-ekspozitsii-muzeya-zemlevedeniya-mgu
ИЗУЧЕНИЕ БИОРАЗНООБРАЗИЯ И УСТОЙЧИВОСТИ ПУСТЫННЫХ ЭКОСИСТЕМ: ТЕКУЩИЕ ТРЕНДЫ И БУДУЩИЕ НАПРАВЛЕНИЯ,"Мередов Е.Н. , Алламырадов Г.Г. , Азадова Ай.А.",Вестник науки,2024,Биологические науки,"пустынные экосистемы, биоразнообразие, устойчивость, экологические тренды, исследования","desert ecosystems, biodiversity, sustainability, environmental trends, research","Пустынные экосистемы, представляющие собой уникальные природные среды с экстремальными условиями, являются объектом все возрастающего интереса для исследователей в области экологии. Настоящая статья представляет обзор текущих трендов и будущих направлений изучения биоразнообразия и устойчивости пустынных экосистем. В свете угроз, связанных с изменением климата и антропогенной деятельностью, понимание механизмов адаптации и выживания видов в пустынных условиях становится все более актуальным.","Мередов Е. Н., Алламырадов Г. Г., Азадова Ай А. ИЗУЧЕНИЕ БИОРАЗНООБРАЗИЯ И УСТОЙЧИВОСТИ ПУСТЫННЫХ ЭКОСИСТЕМ: ТЕКУЩИЕ ТРЕНДЫ И БУДУЩИЕ НАПРАВЛЕНИЯ // Вестник науки. 2024. №4 (73). URL: https://cyberleninka.ru/article/n/izuchenie-bioraznoobraziya-i-ustoychivosti-pustynnyh-ekosistem-tekuschie-trendy-i-buduschie-napravleniya (дата обращения: 14.11.2024).","Мередов Е.Н. , Алламырадов Г.Г. , & Азадова Ай.А. (2024). ИЗУЧЕНИЕ БИОРАЗНООБРАЗИЯ И УСТОЙЧИВОСТИ ПУСТЫННЫХ ЭКОСИСТЕМ: ТЕКУЩИЕ ТРЕНДЫ И БУДУЩИЕ НАПРАВЛЕНИЯ. Вестник науки, 3 (4 (73)), 755-760.",https://cyberleninka.ru/article/n/izuchenie-bioraznoobraziya-i-ustoychivosti-pustynnyh-ekosistem-tekuschie-trendy-i-buduschie-napravleniya
Геоэкологический анализ качества среды обитания русской выхухоли (Desmana moschata) на территории Хопёрского заповедника для сохранения её численности,"Рыбалова Мария Михайловна, Межова Лидия Александровна",Известия Саратовского университета. Новая серия. Серия Науки о Земле,2024,Биологические науки,"русская выхухоль, особо охраняемые природные территории, климатический фактор, гидрологический фактор, среда обитания выхухоли, антропогенный фактор","russian muskrat, protected areas, climatic, hydrological factors, muskrat habitat, anthropogenic factor","Основная цель статьи – геоэкологический анализ качестве среды обитания русской выхухоли на территории специализированных охраняемых территорий. На основании собранных статистических показателей на территории Хопёрского государственного природного заповедника проведен корреляционный анализ связи между численностью выхухоли, климатическими и гидрологическими факторами среды её обитания, а также возможном влиянии хищников на численность выхухоли. Выявлены закономерности изменения численности на территории Хопёрского государственного природного заповедника. Определены оптимальные соотношения комфортности среды обитания выхухоли. Доказана необходимость усовершенствования геоэкологического мониторинга русской выхухоли и среды её обитания.","Рыбалова Мария Михайловна, Межова Лидия Александровна Геоэкологический анализ качества среды обитания русской выхухоли (Desmana moschata) на территории Хопёрского заповедника для сохранения её численности // Изв. Сарат. ун-та Нов. сер. Сер. Науки о Земле. 2024. №1. URL: https://cyberleninka.ru/article/n/geoekologicheskiy-analiz-kachestva-sredy-obitaniya-russkoy-vyhuholi-desmana-moschata-na-territorii-hopyorskogo-zapovednika-dlya (дата обращения: 14.11.2024).","Рыбалова Мария Михайловна, & Межова Лидия Александровна (2024). Геоэкологический анализ качества среды обитания русской выхухоли (Desmana moschata) на территории Хопёрского заповедника для сохранения её численности. Известия Саратовского университета. Новая серия. Серия Науки о Земле, 24 (1), 19-25. doi: 10.18500/1819-7663-2024-24-1-19-25",https://cyberleninka.ru/article/n/geoekologicheskiy-analiz-kachestva-sredy-obitaniya-russkoy-vyhuholi-desmana-moschata-na-territorii-hopyorskogo-zapovednika-dlya
ИЗМЕНЕНИЯ РАСТИТЕЛЬНОСТИ В ВОСТОЧНОМ ПРИАЗОВЬЕ В ПОЗДНЕМ ПЛЕЙСТОЦЕНЕ И ГОЛОЦЕНЕ (ПО ПАЛИНОЛОГИЧЕСКИМ ДАННЫМ),Борисова О.К.,Степи Северной Евразии: материалы X международного симпозиума,2024,Биологические науки,"восточное приазовье, пыльцевой анализ, степная растительность, поздний плейстоцен, голоцен","eastern azov sea region, pollen analysis, steppe vegetation, late pleistocene, holocene","Палинологические данные, полученные по пяти разрезам, расположенным в Восточном Приазовье, позволяют заключить, что в течение всего позднего плейстоцена и голоцена эта территория принадлежала к степной зоне. Участие разнотравья в составе степных сообществ и сомкнутость растительности возрастали при потеплении и уменьшении континентальности климата в последнее межледниковье (МИС 5е) и в межстадиальные интервалы валдайской ледниковой эпохи и снижались в криоаридных перигляциальных условиях МИС 2. Роль интразональных лесных сообществ (остепненных сосняков на легких грунтах, байрачных и пойменных лесов, березняков, черноольшаников на участках с повышенным грунтовым увлажнением) была невелика даже в наиболее благоприятных климатических условиях микулинского межледниковья, когда в лесных сообществах принимали участие широколиственные породы (в основном дуб). В межстадиальные потепления валдайской ледниковой эпохи в лесных сообществах встречались древесные породы, ныне распространенные в регионах с континентальным климатом (лиственница, кедровая сосна). Состав пыльцевых спектров и ископаемых флор показывает, что в прибрежной полосе Азовского моря, как и в настоящее время, были широко распространены участки с нарушенным почвенным покровом, в том числе и засоленные. Современная растительность (разнотравно-дерновиннозлаковые степи) сформировалась в течение голоцена при климатических условиях, близких к современным.",Борисова О. К. ИЗМЕНЕНИЯ РАСТИТЕЛЬНОСТИ В ВОСТОЧНОМ ПРИАЗОВЬЕ В ПОЗДНЕМ ПЛЕЙСТОЦЕНЕ И ГОЛОЦЕНЕ (ПО ПАЛИНОЛОГИЧЕСКИМ ДАННЫМ) // Степи Северной Евразии: материалы X международного симпозиума. 2024. №X. URL: https://cyberleninka.ru/article/n/izmeneniya-rastitelnosti-v-vostochnom-priazovie-v-pozdnem-pleystotsene-i-golotsene-po-palinologicheskim-dannym (дата обращения: 14.11.2024).,"Борисова О.К. (2024). ИЗМЕНЕНИЯ РАСТИТЕЛЬНОСТИ В ВОСТОЧНОМ ПРИАЗОВЬЕ В ПОЗДНЕМ ПЛЕЙСТОЦЕНЕ И ГОЛОЦЕНЕ (ПО ПАЛИНОЛОГИЧЕСКИМ ДАННЫМ). Степи Северной Евразии: материалы X международного симпозиума,  (X), 190-196. doi: 10.24412/cl-37200-2024-190-196",https://cyberleninka.ru/article/n/izmeneniya-rastitelnosti-v-vostochnom-priazovie-v-pozdnem-pleystotsene-i-golotsene-po-palinologicheskim-dannym
К ВОПРОСУ КАРТОГРАФИРОВАНИЯ СТЕПНЫХ ЛАНДШАФТОВ ВОРОНЕЖСКОЙ ОБЛАСТИ,"Горбунов А.С., Быковская О.П.",Степи Северной Евразии: материалы X международного симпозиума,2024,Биологические науки,"степной ландшафт, ландшафтная карта, воронежская область","steppe landscape, landscape map, voronezh region","За более чем столетнюю историю изучения степей в Воронежской области так и не была создана карта степной растительности. Для этого существовали как объективные причины – технические и методические сложности геоботанического картографирования крупного региона, т ак и субъективные – заметный исследовательский перекос в сторону изучения флоры в ущерб изучения растительности. На основе данных дистанционного зондирования сверхвысокого разрешения, материалов землеустройства, ландшафтной карты региона авторами была создана карта ареала степного ландшафта Воронежской области с дифференциацией на зонально-климатические, литологические и геоморфологические варианты. Проведенное исследование позволило установить общую площадь степных геосистем в области, различия в распространении по подзонам, физико-географическим районам, основным элементам рельефа. В числе основных факторов, предопределяющих современный ареал степного ландшафта, выступают распространение склонового типа местности и изменение режима грунтового увлажнения территории. Анализ картографического материала показал, что в современных условиях по территории Среднерусской возвышенности степи проникают на север, в то время как по Окско-Донской равнине леса распространяются на юг, что опровергает теорию прямой вертикальной дифференциации равнинных ландшафтов. Экспозиционные различия в распространении степей подтверждают идею предварения зональной растительности на склонах соответствующих экспозиций.","Горбунов А. С., Быковская О. П. К ВОПРОСУ КАРТОГРАФИРОВАНИЯ СТЕПНЫХ ЛАНДШАФТОВ ВОРОНЕЖСКОЙ ОБЛАСТИ // Степи Северной Евразии: материалы X международного симпозиума. 2024. №X. URL: https://cyberleninka.ru/article/n/k-voprosu-kartografirovaniya-stepnyh-landshaftov-voronezhskoy-oblasti (дата обращения: 14.11.2024).","Горбунов А.С., & Быковская О.П. (2024). К ВОПРОСУ КАРТОГРАФИРОВАНИЯ СТЕПНЫХ ЛАНДШАФТОВ ВОРОНЕЖСКОЙ ОБЛАСТИ. Степи Северной Евразии: материалы X международного симпозиума,  (X), 305-310. doi: 10.24412/cl-37200-2024-305-310",https://cyberleninka.ru/article/n/k-voprosu-kartografirovaniya-stepnyh-landshaftov-voronezhskoy-oblasti
ВЛИЯНИЕ ПОТЕПЛЕНИЯ НА ЭКСКЛАВ СТЕПИ В ЮЖНОМ ПОДМОСКОВЬЕ,Зеленская Н.Н.,Степи Северной Евразии: материалы X международного симпозиума,2024,Биологические науки,"изменение климата, эксклав луговой степи, ксерофитизация сообществ, параметры экосистемы, проективное покрытие видов","climate change, meadow steppe exclave, xerophytization of communities, parameters of ecosystem, projective cover of species","Значительные климатические изменения, наблюдаемые в последние десятилетия, возродили интерес к проблеме миграции видов, к истории и возможному изменению границ растительности в целом. Глобальное потепление в настоящее время привело к неравномерному выпадению осадков – увеличению атмосферных выпадений в одних регионах и все более выраженной засухе в других. Регион Южного Подмосковья находится под влиянием увеличивающихся периодов засухи, которая прерывается значительными, но редкими осадками. В таких условиях фрагмент степной растительности, обитающий изолированно в зоне хвойно-широколиственных лесов, может служить природной моделью выявления механизма изменений в экосистеме под воздействием нового климатического тренда. За 25 лет стационарных наблюдений выявлена направленность изменений в экосистеме: увеличение осадков весной и уменьшение выпадений в осенний период; сближение растительных ассоциаций по видовому составу и функциональным параметрам; ксерофитизация сообщества в целом и в ранее мезофитной ассоциации; увеличение общей продуктивности и доли дерновинных злаков в продукции и проективном покрытии травостоя.",Зеленская Н. Н. ВЛИЯНИЕ ПОТЕПЛЕНИЯ НА ЭКСКЛАВ СТЕПИ В ЮЖНОМ ПОДМОСКОВЬЕ // Степи Северной Евразии: материалы X международного симпозиума. 2024. №X. URL: https://cyberleninka.ru/article/n/vliyanie-potepleniya-na-eksklav-stepi-v-yuzhnom-podmoskovie (дата обращения: 14.11.2024).,"Зеленская Н.Н. (2024). ВЛИЯНИЕ ПОТЕПЛЕНИЯ НА ЭКСКЛАВ СТЕПИ В ЮЖНОМ ПОДМОСКОВЬЕ. Степи Северной Евразии: материалы X международного симпозиума,  (X), 479-485. doi: 10.24412/cl-37200-2024-479-485",https://cyberleninka.ru/article/n/vliyanie-potepleniya-na-eksklav-stepi-v-yuzhnom-podmoskovie
ЭКОЛОГИЧЕСКИЕ ПОСЛЕДСТВИЯ СОВРЕМЕННЫХ РИТМИЧЕСКИХ ГИДРО-КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ В ХОДЕ ЭВОЛЮЦИИ ЗАПОВЕДНЫХ СТЕПНЫХ ЛАНДШАФТОВ ЗАБАЙКАЛЬЯ,"Лукашов А.А. , Смоктунович Т.Л. , Ткачук Т.Е.",Степи Северной Евразии: материалы X международного симпозиума,2024,Биологические науки,"ландшафтные изменения, степные озера, перестройка гидрографической сети","landscape changes, steppe lakes, restructuring of the hydrographic network","Степные ландшафты Даурии испытывают попеременное обратимое увлажнение и иссушение под воздействием климатических волн протяженностью несколько десятков лет. Это ощущается биотой, гидрологическим и мерзлотным режимами водных объектов. Особо чувствительны к изменениям экологии ихтио- и орнитофауна, водная и луговая растительность, а также минерализация поверхностных и подземных вод. Уже, минимум, 3 столетия проявляется естественная аридизация ландшафтов. Единый Торей с отметками зеркала 607 м последний раз существовал 2 века назад, а в дальнейшем – в фазы трансгрессий – разделялся на 2 озера с отметками уреза не выше 599 м. В XX-XXI веках участились и удлинились фазы деградации крупных степных водоемов. С 1734-го до 1899 года зафиксировано лишь 2 эпизода превращения Торейских озер в солончаки, а за последние 123 года – уже 4 глубокие регрессии озер (до полного осушения днищ) длительностью от 14 до 20 лет. Таким образом в уникальных особо охраняемых степных и водно-болотных ландшафтах бассейна Торейских озер климатически обусловленная ритмика нарушена. Причина – в происходящем естественном боковом перехвате низовий реки Улдзы рекой Телийн-Гол. Улдза формирует свой сток за счет атмосферных осадков в увлажненных районах западного среднегорного обрамления Даурских степей. Сброс Улдзой части расходов в монгольское озеро Хух-Нур на протяжении засушливых климатических фаз полностью лишает Торейские озера водной массы, что угнетающе сказывается на ландшафтах региона. В добавок реализуемое и планируемое техногенное вмешательство в том числе в перераспределение трансграничного стока – ставит под угрозу сохранение едва ли не последних заповедных степных ландшафтов северо-востока Евразии.","Лукашов А. А., Смоктунович Т. Л., Ткачук Т. Е. ЭКОЛОГИЧЕСКИЕ ПОСЛЕДСТВИЯ СОВРЕМЕННЫХ РИТМИЧЕСКИХ ГИДРО-КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ В ХОДЕ ЭВОЛЮЦИИ ЗАПОВЕДНЫХ СТЕПНЫХ ЛАНДШАФТОВ ЗАБАЙКАЛЬЯ // Степи Северной Евразии: материалы X международного симпозиума. 2024. №X. URL: https://cyberleninka.ru/article/n/ekologicheskie-posledstviya-sovremennyh-ritmicheskih-gidro-klimaticheskih-izmeneniy-v-hode-evolyutsii-zapovednyh-stepnyh (дата обращения: 14.11.2024).","Лукашов А.А. , Смоктунович Т.Л. , & Ткачук Т.Е. (2024). ЭКОЛОГИЧЕСКИЕ ПОСЛЕДСТВИЯ СОВРЕМЕННЫХ РИТМИЧЕСКИХ ГИДРО-КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ В ХОДЕ ЭВОЛЮЦИИ ЗАПОВЕДНЫХ СТЕПНЫХ ЛАНДШАФТОВ ЗАБАЙКАЛЬЯ. Степи Северной Евразии: материалы X международного симпозиума,  (X), 768-776. doi: 10.24412/cl-37200-2024-768-776",https://cyberleninka.ru/article/n/ekologicheskie-posledstviya-sovremennyh-ritmicheskih-gidro-klimaticheskih-izmeneniy-v-hode-evolyutsii-zapovednyh-stepnyh
ВЛИЯНИЕ ТЕКУЩИХ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ НА СТЕПНЫЕ ЭКОСИСТЕМЫ ПРЕДУРАЛЬЯ И ЗАУРАЛЬЯ,"Мартыненко В.Б. , Федоров Н.И. , Наумова Л.Г.",Степи Северной Евразии: материалы X международного симпозиума,2024,Биологические науки,"степи, изменение климата, предуралье, зауралье, гис-технологии, дзз, бпла, редкие виды растений, мониторинг","chelsa, ndvi, steppes, climate change, cis-urals, trans-urals, gis technologies, remote sensing, uavs, chelsa, ndvi, rare plant species, monitoring","Проведена оценка текущих изменений климата на 7 участках степных сообществ в Предуралье и Зауралье с середины XX века по настоящее время. Установлено, что среднегодовая максимальная температура увеличилась от 1,4°С до 1,7°С, при этом, увеличение среднегодовой температуры было выше в Зауралье и на юге Республики Башкортостан. Зимние максимальные температуры увеличились сильнее, чем летние. Среднегодовое количество осадков существенно увеличилось в центральной части Предуралья (до 39,8 мм), а в Зауралье и на юге РБ несколько снизилось (на 5,9 и 2,3 мм соответственно). В период отсутствия активной вегетации (с ноября п о м арт) на всех модельных степных объектах отмечается значительное увеличение суммы осадков, а в период активной вегетации (с мая по сентябрь) – наоборот снижение. В обычные годы, значения NDVI степной растительности, отражающие интенсивность фотосинтеза растений, увеличиваются до конца июня – периода максимального развития степной растительности (начала плодоношения злаков и цветения разнотравья). В экстремально засушливом 2010 году на объектах степной растительности значения NDVI составляли от 0,13 до 0,29, что соответствует почти полностью выгоревшей и пожелтевшей растительности. В наименьшей степени угнетение растительности наблюдалось в Месягутовской лесостепи, а наиболее сильное – в центральной части Башкирского Предуралья. После локальной засухи 2021 года на горе Канноникова снизилась плотность генеративных растений Potentilla eversmanniana, а на горе Измаилка – Oxytropis hippolyti. Вследствие изменения климата и увеличения антропогенной нагрузки на горе Тратау ухудшились состояния популяций шести видов (Oxytropis baschkiriensis, Tulipa biebersteinii и др.), а на горе Сусактау увеличилась численность засухоустойчивого вида Helichrysum arenarium. Анализ изменения степной растительности по космоснимкам за 2007-2008 гг. и 2022 г. показал увеличение площадей древесно-кустарниковой растительности в понижениях рельефа и на склонах гор Тастуба и Измаилка. Таким образом, изменение количества осадков и увеличение частоты засух оказывают существенное влияние на состояние и состав степных сообществ.","Мартыненко В. Б., Федоров Н. И., Наумова Л. Г. ВЛИЯНИЕ ТЕКУЩИХ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ НА СТЕПНЫЕ ЭКОСИСТЕМЫ ПРЕДУРАЛЬЯ И ЗАУРАЛЬЯ // Степи Северной Евразии: материалы X международного симпозиума. 2024. №X. URL: https://cyberleninka.ru/article/n/vliyanie-tekuschih-klimaticheskih-izmeneniy-na-stepnye-ekosistemy-preduralya-i-zauralya (дата обращения: 14.11.2024).","Мартыненко В.Б. , Федоров Н.И. , & Наумова Л.Г. (2024). ВЛИЯНИЕ ТЕКУЩИХ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ НА СТЕПНЫЕ ЭКОСИСТЕМЫ ПРЕДУРАЛЬЯ И ЗАУРАЛЬЯ. Степи Северной Евразии: материалы X международного симпозиума,  (X), 820-826. doi: 10.24412/cl-37200-2024-820-826",https://cyberleninka.ru/article/n/vliyanie-tekuschih-klimaticheskih-izmeneniy-na-stepnye-ekosistemy-preduralya-i-zauralya
