Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
Аэрокосмический мониторинг опустынивания земель саратовского заволжья,Вертикова Анастасия Сергеевна,Siberian Journal of Life Sciences and Agriculture,2016,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","опустынивание, аридизация, засушливые территории, мониторинг, дистанционное зондирование, биопродуктивность земель, деградация","desertification, aridity, arid areas, monitoring, remote sensing, land productivity, degradation","Опустынивание является динамичным процессом во времени и территориально. Для контроля, прогнозирования и своевременного предупреждения необходима постоянная система наблюдений мониторинг. В сельском хозяйстве для экологического контроля и мониторинга важное значение имеют технологии ДЗЗ. На территории Новоузенского района Саратовской области исследовалось развитие процессов аридизации и опустынивания, влияние на них климатических изменений и антропогенной нагрузки на экосистемы, с использованием средств аэрокосмического мониторинга по геоботаническим индикаторам. Были выявлены территории с интенсивным опустыниванием, составлены картограммы биопродуктивности земель по данным дистанционного зондирования за 1986, 1989 и 2015 гг., а также установлена скорость деградации растительного покрова из-за прогрессирования опустынивания, которая равна 1807 га в год. В целом, использование на засушливой территории ресурсо-энергосберегающих технологий, устройство лесоаграрных экосистем и внедрение на пахотных землях адаптивных севооборотов с большой долей в их составе многолетних трав обеспечит надлежащую защиту почв от дальнейшей деградации и опустынивания территории.",Вертикова Анастасия Сергеевна Аэрокосмический мониторинг опустынивания земель саратовского заволжья // Siberian Journal of Life Sciences and Agriculture. 2016. №9 (81). URL: https://cyberleninka.ru/article/n/aerokosmicheskiy-monitoring-opustynivaniya-zemel-saratovskogo-zavolzhya (дата обращения: 12.02.2025).,"Вертикова Анастасия Сергеевна (2016). Аэрокосмический мониторинг опустынивания земель саратовского заволжья. Siberian Journal of Life Sciences and Agriculture,  (9 (81)), 60-73.",https://cyberleninka.ru/article/n/aerokosmicheskiy-monitoring-opustynivaniya-zemel-saratovskogo-zavolzhya
Использование лесных ресурсов в России,"Корпачев В.П., Пережилин А.И., Андрияс А.А.",Хвойные бореальной зоны,2016,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","лесные ресурсы, запас древесины, лесоэксплуатация, лесозаготовка, расчетная лесосека","forest resources, forest density, forest exploitation, lumbering, allowable cutting area","Мировое сообщество обеспокоено будущностью лесов мира и России, в частности, поскольку 21,1 % мировой площади лесов принадлежит России. Российские бореальные леса составляют 60 % всех бореальных лесов мира. Эти леса играют важную роль в глобальном балансе углерода, на их долю приходится 75 % нетто-запасов углерода во всех бореальных лесах мира. По данным Государственного лесного реестра в 2012 г. несколько увеличилась площадь лесов России, до 809 млн. га. Одной из форм деградации лесов является их вырубка в целях лесозаготовок, сооружения водохранилищ ГЭС, строительства и эксплуатации дорог, строительства промышленных и жилых объектов, дачного строительства. В России с 2003 г. наблюдается увеличение объема лесозаготовок. В 2014 г. он составил 203 млн. м3, хотя объемы не достигли объема лесозаготовок 80-х годов прошлого века. Использование расчетной лесосеки по всем видам рубок за последние годы составляет 28-30 %, т.е. расчетная лесосека используется неэффективно. Лесному комплексу Сибири и Красноярского края, в частности, присущи все Российские проблемы. При низком проценте использования расчетной лесосеки, интенсивность съема древесины с 1 га значительно ниже в сравнении с Канадой, США и другими развитыми странами. В лесосеке остается до 27 % неиспользованной биомассы дерева. Остаются невостребованными и не вовлеченными в производство затопленные, плавающие и разнесенные по берегам водохранилищ древесные ресурсы, объем которых только в АнгароЕнисейском регионе составляет около 38 млн. м3.","Корпачев В. П., Пережилин А. И., Андрияс А. А. Использование лесных ресурсов в России // ХБЗ. 2016. №1-2. URL: https://cyberleninka.ru/article/n/ispolzovanie-lesnyh-resursov-v-rossii (дата обращения: 12.02.2025).","Корпачев В.П., Пережилин А.И., & Андрияс А.А. (2016). Использование лесных ресурсов в России. Хвойные бореальной зоны, 34 (1-2), 56-60.",https://cyberleninka.ru/article/n/ispolzovanie-lesnyh-resursov-v-rossii
Агроклиматические ресурсы Белгородской области в начале XXI века,"Лебедева М.Г., Крымская О.В., Чендев Ю.Г.",Достижения науки и техники АПК,2016,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","климатические изменения, агроклиматические ресурсы, период активной вегетации, гидротермический режим, агроклиматическое районирование","climatic changes, agroclimatic resources, period of active vegetation, hydrothermal regime, agroclimatic zonation","Проведен анализ происходящих изменений комплекса метеорологических факторов, определяющих продуктивность агроценозов в Белгородской области. Продолжительность вегетационного периода со среднесуточной температурой выше 5°С за 1980-2010 гг. увеличилась в среднем на 5-7 дн. С 1971 по 2014 гг. отмечен статистически значимый положительный тренд исследуемой характеристики (коэффициент линейного тренда 0,4). Среднесезонная летняя температура воздуха в начале XXI века возросла, в результате чего в регионе изменилось агроклиматическое районирование. В начале нового тысячелетия исчез первый агроклиматический район, который заменился вторым, а на месте второго возник третий район. На территории Белгородской области появилась возможность для выращивания более южных сортов и культур. Годовая сумма осадков в регионе возросла на 15%. Наиболее активно увлажнение менялось, начиная с 1970-х гг. Но изменение характера выпадающих осадков и преобладание ливневых осадков, по сравнению с обложными, формируют разнонаправленные тенденции условий увлажнения территории в вегетационный период, увеличивается вероятность проявления атмосферной и почвенной засухи. Происходящие климатические изменения привели к незначительному повышению биоклиматического потенциала (БКП) территории (с 1,81 до 1,85), что в целом имеет положительное значение для агропромышленного комплекса. Вместе с тем рост БКП происходит на фоне снижения показателей увлажненности на 10%. Наблюдаемое увеличение засушливости при активном повышении температур в летний период может в дальнейшем привести к обратной тенденции уменьшения БКП территории. Сейчас увеличивается вероятность опасных для сельского хозяйства гидрометеорологических явлений во все сезоны года.","Лебедева М. Г., Крымская О. В., Чендев Ю. Г. Агроклиматические ресурсы Белгородской области в начале XXI века // Достижения науки и техники АПК. 2016. №10. URL: https://cyberleninka.ru/article/n/agroklimaticheskie-resursy-belgorodskoy-oblasti-v-nachale-xxi-veka (дата обращения: 12.02.2025).","Лебедева М.Г., Крымская О.В., & Чендев Ю.Г. (2016). Агроклиматические ресурсы Белгородской области в начале XXI века. Достижения науки и техники АПК, 30 (10), 71-76.",https://cyberleninka.ru/article/n/agroklimaticheskie-resursy-belgorodskoy-oblasti-v-nachale-xxi-veka
