Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
Бактериальные патогены картофеля рода Dickeya: мини-обзор по систематике и этиологии заболеваний,"Игнатов А.Н., Лазарев А.М., Панычева Ю.С., Проворов Николай Александрович, Чеботарь Владимир Кузьмич",Сельскохозяйственная биология,2018,Биологические науки,"картофель, бактериоз, черная ножка, мягкая гниль","pectobacterium, dickeya, potatoes, bacterial diseases, blackleg, soft rot","В последние годы в Российской Федерации отмечают значительные изменения видового состава возбудителей бактериозов картофеля ( Solanum tuberosum L.) и усиление их вредоносности. Это связано с завозом в страну инфицированного посадочного материала и климатическими изменениями, благоприятными для развития бактериозов, перезимовки патогенов и их переносчиков (насекомых, клещей и нематод), а также с отсутствием в интегрированной защите растений препаратов с бактерицидным действием. Бактерии семейства Enterobacteriaceae вызывают черную ножку, гниль стеблей в поле и мягкую гниль картофеля в хранилищах. В умеренных широтах основными возбудителями бактериозов картофеля считались два вида рода Pectobacterium Pec-tobacterium atrosepticum (возбудитель черной ножки картофеля) и P. carotovorum (возбудитель мягких гнилей картофеля и овощных культур) (А.Н. Игнатов с соавт., 2015). Однако в последние годы во многих странах отмечено поражения картофеля новыми представителями рода Dickeya, которых долгое время считали возбудителями болезней декоративных и овощных культур. Подробное изучение возбудителей рода Dickeya показало, что эта группа бактерий поражает многие виды растений, включая экономически важные сельскохозяйственные культуры (I.K. Toth с соавт., 2011). Штаммы различались по кругу растений-хозяев, патогенности и фенотипическим свойствам. Установлено, что европейские штаммы, выделенные на картофеле в 1979-1994 годы, в основном относятся к виду D. dianthicola, приспособленному к регионам с умеренным климатом. Тем не менее, с 2005 года варианты Dickeya III биотипа, отнесенные к новому виду D. solani, были обнаружены на картофеле в Европе и стали одними из наиболее агрессивных патогенов этой культуры. Уточнение таксономического положения и разнообразия внутри видов рода Dickeya ( D. сhrysаnthеmi, D. dadantii, D. dianthicola, D. dieffenbachiae, D. paradisiaca, D. zeae, D. solani ) дает основания для разработки новых методов диагностики и борьбы с этими фитопатогенами (L. Tsror с соавт., 2011). За исключением D. dieffenbachiae, все виды рода могут поражать картофель. В ряде областей европейской части России выделены и диагностированы штаммы D. dianthicola и D. solani (А.Н. Карлов с соавт., 2010, 2011; А.М. Лазарев, 2013), секвенирование геномов которых показало их идентичность с бактериями, изолированными в некоторых странах западной Европы и в Латинской Америке (С.В. Виноградова с соавт., 2014). Считается, что D. dianthicola и D. solani перешли на картофель с овощных культур в начале 1990-х годов. Сейчас они поражают растения в большинстве европейских стран, США, Южной Америке, Африке и Азии. На территории России эти бактерии стали причиной серьезных потерь урожая картофеля в последние годы. В 2009-2013 годах было отмечено ежегодное 2-кратное увеличение зараженности партий картофеля этими патогенами. Таким образом, всего за 4 года распространенность возбудителей рода Dickeya в партиях семенного картофеля в России возросла с 3 до 26-28 % (А.Н. Игнатов с соавт., 2015). Защита картофеля от этих патогенов основана на выбраковке зараженного материала и профилактике заражения на всех этапах технологического цикла семеноводства картофеля. Устойчивые сорта пока не обнаружены.","Игнатов А. Н., Лазарев А. М., Панычева Ю. С., Проворов Николай Александрович, Чеботарь Владимир Кузьмич Бактериальные патогены картофеля рода Dickeya: мини-обзор по систематике и этиологии заболеваний // С.-х. биол., Сельхозбиология, S-h biol, Sel-hoz biol, Sel\u0027skokhozyaistvennaya biologiya, Agricultural Biology. 2018. №1. URL: https://cyberleninka.ru/article/n/bakterialnye-patogeny-kartofelya-roda-dickeya-mini-obzor-po-sistematike-i-etiologii-zabolevaniy (дата обращения: 14.11.2024).","Игнатов А.Н., Лазарев А.М., Панычева Ю.С., Проворов Николай Александрович, & Чеботарь Владимир Кузьмич (2018). Бактериальные патогены картофеля рода Dickeya: мини-обзор по систематике и этиологии заболеваний. Сельскохозяйственная биология, 53 (1), 123-131.",https://cyberleninka.ru/article/n/bakterialnye-patogeny-kartofelya-roda-dickeya-mini-obzor-po-sistematike-i-etiologii-zabolevaniy
Ландшафтные изменения на переходе плейстоцен-голоцен и динамика ареалов крупных травоядных млекопитающих Северной Азии,"И. С. Шереметьев, С. Б. Розенфельд",Аридные экосистемы,2018,Биологические науки,"ареал, глобальные изменения, местообитание, степь, травоядные, тундра",,"Работа посвящена влиянию сокращения степных и тундровых ландшафтов Северной Азии в ходе климатических изменений позднего плейстоцена и голоцена на ареалы крупных травоядных млекопитающих. Оценена связь комплекса видовых характеристик травоядных с их ландшафтной приуроченностью. Установлено, что помимо монгольского дзерена, сайги и овцебыка сократить ареалы во время позднечетвертичных ландшафтных изменений могли снежный баран, предки домашних овец и коз и, вероятно, амурский горал. Расширение ареала у пятнистого оленя можно объяснить сокращением открытых ландшафтов, так же как у связанной исключительно с лесными ландшафтами кабарги. Любые значительные изменения ареалов косули, благородного оленя, северного оленя, лося, кабана, первобытного бизона, мамонта, шерстистого носорога, а также у предковых и, вероятно, родственных форм домашних лошади и коровы 17000-7000 лет назад не могли быть непосредственно обусловленными ландшафтными изменениями, даже если хронологически им соответствуют.","И С. Шереметьев, С Б. Розенфельд Ландшафтные изменения на переходе плейстоцен-голоцен и динамика ареалов крупных травоядных млекопитающих Северной Азии // Аридные экосистемы. 2018. №4 (77). URL: https://cyberleninka.ru/article/n/landshaftnye-izmeneniya-na-perehode-pleystotsen-golotsen-i-dinamika-arealov-krupnyh-travoyadnyh-mlekopitayuschih-severnoy-azii (дата обращения: 14.11.2024).","И. С. Шереметьев, & С. Б. Розенфельд (2018). Ландшафтные изменения на переходе плейстоцен-голоцен и динамика ареалов крупных травоядных млекопитающих Северной Азии. Аридные экосистемы, 24 (4 (77)), 19-28. doi: 10.24411/1993-3916-2018-10033",https://cyberleninka.ru/article/n/landshaftnye-izmeneniya-na-perehode-pleystotsen-golotsen-i-dinamika-arealov-krupnyh-travoyadnyh-mlekopitayuschih-severnoy-azii
Макрофитобентос Новороссийской бухты (Черное море): деградация в условиях хозяйственной деятельности и климатических изменений,Степаньян О.В.,Вестник Камчатского государственного технического университета,2018,Биологические науки,"загрязнение, изменения климата, макроводоросли, новороссийская бухта, черное море","pollution, climate changes, macroalgae, novorossiysk bay, black sea","Трансформация в структуре фитобентоса Новороссийской бухты началась с середины 2000-х гг. и имеет черты дегрессивной сукцессии. В начале 2010-х гг. начались реконструкция и расширение Новороссийского морского порта, что обозначило необходимость оценить состояние макрофитобентоса до начала масштабных изменений в прибрежной зоне и акватории бухты. Мониторинг макрофитобентоса этой бухты в летний период 2011 г. показал наличие 102 видов водорослей-макрофитов: зеленых 26, красных 53, бурых 23. По числу видов преобладали представители родов Ulva, Cladophora, Ceramium, Polysiphonia, Ectocarpus. Наибольшее видовое разнообразие было отмечено для относительно чистых, удаленных от портовой акватории участков восточного и западного прибрежья. Индекс разнообразия Шеннона ( H ) для акватории порта составил 1,64, для западного берега 2,08, для восточного берега 2,18. Биомасса водорослей Новороссийской бухты изменялась в значительном диапазоне: 0,3 кг/м2 в районе порта, 1,5-1,8 кг/м2 в средней части бухты, 3-3,5 кг/м2 на выходе из бухты. К концу 2000-х гг. видовое разнообразие фитобентоса Новороссийской бухты уменьшилось в 1,5 раза в сравнении с 1970-ми гг., в основном за счет холодноводной группы водорослей. В настоящее время преобладают полии мезосапробионтные виды тепловодного комплекса. В три раза по сравнению с 1960-ми гг. сократились площади бурой водоросли Cystoseira основного эдификатора и средообразующего вида зарослей средиземноморского типа. На фоне потепления поверхностного слоя вод Черного моря и негативного действия этого фактора на сообщества Cystoseira неразумная хозяйственная деятельность может привести к полному исчезновению многолетних черноморских сообществ водорослей в Новороссийской бухте.",Степаньян О. В. Макрофитобентос Новороссийской бухты (Черное море): деградация в условиях хозяйственной деятельности и климатических изменений // Вестник КамчатГТУ. 2018. №45. URL: https://cyberleninka.ru/article/n/makrofitobentos-novorossiyskoy-buhty-chernoe-more-degradatsiya-v-usloviyah-hozyaystvennoy-deyatelnosti-i-klimaticheskih-izmeneniy (дата обращения: 14.11.2024).,"Степаньян О.В. (2018). Макрофитобентос Новороссийской бухты (Черное море): деградация в условиях хозяйственной деятельности и климатических изменений. Вестник Камчатского государственного технического университета,  (45), 110-116.",https://cyberleninka.ru/article/n/makrofitobentos-novorossiyskoy-buhty-chernoe-more-degradatsiya-v-usloviyah-hozyaystvennoy-deyatelnosti-i-klimaticheskih-izmeneniy
Современное состояние растительности Мордовского государственного природного заповедника им. П. Г. Смидовича и тенденции её трансформации в современных условиях,С. В. Черноруцкий,Экосистемы: экология и динамика,2018,Биологические науки,"динамика растительности, мордовский заповедник, сосновые леса, липовые леса, широколиственые леса, сукцессии, климатические изменения.","vegetation dynamics, pine forests, linden forests, broad-leaved forests, successions, climatic changes","В статье рассмотрено состояние растительного покрова Мордовского государственного заповедника (по состоянию на 2014г.). Подробно рассмотрены особенности сообществ различного типа, особое внимание уделено современным процессам изменений в растительности под влиянием смены экологических условий. Обследованы типы лесов и открытых пространств, в том числе тех, по состоянию которых можно определить воздействие климатических изменений на экосистемы заповедника. В современной динамике сообществ различных типов выявлены тенденции, обусловленные естественными (климатическими) изменениями. Выявлены основные тенденции в современной динамике различных типов сообществ, обусловленные естественными (климатическими) изменениями. Показано, что климатические изменения последних десятилетий оказывают значительное влияние на состав и структуру растительности заповедника. Соотношение площадей лесов различного породного состава в истории существования заповедника постоянно менялось. Вызвано это не только изменением границ заповедника и пожарами, но и современными изменениями климатических условий. Последний фактор влияет на увлажнение и температурный режим экосистем заповедника, на уровень грунтовых вод, а также – на режим затопления в поймах. Изменения климата Средней России, происходящие с начала 90-ых годов ХХ века, описываемые как гумидное потепление, связаны с общей тенденцией потепления (особенно в зимний период), увеличением осадков и сокращением весеннего половодья. Эти изменения, как показывает статья, отражаются на структуре и составе растительных сообществ, расположенных как в долинных, так и на водораздельных территориях. Из основных диагностических изменений, свидетельствующих об идущей сукцессии, выделены формирование густого яруса подроста или второго яруса древостоя из липы или ели на фоне изреживания первого древесного яруса, закустаривание и зарастание пойменных лугов. Также отмечено формирование моновидовых или бедных видами сообществ, сложенных в травяно-кустарничковом ярусе видами-индикаторами повышения и стабилизации уровня грунтовых вод. Так как антропогенное влияние на экосистемы в Мордовском заповеднике минимально, всѐ вышеперечисленное является следствием современных естественных, в первую очередь, климатических изменений.",С В. Черноруцкий Современное состояние растительности Мордовского государственного природного заповедника им. П. Г. Смидовича и тенденции её трансформации в современных условиях // Экосистемы: экология и динамика. 2018. №4. URL: https://cyberleninka.ru/article/n/sovremennoe-sostoyanie-rastitelnosti-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-im-p-g-smidovicha-i-tendentsii-eyo (дата обращения: 14.11.2024).,"С. В. Черноруцкий (2018). Современное состояние растительности Мордовского государственного природного заповедника им. П. Г. Смидовича и тенденции её трансформации в современных условиях. Экосистемы: экология и динамика, 2 (4), 75-105. doi: 10.24411/2542-2006-2018-10022",https://cyberleninka.ru/article/n/sovremennoe-sostoyanie-rastitelnosti-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-im-p-g-smidovicha-i-tendentsii-eyo
Ландшафтная структура северной части Белорецкого участка Тигирекского заповедника,"Черных Д.В., Золотов Д.В., Бирюков Р.Ю., Першин Д.К.",Труды Тигирекского заповедника,2018,Биологические науки,"вид урочища, высотная полоса, вид ландшафта, ландшафтное картографирование, русский алтай, алтайский край","species of urochishche, altitudinal strip, species of landscape, landscape mapping, russian altai, altai krai","В статье приводится ландшафтная карта на уровне видов урочищ для северной части Белорецкого участка Тигирекского заповедника. Карта сопровождается подробной легендой и статистическими характеристиками слагающих ее контуров. Отмечен ряд интересных особенностей ландшафтной структуры территории, которые наряду с конкретными геосистемами-индикаторами могут иметь ключевое значение для экологического мониторинга климатических изменений.","Черных Д. В., Золотов Д. В., Бирюков Р. Ю., Першин Д. К. Ландшафтная структура северной части Белорецкого участка Тигирекского заповедника // Труды Тигирекского заповедника. 2018. №10. URL: https://cyberleninka.ru/article/n/landshaftnaya-struktura-severnoy-chasti-beloretskogo-uchastka-tigirekskogo-zapovednika (дата обращения: 14.11.2024).","Черных Д.В., Золотов Д.В., Бирюков Р.Ю., & Першин Д.К. (2018). Ландшафтная структура северной части Белорецкого участка Тигирекского заповедника. Труды Тигирекского заповедника,  (10), 29-39.",https://cyberleninka.ru/article/n/landshaftnaya-struktura-severnoy-chasti-beloretskogo-uchastka-tigirekskogo-zapovednika
Фенологический ответ Magnolia sieboldii K. Koch. На климатические изменения,"Каменева Любовь Анатольевна, Кокшеева Инна Михайловна, Творогов Сергей Павлович, Богачёв Илья Григорьевич",Бюллетень Московского общества испытателей природы. Отдел биологический,2018,Биологические науки,"фенологические фазы, фенологический сдвиг, вегетационный период, климат","magnolia, phenological phases, vegetation period, climate, phenological shear","Фенология растений важное направление исследований на стыке ботаники и экологии, позволяющее дать дополнительную информацию о явлениях, происходящих в природе в связи с изменением климата. Интересным примером стали наблюдения за растениями-интродуцентами, находящимися в уязвимом положении за пределами естественного ареала и чутко реагирующими на все изменения среды. Мы проанализировали данные многолетних (1982-2015 гг.) фенологических наблюдений за ценным декоративным интродуцентом Magnolia sieboldii в условиях юга Дальнего Востока России и оценили влияние климатических факторов. Показан характер зависимости наступления и продолжительности фенологических фаз от меняющихся климатических факторов. Отмечена высокая зависимость фазы цветения от температуры воздуха: изменяется не только фенодата, но и продолжительность процесса цветения. В 2011-2015 гг., по сравнению с периодом 1982-2001 гг., начало цветения сместилось на более ранние сроки, что можно объяснить изменением температурного фона этих периодов. Продолжительность вегетационного периода с 1982 по 2015 гг. увеличилась в среднем на 14 дней. Увеличение сроков вегетации произошло за счет смещения начала набухания почек на более ранние даты, а листопада на более поздние. Таким образом, в статье показаны и проанализированы сдвиги фенологического ритма Magnolia sieboldii, демонстрирующие характер зависимости от климатических факторов и текущих климатических изменений.","Каменева Любовь Анатольевна, Кокшеева Инна Михайловна, Творогов Сергей Павлович, Богачёв Илья Григорьевич Фенологический ответ Magnolia sieboldii K. Koch. На климатические изменения // Бюллетень МОИП. Отдел биологический. 2018. №1. URL: https://cyberleninka.ru/article/n/fenologicheskiy-otvet-magnolia-sieboldii-k-koch-na-klimaticheskie-izmeneniya (дата обращения: 14.11.2024).","Каменева Любовь Анатольевна, Кокшеева Инна Михайловна, Творогов Сергей Павлович, & Богачёв Илья Григорьевич (2018). Фенологический ответ Magnolia sieboldii K. Koch. На климатические изменения. Бюллетень Московского общества испытателей природы. Отдел биологический, 123 (1), 57-64.",https://cyberleninka.ru/article/n/fenologicheskiy-otvet-magnolia-sieboldii-k-koch-na-klimaticheskie-izmeneniya
Микробные сообщества почв российских полярных станций Восточной Антарктиды,"Лысак Людмила Вячеславовна, Максимова Ирина Аркадьевна, Никитин Дмитрий Алексеевич, Иванова Анна Евгеньевна, Кудинова Алина Гранитовна, Соина Вера Сергеевна, Марфенина Ольга Евгеньевна",Вестник Московского университета. Серия 16. Биология,2018,Биологические науки,"антарктида, почвы, бактерии, грибы, биомасса микроорганизмов, биологическая активность","antarctica, soil, bacteria, fungi, biomass of microorganisms, biological activity","Изучение микробных сообществ почв Антарктиды является исключительно важным направлением исследований, которое позволяет расширить наши знания об участии микроорганизмов в первичном почвообразовании, особенностях формирования микробных сообществ в экстремальных местообитаниях и представляет значительный интерес для направленного поиска микроорганизмов потенциальных объектов биотехнологии. В настоящем обзоре обобщены результаты многолетних (2012-2017 гг.) комплексных исследований микробных сообществ почв российских полярных станций Восточной Антарктиды оазис Ширмахера (станция Новолазаревская), Холмы Ларсеманн (станция Прогресс) и Холмы Тала (станция Молодежная). Впервые для этого региона проведена оценка биомассы почвенных микроорганизмов с помощью методов прямой микроскопии. Общие запасы микробной биомассы невелики, в составе доминируют (77-99%) грибы. Особенностью антарктических почв является высокое содержание и морфологическое разнообразие мелких форм микроорганизмов: грибы представлены преимущественно одноклеточными структурами (спорами малых размеров и дрожжами), бактерии фильтрующимися формами. В то же время микроорганизмы могут вносить существенный вклад в такие важные экологические функции почвы, как эмиссия парниковых газов, особенно в теплые периоды года при достижении почвой стойких положительных температур. Это следует учитывать при создании моделей и прогнозов глобального потепления климата. А использование различных методов изоляции для анализа микробного населения почв, в том числе сукцессионный подход, позволяет существенно расширить представления о таксономическом разнообразии культивируемых грибов и бактерий в почвах Антарктиды.","Лысак Людмила Вячеславовна, Максимова Ирина Аркадьевна, Никитин Дмитрий Алексеевич, Иванова Анна Евгеньевна, Кудинова Алина Гранитовна, Соина Вера Сергеевна, Марфенина Ольга Евгеньевна Микробные сообщества почв российских полярных станций Восточной Антарктиды // Вестник Московского университета. Серия 16. Биология. 2018. №3. URL: https://cyberleninka.ru/article/n/mikrobnye-soobschestva-pochv-rossiyskih-polyarnyh-stantsiy-vostochnoy-antarktidy (дата обращения: 14.11.2024).","Лысак Людмила Вячеславовна, Максимова Ирина Аркадьевна, Никитин Дмитрий Алексеевич, Иванова Анна Евгеньевна, Кудинова Алина Гранитовна, Соина Вера Сергеевна, & Марфенина Ольга Евгеньевна (2018). Микробные сообщества почв российских полярных станций Восточной Антарктиды. Вестник Московского университета. Серия 16. Биология,  (3), 132-140.",https://cyberleninka.ru/article/n/mikrobnye-soobschestva-pochv-rossiyskih-polyarnyh-stantsiy-vostochnoy-antarktidy
Состав и структура фитопланктона прибрежной и центральной частей оз. Арахлей (забайкальский край) в весенне-летний сезон 2017 г,Ташлыкова Наталия Александровна,Принципы экологии,2018,Биологические науки,"фитопланктон, структура, количественные характеристики, пелагиаль, литораль, оз. арахлей, забайкальский край","phytoplankton, structure, quantitative characteristics, pelagial, littoral, arakhley lake, zabaikalsky territory","Мелководная прибрежная зона в наибольшей степени подвержена антропогенному воздействию и выполняет функцию барьера между водосборной территорией и пелагическими районами водоемов. В результате гидробиологического обследования оз. Арахлей весной и летом 2017 г. изучены таксономическая структура, доминирующий комплекс, экологическая характеристика и количественные показатели фитопланктона прибрежной и центральной частей озера. Установлено, что фитопланктон озера насчитывает 97 таксонов рангом ниже рода. Его основу (86.6 %) составляют представители четырех отделов: диатомовые, зеленые, золотистые и цианобактерии. К наиболее часто встречаемым видам прибрежья и открытой части озера отнесены 12 видов, из которых половина были постоянны для весеннего и летнего планктона 2017 г. Сравнительный анализ флористического состава водорослей планктона пелагической и литоральной частей обнаружил их схожесть (коэффициент сходства 41–65 %). Применение кластерного анализа позволило выявить альгоценозы, сходные по биотопу: водоемы заплесковой зоны (наибольшее количество представителей отдела Cyanobacteria), группа станций мелководья (низкое таксономическое разнообразие, преобладание бентосных форм диатомей), группа станций с высшей водной растительностью (высокое разнообразие золотистых водорослей, низкое – хлорококковых; присутствие в планктоне факультативно планктонных видов) и станции глубоководной зоны (высокое разнообразие хлорококковых водорослей). Неравномерность распределения количественных характеристик обусловлена расположением поясов растительности в изучаемых частях оз. Арахлей. Отмечена тенденция возрастания численности и биомассы фитопланктона от станций с отсутствием высшей водной растительности к станциям с присутствием растений. Высокие значения индексов Шеннона и Пиелу указывают на сложность структуры и высокое биоразнообразие фитопланктонного сообщества, а их сезонное распределение демонстрирует отклик фитопланктоценоза на природно-климатические изменения условий среды.",Ташлыкова Наталия Александровна Состав и структура фитопланктона прибрежной и центральной частей оз. Арахлей (забайкальский край) в весенне-летний сезон 2017 г // Princ. ekol.. 2018. №3 (28). URL: https://cyberleninka.ru/article/n/sostav-i-struktura-fitoplanktona-pribrezhnoy-i-tsentralnoy-chastey-oz-arahley-zabaykalskiy-kray-v-vesenne-letniy-sezon-2017-g (дата обращения: 14.11.2024).,"Ташлыкова Наталия Александровна (2018). Состав и структура фитопланктона прибрежной и центральной частей оз. Арахлей (забайкальский край) в весенне-летний сезон 2017 г. Принципы экологии,  (3 (28)), 75-90.",https://cyberleninka.ru/article/n/sostav-i-struktura-fitoplanktona-pribrezhnoy-i-tsentralnoy-chastey-oz-arahley-zabaykalskiy-kray-v-vesenne-letniy-sezon-2017-g
"Жизненный цикл рачка Eudiaptomus gracilis (Sars, 1863) в Онежском озере","Фомина Юлия Юрьевна, Сярки Мария Тагевна",Принципы экологии,2018,Биологические науки,"веслоногий рачок, жизненный цикл, зоопланктон, онежское озеро, республика карелия","eudiaptomus gracilis, copepod, life cycle, zooplankton, lake onega, republic of karelia","В условиях изменения климата и сдвигов сезонных сроков особую актуальность приобретает исследование годовой цикличности планктона и его основных компонентов. Eudiaptomus gracilis является одним из основных видов доминантного комплекса пелагического зоопланктона Онежского озера и присутствует в нем круглогодично. Он участвует в формировании биоресурсов и является важным элементом кормовой базы рыб-планктонофагов. На основе многолетних наблюдений был выполнен анализ жизненного цикла популяций рачка из разных районов Онежского озера. Получены среднемноголетние траектории сезонной динамики численности возрастных групп Eudiaptomus gracilis. Показано, что дициклический характер популяционной динамики сохраняется как в центральной части водоема, так и в крупных заливах, но имеет свои особенности, связанные и термическим режимом, и уровнем трофии. Трофическая обстановка определяет летние численности и биомассы популяции рачка, которые различаются в 1.5-2 раза по районам. Максимальные показатели отмечены в Кондопожской губе, что связано с антропогенным эвтрофированием. Жизненный цикл популяции в Петрозаводской губе имеет особенности, связанные с гидродинамическим режимом залива. Подробно было изучено состояние популяции в подледный период. Показано, что начало размножения зависит от состояния льда и снежного покрова на нем. Отмечены скопления рачков в пелагиали центральной части озера в июне. Сравнение с данными прошлого века показало, что, несмотря на колебания антропогенной нагрузки и климатические изменения в последние десятилетия, заметных изменений в характере годовой цикличности Eudiaptomus gracilis не отмечено.","Фомина Юлия Юрьевна, Сярки Мария Тагевна Жизненный цикл рачка Eudiaptomus gracilis (Sars, 1863) в Онежском озере // Princ. ekol.. 2018. №3 (28). URL: https://cyberleninka.ru/article/n/zhiznennyy-tsikl-rachka-eudiaptomus-gracilis-sars-1863-v-onezhskom-ozere (дата обращения: 14.11.2024).","Фомина Юлия Юрьевна, & Сярки Мария Тагевна (2018). Жизненный цикл рачка Eudiaptomus gracilis (Sars, 1863) в Онежском озере. Принципы экологии,  (3 (28)), 91-102.",https://cyberleninka.ru/article/n/zhiznennyy-tsikl-rachka-eudiaptomus-gracilis-sars-1863-v-onezhskom-ozere
Функциональная экология лишайника Lobaria pulmo- naria (L. ) Hoffm. В таежной зоне на европейском Северо-Востоке России,"Головко Т.К., Далькэ И.В., Дымова О.В., Малышев Р.В., Плюснина С.Н., Пыстина Т.Н., Семенова Н.А., Табаленкова Г.Н., Шелякин М.А.",Известия Коми научного центра УРО РАН,2018,Биологические науки,"лишайник, экологическая физиология, со2-газообмен, среда, таежная зона, европейский северо-восток","lobaria pulmonaria, lichen, ecological physiology, co2-gas exchange, environment, taiga zone, european north-east","Изучены показатели жизнедеятельности крупнолистоватого эпифитного лишайника Lobaria pulmonaria (L.) Hoffm. в условиях таежной зоны на европейском Северо-Востоке России. Выявлены сезонные изменения липидного и пигментного комплексов, температуры замерзания воды в талломах. В полевых и лабораторных условиях исследована зависимость СО2-газообмена от оводненности и освещенности талломов. Показано, что успешная адаптация L. pulmonaria к условиям обитания и сезонным изменениям основных факторов среды в значительной степени обусловлена функциональными свойствами лишайника. Благодаря этому L. pulmonaria довольно широко распространена в таежной зоне Республики Коми, а в старовозрастных осинниках является обычным эпифитным видом. Полученные результаты следует учитывать при разработке мероприятий по охране и мониторингу, прогнозировании состояния популяций лишайника при глобальных климатических изменениях.","Головко Т. К., Далькэ И. В., Дымова О. В., Малышев Р. В., Плюснина С. Н., Пыстина Т. Н., Семенова Н. А., Табаленкова Г. Н., Шелякин М. А. Функциональная экология лишайника Lobaria pulmo- naria (L. ) Hoffm. В таежной зоне на европейском Северо-Востоке России // Известия Коми НЦ УрО РАН. 2018. №3 (35). URL: https://cyberleninka.ru/article/n/funktsionalnaya-ekologiya-lishaynika-lobaria-pulmo-naria-l-hoffm-v-taezhnoy-zone-na-evropeyskom-severo-vostoke-rossii (дата обращения: 14.11.2024).","Головко Т.К., Далькэ И.В., Дымова О.В., Малышев Р.В., Плюснина С.Н., Пыстина Т.Н., Семенова Н.А., Табаленкова Г.Н., & Шелякин М.А. (2018). Функциональная экология лишайника Lobaria pulmo- naria (L. ) Hoffm. В таежной зоне на европейском Северо-Востоке России. Известия Коми научного центра УРО РАН,  (3 (35)), 23-33.",https://cyberleninka.ru/article/n/funktsionalnaya-ekologiya-lishaynika-lobaria-pulmo-naria-l-hoffm-v-taezhnoy-zone-na-evropeyskom-severo-vostoke-rossii
