Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
ПОПУЛЯЦИЯ И СТРУКТУРА СООБЩЕСТВ JUNIPEROUS POLYCARPOS K. KOCH ПОД ВЛИЯНИЕМ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ В ХОЛОДНОЙ ПУСТЫНЕ ГИМАЛАЕВ (ИНДИЯ),"А. Сингх, С. С. Самант",Аридные экосистемы,2020,Биологические науки,"структура популяции, разнообразие, исследования климатических изменений, этно-ботанические исследования, местные виды, виды под угрозой исчезновения.",,"Можжевельник восточный (Juniperus polycarpos K. Koch) – растительный вид Гималайского региона, существование которого находится под самой высокой угрозой исчезновения. Данное исследование предоставляет информацию по мониторингу можжевельниковой популяции и степени его распространения в высотных областях Гималайских гор. В своей работе мы собрали исчерпывающие данные о J.polycarpos, такие как широта распространения, характеристики местообитания, состав, структура, размер популяции, области применения вида и статус многообразия. Его распространение и плотность были максимальными в чистых лесных местообитаниях, в отличие от смешанных. Средневысотная лесная зона (31003500 м н.у.м. для сообществ с доминирующим J. polycarpos, 2710-3100 м н.у.м. для смешанных) продемонстрировала подходящие качества для развития можжевельника и достижения им высокой плотности. Встречаемость видов над верхней границей произрастания лесов (4100 м н.у.м.) показывает влияние климатических изменений. В общей сложности в популяции зафиксирован 281 вид растений из 158 родов и 48 семейств: 37.04% – местные, 2.06% – эндемики, 23.87% – эуэндемики, 74.44% – экономически значимые, 20.28% – находящиеся под угрозой. Рекомендуется постоянный мониторинг популяции, подверженной влиянию климатических изменений.","А Сингх, С С. Самант ПОПУЛЯЦИЯ И СТРУКТУРА СООБЩЕСТВ JUNIPEROUS POLYCARPOS K. KOCH ПОД ВЛИЯНИЕМ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ В ХОЛОДНОЙ ПУСТЫНЕ ГИМАЛАЕВ (ИНДИЯ) // Аридные экосистемы. 2020. №1 (82). URL: https://cyberleninka.ru/article/n/populyatsiya-i-struktura-soobschestv-juniperous-polycarpos-k-koch-pod-vliyaniem-klimaticheskih-izmeneniy-v-holodnoy-pustyne-gimalaev (дата обращения: 14.11.2024).","А. Сингх, & С. С. Самант (2020). ПОПУЛЯЦИЯ И СТРУКТУРА СООБЩЕСТВ JUNIPEROUS POLYCARPOS K. KOCH ПОД ВЛИЯНИЕМ КЛИМАТИЧЕСКИХ ИЗМЕНЕНИЙ В ХОЛОДНОЙ ПУСТЫНЕ ГИМАЛАЕВ (ИНДИЯ). Аридные экосистемы, 26 (1 (82)), 21-32. doi: 10.24411/1993-3916-2020-10080",https://cyberleninka.ru/article/n/populyatsiya-i-struktura-soobschestv-juniperous-polycarpos-k-koch-pod-vliyaniem-klimaticheskih-izmeneniy-v-holodnoy-pustyne-gimalaev
ОЦЕНКА АНТРОПОГЕННОЙ ИНВАЗИИ МИКРОСКОПИЧЕСКИХ ГРИБОВ В АРКТИЧЕСКИЕ ЭКОСИСТЕМЫ (АРХИПЕЛАГ ШПИЦБЕРГЕН),"Кирцидели Ирина Юрьевна, Власов Д.Ю., Зеленская М.С., Ильюшин В.А., Новожилов Ю.К., Чуркина И.В., Баранцевич Е.П.",Гигиена и санитария,2020,Биологические науки,"микобиота, микробные сообщества, арктика, антропогенное влияние, антропогенные субстраты, почва, аэромикота","microbial communities, mycobiota, arctic, anthropogenic influence, anthropogenic substrates, soil, aeromycota","Введение. Изменение микробных сообществ в полярных регионах является отражением происходящих климатических изменений и может служить одним из показателей состояния арктических экосистем. Целью данной работы было изучение микобиоты, развивающейся на антропогенных материалах, в почве и воздушной среде в пос. Баренцбург (архипелаг Шпицберген), для оценки распространения инвазивных видов и выявления условно патогенных микромицетов. Материал и методы. Материал для исследования был собран в период 2017-2018 гг. в ходе выполнения научно-исследовательских работ российской арктический экспедиции ААНИИ в районе пос. Баренцбург (расположенном на 78о с.ш, 14о в.д.) на арх. Шпицберген. Выделение микромицетов проводилось стандартными микробиологическими методами. Идентификацию микромицетов проводили по культурально-морфологическим признакам и по результатам секвенирования изолятов по регионам ITS1 и ITS2. Результаты. В результате исследований установлен высокий уровень биологической колонизации антропогенных субстратов, выявлены места накопления условно патогенных микроорганизмов. Было идентифицировано 24 вида микромицетов из образцов антропогенных материалов, 46 видов из аэромикоты и 43 вида из почв региона. Доминирующим по числу видов оказался род Penicillium (12 видов), за которым следуют Cladosporium, Aspergillus, Cadophora (по 3 вида). Антропогенное воздействие приводит к изменению видового состава, структуры и других характеристик комплексов микроскопических грибов на материалах, в аэромикоте и почвах арктических территорий. Для нарушенных экосистем установлено: 1) изменение структуры комплексов микромицетов и увеличение численности микроскопических грибов в аэромикоте и почве, 2) формирование аэромикоты происходит частично за счёт интродуцированных видов, 3) доминирование тёмноокрашенных грибов на антропогенных материалах, 4) среди микромицетов-интродуцентов значительную долю составили виды, являющиеся условными патогенами человека, 5) интродуцированные виды способны адаптироваться к арктическим условиям. Заключение. На примере пос. Баренцбург (арх. Шпицберген) показано, что антропогенное воздействие приводит к изменению основных характеристик комплексов микроскопических грибов арктических территорий.","Кирцидели Ирина Юрьевна, Власов Д. Ю., Зеленская М. С., Ильюшин В. А., Новожилов Ю. К., Чуркина И. В., Баранцевич Е. П. ОЦЕНКА АНТРОПОГЕННОЙ ИНВАЗИИ МИКРОСКОПИЧЕСКИХ ГРИБОВ В АРКТИЧЕСКИЕ ЭКОСИСТЕМЫ (АРХИПЕЛАГ ШПИЦБЕРГЕН) // Гигиена и санитария. 2020. №2. URL: https://cyberleninka.ru/article/n/otsenka-antropogennoy-invazii-mikroskopicheskih-gribov-v-arkticheskie-ekosistemy-arhipelag-shpitsbergen (дата обращения: 14.11.2024).","Кирцидели Ирина Юрьевна, Власов Д.Ю., Зеленская М.С., Ильюшин В.А., Новожилов Ю.К., Чуркина И.В., & Баранцевич Е.П. (2020). ОЦЕНКА АНТРОПОГЕННОЙ ИНВАЗИИ МИКРОСКОПИЧЕСКИХ ГРИБОВ В АРКТИЧЕСКИЕ ЭКОСИСТЕМЫ (АРХИПЕЛАГ ШПИЦБЕРГЕН). Гигиена и санитария, 99 (2), 145-151.",https://cyberleninka.ru/article/n/otsenka-antropogennoy-invazii-mikroskopicheskih-gribov-v-arkticheskie-ekosistemy-arhipelag-shpitsbergen
Экологический индикатор последствий интродукции южных рас Apis mellifera L. в северные регионы,"Симанков Михаил Кимович, Лихачев Сергей Васильевич",Известия высших учебных заведений. Поволжский регион. Естественные науки,2020,Биологические науки,"медоносная пчела, географически специфичные популяции, интродукция, мониторинг, морфометрия, биоразнообразие","honey bee, geographically specific populations, introduction, monitoring, morphometry, biodiversity","Актуальность и цели . В процессе адаптации медоносные пчелы, обитавшие в разных климатических условиях, приобрели соответствующие морфологические изменения. Вследствие бессистемной интродукции человеком пчел различного происхождения образуются гибриды, что впоследствии может привести к снижению их жизнеспособности. Целью исследований являлась оценка степени метизации пчел на территории Пермского края с использованием данных морфометрического анализа. Материалы и методы . Исследования проведены на пасеках 12 районов Пермского края в течение 10 лет. Морфометрическое исследование пчел выполнено по общепринятой и оригинальным авторским методикам. Для оценки степени метизации проводили измерения длины хоботка, длины и ширины правого переднего крыла и третьего тергита. Рассчитывали кубитальный индекс крыльев. Результаты . У исследованных пчел выявлено несоответствие некоторых морфологических признаков таковым для среднерусской расы. Это свидетельствует о продолжающемся процессе метизации местных пчел. На территории Красновишерского района Пермского края сохранились пчелы, минимально затронутые процессом метизации. Выводы . У всех особей обследованных пасек были выявлены признаки, несоответствующие среднерусской расе, что может свидетельствовать как о проходившем ранее, так и о продолжающемся в настоящее время процессе метизации местной популяции пчел. Мониторинг морфометрических признаков и направленная селекция позволяют обнаруживать отклонения в экстерьере и принимать меры по исправлению нарушенного генотипа. Для восстановления признаков аборигенной расы на пасеках края с измененным генотипом можно рекомендовать использовать племенной материал из Красновишерского района.","Симанков Михаил Кимович, Лихачев Сергей Васильевич Экологический индикатор последствий интродукции южных рас Apis mellifera L. в северные регионы // ИВУЗ ПР Естественные науки. 2020. №1 (29). URL: https://cyberleninka.ru/article/n/ekologicheskiy-indikator-posledstviy-introduktsii-yuzhnyh-ras-apis-mellifera-l-v-severnye-regiony (дата обращения: 14.11.2024).","Симанков Михаил Кимович, & Лихачев Сергей Васильевич (2020). Экологический индикатор последствий интродукции южных рас Apis mellifera L. в северные регионы. Известия высших учебных заведений. Поволжский регион. Естественные науки,  (1 (29)), 77-85.",https://cyberleninka.ru/article/n/ekologicheskiy-indikator-posledstviy-introduktsii-yuzhnyh-ras-apis-mellifera-l-v-severnye-regiony
Особенности сезонного развития и динамика урожайности плодов малины сахалинской (Rubus matsumuranus Levl. & Vaniot) в верховьях Колымы (Магаданская область),"Синельникова Н.В., Пахомов М.Н.",Вестник Красноярского государственного аграрного университета,2020,Биологические науки,"дикорастущие ягодники, малина сахалинская, фенология, магаданская область","wild berries, sakhalin raspberry, phenology, magadan region","Сезонное развитие и динамика урожая плодов малины сахалинской (Rubus matsumuranus Levl. & Vaniot) изучались на западе Магаданской области в верховьях р. Колыма. Цель исследований оценка изменчивости дат наступления фенологических фаз малины сахалинской за период 2003-2019 гг. и выявление климатических факторов, влияющих на колебания урожайности плодов. Задачи: обобщение данных фенологических наблюдений за популяциями малины и установление зависимости урожайности плодов от климатических показателей. Фенологические наблюдения проводятся с 2003 г. по настоящее время, урожайность оценивалась глазомерно по шкале Каппера-Формозова. Метеорологические наблюдения на полевом стационаре ИБПС ДВО РАН ведутся с 1992 г. Описан ход сезонного развития малины (13 фенофаз) и особенности прохождения отдельных стадий. В течение 2003-2019 гг. произошли существенные изменения хода сезонного развития малины сахалинской. Установлены положительные тренды более раннего начала распускания почек и распускания листьев, что согласуется с возрастанием сумм среднесуточных температур выше 5 °C в начале вегетации. Статистически достоверной связи динамики урожайности плодов ни с одним из метеорологических показателей определить не удалось. Отмечается тенденция к снижению урожаев малины за последние 20 лет, обусловленная современными изменениями климата увеличением частоты заморозков (ниже -2,5 °C) в период цветения и ростом числа пасмурных дней в июне-июле.","Синельникова Н. В., Пахомов М. Н. Особенности сезонного развития и динамика урожайности плодов малины сахалинской (Rubus matsumuranus Levl. & Vaniot) в верховьях Колымы (Магаданская область) // Вестник КрасГАУ. 2020. №2 (155). URL: https://cyberleninka.ru/article/n/osobennosti-sezonnogo-razvitiya-i-dinamika-urozhaynosti-plodov-maliny-sahalinskoy-rubus-matsumuranus-levl-vaniot-v-verhovyah-kolymy (дата обращения: 14.11.2024).","Синельникова Н.В., & Пахомов М.Н. (2020). Особенности сезонного развития и динамика урожайности плодов малины сахалинской (Rubus matsumuranus Levl. & Vaniot) в верховьях Колымы (Магаданская область). Вестник Красноярского государственного аграрного университета,  (2 (155)), 53-57.",https://cyberleninka.ru/article/n/osobennosti-sezonnogo-razvitiya-i-dinamika-urozhaynosti-plodov-maliny-sahalinskoy-rubus-matsumuranus-levl-vaniot-v-verhovyah-kolymy
"Адаптация белых медведей к условиям парка флоры и фауны ""Роев ручей""","Некипелова Е.О., Буянов И.Ю., Шушакова М.М., Третинникова Т.Н.",Вестник Красноярского государственного аграрного университета,2020,Биологические науки,"белые медведи, поведенческие особенности, адаптация, обогащение среды","polar bears, behavioral features, adaptation, environment enrichment","Цель исследования изучение адаптации диких животных к условиям содержания в зоопарке. Основные задачи исследования сравнение поведенческих особенностей белых медведей в дикой природе и зоопарке, адаптация белых медведей к условиям зоопарка в зависимости от возрастной группы, влияние обогащения среды на поведение животных. Исследование проводилось в МАУ «Красноярский парк флоры и фауны «Роев ручей» в период с июня 2006 г. по ноябрь 2019 г. Объект исследования белые медведи, рожденные в естественных условиях и поступившие в зоопарк в различных возрастах. Метод изучения фоновые наблюдения для оценки состояния животных и круглосуточное наблюдение за их поведением, ведение журналов наблюдений по тренингу и обогащению среды. Проведен сравнительный анализ с литературными данными по белым медведям, проживающим в естественных условиях. Климатические изменения способствовали социализации белых медведей. Особи, поступившие до 1 года и не вовлеченные в конфликтные ситуации с человеком, быстрее адаптировались к условиям проживания в зоопарке. Обогащение среды является важным процессом при содержании животных в зоопарках. Со временем обогащение среды оказывает положительное влияние на животных. Особи, находящиеся в зоопарке дольше по времени (Феликс и Аврора), значительно меньше уделяли времени игрушкам, чем молодая самка Урсула. Среднее время занятости Урсулы составило мячом 5,6 часа, цилиндром 5,4 часа. Это связано с тем, что Урсула содержится отдельно, Феликс и Аврора совместно, взаимодействуя друг с другом (социальное обогащение среды).","Некипелова Е. О., Буянов И. Ю., Шушакова М. М., Третинникова Т. Н. Адаптация белых медведей к условиям парка флоры и фауны \u0022Роев ручей\u0022 // Вестник КрасГАУ. 2020. №1 (154). URL: https://cyberleninka.ru/article/n/adaptatsiya-belyh-medvedey-k-usloviyam-parka-flory-i-fauny-roev-ruchey (дата обращения: 14.11.2024).","Некипелова Е.О., Буянов И.Ю., Шушакова М.М., & Третинникова Т.Н. (2020). Адаптация белых медведей к условиям парка флоры и фауны \u0022Роев ручей\u0022. Вестник Красноярского государственного аграрного университета,  (1 (154)), 84-89.",https://cyberleninka.ru/article/n/adaptatsiya-belyh-medvedey-k-usloviyam-parka-flory-i-fauny-roev-ruchey
"Исследование участков леса, подверженных влиянию короеда-типографа (Ips typographus) в заповеднике «Курильский» (О. Кунашир)","Пирцхалава-Карпова Нана Роландиевна, Карпов Александр Анатольевич, Грищенко Михаил Юрьевич, Козловский Евгений Евгеньевич",Лесотехнический журнал,2020,Биологические науки,"лесопатологический мониторинг, короед-типограф, оопт, ветровал, усыхание ельников","ips typographus, forest pathological monitoring, eight-dentated bark beetle, ipstypographus, protected areas, windfall timber, spruce drying","Изменение климата оказывает большое влияние на вспышки лесных вредителей. В последние годы произошло несколько крупных климатических явлений в области Южных Курильских островов, которые имели каскадное воздействие на вредителей леса.Одно из таких воздействий оказал тайфун 2014 года, после которого началось массовое усыхание хвойных лесов на территории заповедника «Курильский», а также в охранной зоне. Усыхание лесов на острове Кунашир является одной из главных проблем. Целью данного исследования было обнаружение и изучение мест нападения короеда-типографа (Ips typographus) на территории заповедника, закладывание пробных площадей в очагах распространения. Данное исследование показало, что в основном, подвержены нападению короеда-типографа ели возраста 50-70 лет. Однако, стоит отметить, что нападение короеда было замечено больше на ели глена (Piceaglehnii), меньше на ели аянской (Piceajezoensis) в местах закладывания пробных площадей. Кроме того, в ходе исследования были определены существенные различия между здоровыми, ослабленными деревьями и соседними мертвыми деревьями, атакованные Ips typographus. Эти различия были наиболее выражены в: индивидуальном затенении, коллективном затенении, факторах расстоянияи ярусности. Ранее вредители леса были относительно не изучены, и это исследование даст новое понимание его экологии, а также практические возможности для его управленияClimate change has a major impact on forest pest outbreaks. In recent years, there have been several major climatic events in the South Kuril Islands that have cascaded impacts on forest pests. One of these effects was exerted by the typhoon of 2014, after which the coniferous forests began to dry out in the Kurilskiy Nature Reserve, as well as in the protected zone. Drying of forests on the island of Kunashir is one of the main problems. The aim of this study was to detect and study the sites of attack of eight-dentated bark beetle (Ips typographus) in the reserve, laying test areas in the distribution foci. This study showed that spruce aged 50-70 are mainly susceptible to the attacks of eight-dentated bark beetle. However, it is worth noting that the attack of the bark beetle was seen more on Sakhalin spruce (Piceaglehnii), less on Yezo spruce (Piceajezoensis) in the places where the test plots were laid. In addition, the study has identified significant differences between healthy, weakened trees and neighboring dead trees attacked by Ipstypographus. These differences were most pronounced in: individual shading, collective shading, and distance and tier factors. Forest pests have not been relatively studied previously. This study will give a new understanding of its ecology, as well as practical opportunities for its management","Пирцхалава-карпова Нана Роландиевна, Карпов Александр Анатольевич, Грищенко Михаил Юрьевич, Козловский Евгений Евгеньевич Исследование участков леса, подверженных влиянию короеда-типографа (Ips typographus) в заповеднике «Курильский» (О. Кунашир) // Лесотехнический журнал. 2020. №1 (37). URL: https://cyberleninka.ru/article/n/issledovanie-uchastkov-lesa-podverzhennyh-vliyaniyu-koroeda-tipografa-ips-typographus-v-zapovednike-kurilskiy-o-kunashir (дата обращения: 14.11.2024).","Пирцхалава-Карпова Нана Роландиевна, Карпов Александр Анатольевич, Грищенко Михаил Юрьевич, & Козловский Евгений Евгеньевич (2020). Исследование участков леса, подверженных влиянию короеда-типографа (Ips typographus) в заповеднике «Курильский» (О. Кунашир). Лесотехнический журнал, 10 (1 (37)), 50-59.",https://cyberleninka.ru/article/n/issledovanie-uchastkov-lesa-podverzhennyh-vliyaniyu-koroeda-tipografa-ips-typographus-v-zapovednike-kurilskiy-o-kunashir
Углерод почв лесных районов Европейско-Уральской части России,"Честных О.В., Грабовский В.И., Замолодчиков Д.Г.",Вопросы лесной науки,2020,Биологические науки,"земли лесного фонда россии, лесообразующие породы, база данных, лесные почвы, запасы почвенного биологического углерода (csoil)","states forest account lands of russia, forest dominant species, data base, forest soils, organic carbon stock (csoil)","Оценка пула углерода почвенного блока Европейско-Уральской части России произведена на топ основе категорий земель, принятой в Государственном лесном реестре (всего 21 «биотоп»). Опубликованные данные 675 почвенных разрезов через координаты и описания разрезов были привязаны к биотопам и лесным районам (13). Суммарные запасы углерода в почвах лесных районов Европейско-Уральской части составили для глубины 0-30 см 19.3*109 С т, для 0-50 26.6*109 С т, для 0-100 см 34.2*109 С т. Общая площадь земель лесного фонда в европейской части России для этих лесных районов оценена в 181.13*106 га. Приводятся агрегированные данные как по биотопам всего региона, так и по лесным районам. Результаты, полученные нами на топ основе лесообразующих пород и нелесных земель, сравниваются с оценками других авторов, полученными для различных типов почв.The carbon pool of the soil block of the European-Ural part of Russia was estimated on the basis of land categories adopted in the State Forest Register (21 biotopes in total). Published data of 675 soil sections using the coordinates and descriptions of sections were linked to biotopes and forest areas (13). The total carbon stock in the soils of forest regions of the European-Ural part amounted to 19.3 *109 t C for a depth of 0-30 cm, 26.6 *109 t C for a 0-50 cm depth, and 34.2*109 t C for 0-100 cm. The total area of the forest sector in the European part of Russia for these forest regions is estimated at 181.13 *106 ha. Aggregated data are given both for biotopes of the entire region and for forest areas. The results we obtained on a top basis of forest-forming speciesand non-forest lands are compared with estimates of other authors obtained for various types of soils.","Честных О. В., Грабовский В. И., Замолодчиков Д. Г. Углерод почв лесных районов Европейско-Уральской части России // Вопросы лесной науки. 2020. №2. URL: https://cyberleninka.ru/article/n/uglerod-pochv-lesnyh-rayonov-evropeysko-uralskoy-chasti-rossii (дата обращения: 14.11.2024).","Честных О.В., Грабовский В.И., & Замолодчиков Д.Г. (2020). Углерод почв лесных районов Европейско-Уральской части России. Вопросы лесной науки, 3 (2), 1-15.",https://cyberleninka.ru/article/n/uglerod-pochv-lesnyh-rayonov-evropeysko-uralskoy-chasti-rossii
Ксилотрофные базидиомицеты мелколиственных лесов Костромской области,Марамохин Э. В.,Вестник Нижневартовского государственного университета,2020,Биологические науки,"ксилотрофные базидиомицеты, мелколиственные леса, биотопические связи, фитоценоз, эвритрофы, стенотрофы, таксономическое разнообразие","fomes fomentarius (l.) fr, phellinus igniarius (l.) quel, piptoporus betulinus (bull.) p.karst, inonotus obliquus (ach. ex pers.) pil, xylotrophic basidiomycetes, small-leaved forests, piptoporus betulinus (bull.) p. karst, biotopic relationships, phytocenosis, eutrophs, stenotrophs, taxonomic diversity","В данной работе приводится обзор особенностей биологии и видового разнообразия ксилотрофных базидиомицетов, а также биотопические связи микобиоты ксилотрофов с фитоценозами. Рассматриваются экологические группы данных организмов в связи с субстратной специализацией и их видовое сходство в березовых и осиновых мелколиственных лесах разной формации. Дается краткая оценка влияния антропогенного фактора на биологическое разнообразие представленной группы организмов. Впервые приводится разделение Костромской области на южную, центральную и северную части для оценки видового разнообразия в зависимости от погодно-климатических, фитоценотических факторов. Приводятся данные по изучению изменения степени интегрированности микоценозов березовых и осиновых лесов в пределах изучаемых районов области. Всего на территории области в мелколиственных лесах обнаружено более 60 видов ксилотрофных базидиомицетов, среди которых 38 видов поражают преимущественно березовые леса и 40 видов патогенных ксилотрофных базидиомицетов обладают тропностью к P. tremula . Установлено, что в видовом составе дереворазрушающей микобиоты преобладают виды, относящиеся к семейству Соriоlасеае, они составляют около 27% всего видового состава в березовых лесах и около 24% видового состава в осиновых лесах.",Марамохин Э. В. Ксилотрофные базидиомицеты мелколиственных лесов Костромской области // Вестник НВГУ. 2020. №1. URL: https://cyberleninka.ru/article/n/ksilotrofnye-bazidiomitsety-melkolistvennyh-lesov-kostromskoy-oblasti (дата обращения: 14.11.2024).,"Марамохин Э. В. (2020). Ксилотрофные базидиомицеты мелколиственных лесов Костромской области. Вестник Нижневартовского государственного университета,  (1), 4-9.",https://cyberleninka.ru/article/n/ksilotrofnye-bazidiomitsety-melkolistvennyh-lesov-kostromskoy-oblasti
"К экологии песчаного удавчика Eryx milliaris (Reptilia, Boidae) на территории Калмыкии",Неймарк Леонид Александрович,Современная герпетология,2020,Биологические науки,"экология, распространение, калмыкия","eryx milliaris, maxent, ecology, areal, kalmykia","Приводятся данные по биотопическому распределению, численности и температурным предпочтениям песчаного удавчика в Калмыкии. Также анализируется влияние биоклиматических показателей на распространение этого вида с помощью моделирования в программе Maxent. Для анализа используются 2 модели, построенные по 19 стандартным биоклиматическим показателям и по сокращённому списку после удаления скоррелированных переменных. Температура тела песчаного удавчика варьировала от 12 до 33°С. Численность песчаного удавчика в Калмыкии остаётся достаточно высокой, достигая 2 особ. / га на песчаных барханах Черноземельского района. Не выявлено существенных изменений в распространении песчаного удавчика на территории Калмыкии по сравнению с данными В. А. Киреева и М. К. Ждоковой 1970-х и 2000-х гг. Учитывая изменения в распределении биотопов полупустынь, в частности значительное сокращение площади открытых песков в этот период, можна говорить о большей биотопической пластичности этого вида, чем обычно считается, и большей зависимости его распространения от климатических факторов, чем от количества барханных песков. Это предположение подтверждается находками особей этого вида в остепнённых местообитаниях на расстоянии нескольких десятков километров от ближайших барханов. Наиболее благоприятные климатические условия для обитания песчаного удавчика по результатам моделирования в программе Maxent находятся в Лаганском и южной половине Черноземельского района Калмыкии, что совпадает с местами наибольшей численности этого вида. По результатам моделирования наибольшее влияние на его распространение оказали количество зимних осадков и температуры самой тёплой четверти года.","Неймарк Леонид Александрович К экологии песчаного удавчика Eryx milliaris (Reptilia, Boidae) на территории Калмыкии // Современная герпетология. 2020. №1-2. URL: https://cyberleninka.ru/article/n/k-ekologii-peschanogo-udavchika-eryx-milliaris-reptilia-boidae-na-territorii-kalmykii (дата обращения: 14.11.2024).","Неймарк Леонид Александрович (2020). К экологии песчаного удавчика Eryx milliaris (Reptilia, Boidae) на территории Калмыкии. Современная герпетология, 20 (1-2), 43-52.",https://cyberleninka.ru/article/n/k-ekologii-peschanogo-udavchika-eryx-milliaris-reptilia-boidae-na-territorii-kalmykii
БИОЛОГИЧЕСКИЕ СВОЙСТВА ПОЧВ АНТРОПОГЕННО-НАРУШЕННЫХ БОРЕАЛЬНЫХ ЛЕСОВ ПРИАМУРЬЯ,"Абрамова Е.Р., Кондратова А.В., Шумилова Л.П., Пилецкая О.А.",Международный научно-исследовательский журнал,2020,Биологические науки,"лиственничник, рубки, пожары, биология почв, биодеструкция","larch, logging, fires, soil biology, biodegradation","Бореальные леса выполняют множество глобальных экосистемных функций, среди которых накопление углерода (С) в почвах является одной из важнейших и осуществляется в процессе биодеструкции растительного опада. Основными антропогенными нарушениями этих лесов являются лесные пожары и рубки, приводящие к значительному нарушению биологических свойств почв и, следовательно, способности экосистемы к биодеструкции органических остатков. Целью работы было изучить физико-химические и биологические свойства буроземных почв лиственничных лесов под воздействием рубок и пожаров. Исследования проведены в северной части Амурской области в лиственничных лесах предгорий хребта Тукурингра. Установлено значительное изменение кислотности почв, увеличение запасов грубого гумуса и повышенная влажность почв лесосеки, увеличилась мощность лесных подстилок в нарушенных лесах. Из-за повышенной инсоляции почвы нарушенных территорий прогреваются интенсивнее в весенний период, а в осенний период наблюдается более интенсивное охлаждение. Количество олиготрофных микроорганизмов и так же экзоферментов, участвующих в разложении труднодоступных органических веществ в почвах антропогенно-нарушенных территорий значительно ниже фоновых. Таким образом, наши исследования показывают, что пожары и рубки существенно изменяют почвенно-растительные условия и биологические свойства почв в бореальных лиственничниках. Из-за нарушенных биологических функций почв легкоразлагаемая часть опада минерализуется, а оставшаяся накапливается в форме грубого гумуса. Всё вместе это свидетельствует о замедлении цикла углерода и гумусообразования в нарушенных лесах бореальной зоны.","Абрамова Е. Р., Кондратова А. В., Шумилова Л. П., Пилецкая О. А. БИОЛОГИЧЕСКИЕ СВОЙСТВА ПОЧВ АНТРОПОГЕННО-НАРУШЕННЫХ БОРЕАЛЬНЫХ ЛЕСОВ ПРИАМУРЬЯ // МНИЖ. 2020. №5-1 (95). URL: https://cyberleninka.ru/article/n/biologicheskie-svoystva-pochv-antropogenno-narushennyh-borealnyh-lesov-priamurya (дата обращения: 14.11.2024).","Абрамова Е.Р., Кондратова А.В., Шумилова Л.П., & Пилецкая О.А. (2020). БИОЛОГИЧЕСКИЕ СВОЙСТВА ПОЧВ АНТРОПОГЕННО-НАРУШЕННЫХ БОРЕАЛЬНЫХ ЛЕСОВ ПРИАМУРЬЯ. Международный научно-исследовательский журнал,  (5-1 (95)), 162-167.",https://cyberleninka.ru/article/n/biologicheskie-svoystva-pochv-antropogenno-narushennyh-borealnyh-lesov-priamurya
