Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
Оценка сортов озимой пшеницы на устойчивость к листовым грибным болезням,"Фадеева И.Д., Курмакаев Ф.Ф.",АгроФорум,2024,Агробиотехнологии,,,,"Фадеева И. Д., Курмакаев Ф. Ф. Оценка сортов озимой пшеницы на устойчивость к листовым грибным болезням // АгроФорум. 2024. №1. URL: https://cyberleninka.ru/article/n/otsenka-sortov-ozimoy-pshenitsy-na-ustoychivost-k-listovym-gribnym-boleznyam-1 (дата обращения: 24.10.2024).","Фадеева И.Д., & Курмакаев Ф.Ф. (2024). Оценка сортов озимой пшеницы на устойчивость к листовым грибным болезням. АгроФорум,  (1), 46-49.",https://cyberleninka.ru/article/n/otsenka-sortov-ozimoy-pshenitsy-na-ustoychivost-k-listovym-gribnym-boleznyam-1
Влияние применения магниевых удобрений на биохимический состав семян сои,"Куркова И.В., Фокин С.А., Тихончук П.В., Щегорец О.В.",АгроФорум,2024,Агробиотехнологии,,,,"Куркова И. В., Фокин С. А., Тихончук П. В., Щегорец О. В. Влияние применения магниевых удобрений на биохимический состав семян сои // АгроФорум. 2024. №1. URL: https://cyberleninka.ru/article/n/vliyanie-primeneniya-magnievyh-udobreniy-na-biohimicheskiy-sostav-semyan-soi (дата обращения: 24.10.2024).","Куркова И.В., Фокин С.А., Тихончук П.В., & Щегорец О.В. (2024). Влияние применения магниевых удобрений на биохимический состав семян сои. АгроФорум,  (1), 52-53.",https://cyberleninka.ru/article/n/vliyanie-primeneniya-magnievyh-udobreniy-na-biohimicheskiy-sostav-semyan-soi
"Природоподобные технологии в аграрной сфере – ответы на новые вызовы современной России
","Алимов К.Г.,  Г.К. Алимова , К.К. Алимов",АгроФорум,2024,Агробиотехнологии,,,,"Алимов К. Г., Г К. Алимова, К К. Алимов Природоподобные технологии в аграрной сфере – ответы на новые вызовы современной России\n // АгроФорум. 2024. №1. URL: https://cyberleninka.ru/article/n/prirodopodobnye-tehnologii-v-agrarnoy-sfere-otvety-na-novye-vyzovy-sovremennoy-rossii (дата обращения: 24.10.2024).","Алимов К.Г.,  Г.К. Алимова , & К.К. Алимов (2024). Природоподобные технологии в аграрной сфере – ответы на новые вызовы современной России\n. АгроФорум,  (1), 56-60.",https://cyberleninka.ru/article/n/prirodopodobnye-tehnologii-v-agrarnoy-sfere-otvety-na-novye-vyzovy-sovremennoy-rossii
НОВЫЙ СОРТ ЯРОВОГО ПЛЁНЧАТОГО ОВСА ДАЛЬНЕВОСТОЧНЫЙ КОРМОВОЙ,"Асеева Татьяна Александровна, Трифунтова Ирина Борисовна ",Агронаука,2024,Агробиотехнологии,"овёс яровой (avena sativa l.), сорт, урожайность зелёной массы, высота растений, селекция","spring oats (avena sativa l.), variety, green mass yield, plant height, selection","Цель данной работы – характеристика нового сорта ярового плёнчатого овса Дальневосточной кормовой селекции ДВ НИИСХ по хозяйственно-биологическим признакам. Новый сорт ярового плёнчатого овса Дальневосточный кормовой получен индивидуальным отбором из гибридной комбинации (Goril Kuro x Noire de Michamps) x (Omihi x Selma). Основные преимущества сорта: по высоте растение превосходит стандартный сорт Маршал на 20 см и Премьер на 25 см; урожайность зелёной массы в среднем за годы исследований превысила стандарт на 4,9 т/га, сорта овса Премьер – 9,1 т/га; масса 1000 зёрен у нового сорта больше на 6,2 г по сравнению с Маршалом и на 7,9 г – с Премьером; содержание белка в зерне у Дальневосточного кормового на 2,7 % выше, чем у сорта овса Маршал и на 3,1 % больше, чем у сорта Премьер; по содержанию лизина в зерне новый сорт превосходит Маршал на 67 мг/% и Премьер на 72 мг/%. Новый сорт овса Дальневосточный кормовой также характеризуется высокой массой 1000 зёрен (до 47,2 г), низкой плёнчатостью зерна (до 18,2 %) и высокой питательной ценностью зелёной массы – 1,29 кормовых единиц. Рекомендуется его дальнейшее использование в селекционной работе и внедрение в производство для товаропроизводителей всех форм собственности Восточно-Сибирского региона.","Асеева Татьяна Александровна, Трифунтова Ирина Борисовна НОВЫЙ СОРТ ЯРОВОГО ПЛЁНЧАТОГО ОВСА ДАЛЬНЕВОСТОЧНЫЙ КОРМОВОЙ // Агронаука. 2024. №1. URL: https://cyberleninka.ru/article/n/novyy-sort-yarovogo-plyonchatogo-ovsa-dalnevostochnyy-kormovoy (дата обращения: 24.10.2024).","Асеева Татьяна Александровна, & Трифунтова Ирина Борисовна  (2024). НОВЫЙ СОРТ ЯРОВОГО ПЛЁНЧАТОГО ОВСА ДАЛЬНЕВОСТОЧНЫЙ КОРМОВОЙ. Агронаука,  2 (1), 31-37.",https://cyberleninka.ru/article/n/novyy-sort-yarovogo-plyonchatogo-ovsa-dalnevostochnyy-kormovoy
SSR-ГЕНОТИПИРОВАНИЕ СОРТОВ СОИ ДАЛЬНЕВОСТОЧНОЙ СЕЛЕКЦИИ ДЛЯ ВЫЯВЛЕНИЯ СТЕПЕНИ ИХ ГЕНЕТИЧЕСКОГО РОДСТВА,"Лаврентьева Светлана Игоревна , Тимкин Павел Дмитриевич , Иваний Алена Андреевна ,  Гретченко Алина Евгеньевна,  Иваченко Любовь Егоровна",Агронаука,2024,Агробиотехнологии,"генетическое разнообразие, микросателлиты, ssr-маркеры, генетическая паспортизация","glycine max l., glycine max l., genetic diversity, microsatellites, ssr-markers, genetic certification","Для оценки генетического разнообразия сельскохозяйственных культур широко применяются молекулярные методы. Цель исследований – изучение молекулярно-генетического полиморфизма микросателлитов ДНК сортов культурной сои Дальневосточного региона, выявление генетического сходства на основе SSR-анализа и степени генетического родства. Методом ПЦР-анализа с использованием 9 микросателлитных локусов (Satt681, Sat_263, Satt141, Satt181, Satt1, Satt2, Satt5, Satt9 и Soyhsp176) идентифицированы 8 сортов сои дальневосточной селекции и 3 образца сои корейской селекции. На основании выявленного набора аллелей микросателлитных локусов составлены молекулярно-генетические паспорта и построена дендрограмма, характеризующая степень генетического родства 4 сортов сои хабаровской селекции, 4 сортов сои приморской селекции и 3 образцов сои корейской селекции. Кластерный анализ отразил гетерогенность изученной выборки сортов сои. Выявлена высокая генетическая неоднородность сортов сои хабаровской и приморской селекций и образцов сои корейской селекции. Установлены уникальные аллели по локусам для корейской селекции – А137, D148, E126; для приморской селекции – В146, С150, С142, D197, E120, E96; для хабаровской селекции – D176, D154, E105, F256, H165, J135, K208. Обнаружены аллели по локусам Satt9 (D168, D186), Satt681 (F244), Sat_263 (H125), Satt141 (J158) и Satt181 (K218), которые характерны для корейской и приморской селекций, что может свидетельствовать о близости их происхождения. Полученные результаты в перспективе можно использовать в селекционных программах по созданию новых адаптивных сортов сои для Дальневосточного региона.","Лаврентьева Светлана Игоревна, Тимкин Павел Дмитриевич, Иваний Алена Андреевна, Гретченко Алина Евгеньевна, Иваченко Любовь Егоровна SSR-ГЕНОТИПИРОВАНИЕ СОРТОВ СОИ ДАЛЬНЕВОСТОЧНОЙ СЕЛЕКЦИИ ДЛЯ ВЫЯВЛЕНИЯ СТЕПЕНИ ИХ ГЕНЕТИЧЕСКОГО РОДСТВА // Агронаука. 2024. №1. URL: https://cyberleninka.ru/article/n/ssr-genotipirovanie-sortov-soi-dalnevostochnoy-selektsii-dlya-vyyavleniya-stepeni-ih-geneticheskogo-rodstva (дата обращения: 24.10.2024).","Лаврентьева Светлана Игоревна , Тимкин Павел Дмитриевич , Иваний Алена Андреевна ,  Гретченко Алина Евгеньевна, &  Иваченко Любовь Егоровна (2024). SSR-ГЕНОТИПИРОВАНИЕ СОРТОВ СОИ ДАЛЬНЕВОСТОЧНОЙ СЕЛЕКЦИИ ДЛЯ ВЫЯВЛЕНИЯ СТЕПЕНИ ИХ ГЕНЕТИЧЕСКОГО РОДСТВА. Агронаука,  2 (1), 49-60.",https://cyberleninka.ru/article/n/ssr-genotipirovanie-sortov-soi-dalnevostochnoy-selektsii-dlya-vyyavleniya-stepeni-ih-geneticheskogo-rodstva
ИССЛЕДОВАНИЕ МУЧНЫХ КОНДИТЕРСКИХ ИЗДЕЛИЙ БЕЗ САХАРА С ИСПОЛЬЗОВАНИЕМ СУХОФРУКТОВ И ИХ ОРГАНОЛЕПТИЧЕСКАЯ ОЦЕНКА,"Джахангирова Гулноза Зинатуллаевна, Махмудова Дилдора Хасановна",Science and innovation,2024,Агробиотехнологии,,,,"Джахангирова Гулноза Зинатуллаевна, Махмудова Дилдора Хасановна ИССЛЕДОВАНИЕ МУЧНЫХ КОНДИТЕРСКИХ ИЗДЕЛИЙ БЕЗ САХАРА С ИСПОЛЬЗОВАНИЕМ СУХОФРУКТОВ И ИХ ОРГАНОЛЕПТИЧЕСКАЯ ОЦЕНКА // SAI. 2024. №Special Issue 1. URL: https://cyberleninka.ru/article/n/issledovanie-muchnyh-konditerskih-izdeliy-bez-sahara-s-ispolzovaniem-suhofruktov-i-ih-organolepticheskaya-otsenka (дата обращения: 24.10.2024).","Джахангирова Гулноза Зинатуллаевна, & Махмудова Дилдора Хасановна (2024). ИССЛЕДОВАНИЕ МУЧНЫХ КОНДИТЕРСКИХ ИЗДЕЛИЙ БЕЗ САХАРА С ИСПОЛЬЗОВАНИЕМ СУХОФРУКТОВ И ИХ ОРГАНОЛЕПТИЧЕСКАЯ ОЦЕНКА. Science and innovation, 3 (Special Issue 1), 112-113. doi: 10.5281/zenodo.10841272",https://cyberleninka.ru/article/n/issledovanie-muchnyh-konditerskih-izdeliy-bez-sahara-s-ispolzovaniem-suhofruktov-i-ih-organolepticheskaya-otsenka
Устойчивость форм груши и айвы к абиотическим факторам (засолению),Илона Валериевна Зацепина,Известия Великолукской государственной сельскохозяйственной академии,2024,Агробиотехнологии,"солеустойчивость, некроз листьев, формы, клоновые подвои груши, айва, хлорофилл, хлорид натрия","salt tolerance, leaf necrosis, varieties, clonal pear rootstocks, quince, chlorophyll, sodium chloride","Солеустойчивость – это способность растений противостоять засолению, не снижая интенсивность течения основных физиологических процессов. Как пишут исследователи, до 25% и более может доходить часть засоления земель. В результате проведенных исследований было установлено, что при концентрации солевого раствора 0,6% наибольшей устойчивостью к засолению на 3-й день опыта характе-ризовались формы груши ПГ 12 (к), ПГ 2, ПГ 333, К-1, К-2, Кавказская и айва ВА 29 (к), Прованская, № 40, № 31, № 25, № 13, повреждение листьев которых не превысило 1,0 балла. Также представляют интерес формы груши 4-26, 4-39 и айва Северная, № 21 со степенью повреждения 1,1-1,8 балла. В контроле на 3-й день опыта все изученные выше формы груши и айвы не имели повреждения листьев некрозом. На 5-й день при концентрации солевого раствора 0,6% наибольшей устойчивостью листьев некрозу характеризовались подвой груши ПГ 12 (к) – 0,8 балла и айва ВА 29, № 31, № 25, № 13 – 0,0 балла. В контроле на 5-й день опыта наибольшей устойчивостью характе-ризовались клоновые подвои груши ПГ 12 (к), ПГ 17-16, ПГ 2, ПГ 333, К-1, К-2, 4-26, данный показатель составлял от 0,0 до 0,5 балла, и айва ВА 29 (к), Северная, № 40, № 31, № 25, № 13, № 21, Прованская, повреждение некрозом составило от 0,0 до 0,3 балла.",Илона Валериевна Зацепина Устойчивость форм груши и айвы к абиотическим факторам (засолению) // Известия Великолукской государственной сельскохозяйственной академии. 2024. №1 (46). URL: https://cyberleninka.ru/article/n/ustoychivost-form-grushi-i-ayvy-k-abioticheskim-faktoram-zasoleniyu (дата обращения: 24.10.2024).,"Илона Валериевна Зацепина (2024). Устойчивость форм груши и айвы к абиотическим факторам (засолению). Известия Великолукской государственной сельскохозяйственной академии,  (1 (46)), 3-7.",https://cyberleninka.ru/article/n/ustoychivost-form-grushi-i-ayvy-k-abioticheskim-faktoram-zasoleniyu
Разработка схем стерилизации для введения овощных культур в in vitro,"Анна Сергеевна Исаченкова , Юлия Николаевна Федорова",Известия Великолукской государственной сельскохозяйственной академии,2024,Агробиотехнологии,"стерилизация, горох (лат. písum), перец (лат. piper), цефотаксим, натрия хлорид","in vitro, in vitro, sterilization, peas (latin písum), pepper (latin piper), cefotaxime, sodium chloride","В настоящее время установлено, что в селекции возникают трудности в отборе и сохранении ценных форм из-за высокой гибели зародышей на ранних стадиях развития. Это затягивает процесс получения нужных признаков. Поэтому использование современных методов в биотехнологиях становится необходимостью для быстрого и эффективного изучения сортов и гибридов, сделав их более высокопродуктивными и устойчивыми к биотическим и абиотическим факторам. В статье проводится изучение некоторых методов обработки, таких как химический и термический (22 оС с увеличением температуры на 0,1 °C в течение 5 дней) методы. В опыте использовался химический метод с выбором стерилизующих агентов: спирт 95%, белизна, дистиллированная автоклавированная вода, моющее средство, натрий хлорид и цефотаксим. Объектами опыта являлись скороспелый сорт гороха Амброзия и среднеранний сорт перца Калифорнийское чудо. Исследования показали, что схемы стерилизации №1 и №2 обеспечи-вают самую высокую выживаемость эксплантов гороха – 70% и 50%, перца – 70% и 60%. Это свидетельствует о том, что эти схемы являются наиболее эффективными для стерилиза-ции и обеспечивают высокое здоровье эксплантов. Важно отметить, что контрольная группа без применения схемы стерилизации имеет самый низкий процент выживаемости эксплантов (20%). Это подчеркивает необходимость правильного подхода к стерилизации, чтобы обеспечить высокие показатели здоровья экс-плантов. На основании результатов опыта, рекомендуется использовать схемы стерилизации №1 и №2 для обеспечения высокой выживаемости и здоровья эксплантов.","Анна Сергеевна Исаченкова, Юлия Николаевна Федорова Разработка схем стерилизации для введения овощных культур в in vitro // Известия Великолукской государственной сельскохозяйственной академии. 2024. №1 (46). URL: https://cyberleninka.ru/article/n/razrabotka-shem-sterilizatsii-dlya-vvedeniya-ovoschnyh-kultur-v-in-vitro (дата обращения: 24.10.2024).","Анна Сергеевна Исаченкова , & Юлия Николаевна Федорова (2024). Разработка схем стерилизации для введения овощных культур в in vitro. Известия Великолукской государственной сельскохозяйственной академии,  (1 (46)), 25-32.",https://cyberleninka.ru/article/n/razrabotka-shem-sterilizatsii-dlya-vvedeniya-ovoschnyh-kultur-v-in-vitro
Оценка эффективности использования кормовой добавки «Акваспорин» при выращивании карпа в условиях индустриальной аквакультуры,"В. Н. Любомирова, Е. М. Романова, В. В. Романов, А. В. Васильев",Вестник Ульяновской государственной сельскохозяйственной академии,2024,Агробиотехнологии,"индустриальная аквакультура, кормовая добавка «акваспорин», карпы, оценка эффективности","industrial aquaculture, ""aquasporin"" feed additive, carp, efficiency assessment","Работа посвящена оценке эффективности использования кормовой добавки «Акваспорин» при выращивании рыбы в индустриальной аквакультуре. Оценивали влияние «Акваспориана» на ростовые, весовые и морфологические характеристики карпов. Для проведения исследований были сформированы две экспериментальные группы по принципу аналогов по 30 особей в каждой. Карпы контрольной группы получали основной рацион комбикорм фирмы Лимкорм, а особи опытной, помимо основного рациона, получали пробиотик «Акваспорин» из расчета 1 г/кг корма. Эффективность применения кормовой добавки оценивали по экстерьерным показателям роста и развития рыб. Поводили измерения морфометрических показателей карпа, индексы внутренних органов, массу тела и тушки, среднесуточный и относительный приросты, скорость роста. Вес карпов в опытной группе, получавшей пробиотическую добавку, достоверно выше средних показателей контрольной группы на 90,2 г, длина тела от рыла до хвоста на 2,06 см больше. Среднесуточный прирост особей на фоне пробиотика в опытной группе был на 100% больше, чем в контрольной. Относительный прирост в контрольной группе достигал в среднем 21,4 %, а у рыб опытной группы, получавшей «Акваспорин», составлял 35,2 %. Скармливание пробиотической кормовой добавки «Акваспорин» при выращивании зеркального карпа продемонстрировало эффективность в отношении экстерьерных показателей, показателей продуктивности, весовых характеристик, морфометрических признаков.","В Н. Любомирова, Е М. Романова, В В. Романов, А В. Васильев Оценка эффективности использования кормовой добавки «Акваспорин» при выращивании карпа в условиях индустриальной аквакультуры // Вестник Ульяновской ГСХА. 2024. №1 (65). URL: https://cyberleninka.ru/article/n/otsenka-effektivnosti-ispolzovaniya-kormovoy-dobavki-akvasporin-pri-vyraschivanii-karpa-v-usloviyah-industrialnoy-akvakultury (дата обращения: 24.10.2024).","В. Н. Любомирова, Е. М. Романова, В. В. Романов, & А. В. Васильев (2024). Оценка эффективности использования кормовой добавки «Акваспорин» при выращивании карпа в условиях индустриальной аквакультуры. Вестник Ульяновской государственной сельскохозяйственной академии,  (1 (65)), 178-184. doi: 10.18286/1816-4501-2024-1-178-184",https://cyberleninka.ru/article/n/otsenka-effektivnosti-ispolzovaniya-kormovoy-dobavki-akvasporin-pri-vyraschivanii-karpa-v-usloviyah-industrialnoy-akvakultury
ВЛИЯНИЕ ПОЧВЕННОГО КЛИМАТА И ВОЗДЕЛЫВАНИЯ НА ПОКАЗАТЕЛИ КАЧЕСТВА РАСТЕНИЙ ЧЕЧЕВИЦЫ И НАКОПЛЕНИЕ ХЛОРОФИЛЛА,Нариманлы Ульвия Рофат Кызы,Вестник науки и образования,2024,Агробиотехнологии,"чечевица, почва, растение, агробиологическое, фасоль, удобрение, качественный хлорофилл","lentils, soil, plant, agrobiological, beans, fertilizer, quality chlorophyll","вопрос продовольственной безопасности является важнейшим вопросом в решении проблем, возникающих на фоне изменения климата, нарушающего экологическое равновесие в мире. В этом отношении особое значение имеет растение чечевица. Растение чечевица, являющееся ценным растением-предшественником, и широко используемое в сельском хозяйстве, особое значение в удовлетворении пищевых потребностей населения имеют зернобобовые растения, такие как нут и фасоль, посевные площади этих растений не достаточно. В связи с этим расширение посевных площадей зернобобовых культур, в том числе чечевицы, с одновременным повышением урожайности и качества продукции является одной из приоритетных задач современности.",Нариманлы Ульвия Рофат Кызы ВЛИЯНИЕ ПОЧВЕННОГО КЛИМАТА И ВОЗДЕЛЫВАНИЯ НА ПОКАЗАТЕЛИ КАЧЕСТВА РАСТЕНИЙ ЧЕЧЕВИЦЫ И НАКОПЛЕНИЕ ХЛОРОФИЛЛА // Вестник науки и образования. 2024. №1 (144)-1. URL: https://cyberleninka.ru/article/n/vliyanie-pochvennogo-klimata-i-vozdelyvaniya-na-pokazateli-kachestva-rasteniy-chechevitsy-i-nakoplenie-hlorofilla (дата обращения: 24.10.2024).,"Нариманлы Ульвия Рофат Кызы (2024). ВЛИЯНИЕ ПОЧВЕННОГО КЛИМАТА И ВОЗДЕЛЫВАНИЯ НА ПОКАЗАТЕЛИ КАЧЕСТВА РАСТЕНИЙ ЧЕЧЕВИЦЫ И НАКОПЛЕНИЕ ХЛОРОФИЛЛА. Вестник науки и образования,  (1 (144)-1), 20-26.",https://cyberleninka.ru/article/n/vliyanie-pochvennogo-klimata-i-vozdelyvaniya-na-pokazateli-kachestva-rasteniy-chechevitsy-i-nakoplenie-hlorofilla
