Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
Гнездящиеся птицы Приморского края: синяя мухоловка Cyanoptila cyanomelana,"Валерий Павлинович Шохрин, Юрий Николаевич Глущенко , Дмитрий Вячеславович Коробов, Геннадий Николаевич Бачурин, Анатолий Петрович Ходаков, Владимир Несторович Сотников, Николай Николаевич Балацкий, Иван Михайлович Тиунов, Дмитрий Анатольевич Беляев",Русский орнитологический журнал,2024,Биологические науки,,,,"Валерий Павлинович Шохрин, Юрий Николаевич Глущенко, Дмитрий Вячеславович Коробов, Геннадий Николаевич Бачурин, Анатолий Петрович Ходаков, Владимир Несторович Сотников, Николай Николаевич Балацкий, Иван Михайлович Тиунов, Дмитрий Анатольевич Беляев Гнездящиеся птицы Приморского края: синяя мухоловка Cyanoptila cyanomelana // Рус. орнитол. журн.. 2024. №2380. URL: https://cyberleninka.ru/article/n/gnezdyaschiesya-ptitsy-primorskogo-kraya-sinyaya-muholovka-cyanoptila-cyanomelana (дата обращения: 14.11.2024).","Валерий Павлинович Шохрин, Юрий Николаевич Глущенко , Дмитрий Вячеславович Коробов, Геннадий Николаевич Бачурин, Анатолий Петрович Ходаков, Владимир Несторович Сотников, Николай Николаевич Балацкий, Иван Михайлович Тиунов, & Дмитрий Анатольевич Беляев (2024). Гнездящиеся птицы Приморского края: синяя мухоловка Cyanoptila cyanomelana. Русский орнитологический журнал, 33 (2380), 3-37. doi: 10.24412/1026-5627-2024-2380-3-37",https://cyberleninka.ru/article/n/gnezdyaschiesya-ptitsy-primorskogo-kraya-sinyaya-muholovka-cyanoptila-cyanomelana
Рыжепоясничная ласточка Cecropis daurica в Краснодарском крае и Республике Адыгея,Александр Георгиевич Перевозов,Русский орнитологический журнал,2024,Биологические науки,,,,Александр Георгиевич Перевозов Рыжепоясничная ласточка Cecropis daurica в Краснодарском крае и Республике Адыгея // Рус. орнитол. журн.. 2024. №2380. URL: https://cyberleninka.ru/article/n/ryzhepoyasnichnaya-lastochka-cecropis-daurica-v-krasnodarskom-krae-i-respublike-adygeya (дата обращения: 14.11.2024).,"Александр Георгиевич Перевозов (2024). Рыжепоясничная ласточка Cecropis daurica в Краснодарском крае и Республике Адыгея. Русский орнитологический журнал, 33 (2380), 37-42.",https://cyberleninka.ru/article/n/ryzhepoyasnichnaya-lastochka-cecropis-daurica-v-krasnodarskom-krae-i-respublike-adygeya
Летняя встреча белолобого гуся Anser albifrons в городе Себеже в 2023 году,"Геннадий Леонидович Косенков, Сергей Анатольевич Фетисов",Русский орнитологический журнал,2024,Биологические науки,,,,"Геннадий Леонидович Косенков, Сергей Анатольевич Фетисов Летняя встреча белолобого гуся Anser albifrons в городе Себеже в 2023 году // Рус. орнитол. журн.. 2024. №2380. URL: https://cyberleninka.ru/article/n/letnyaya-vstrecha-belolobogo-gusya-anser-albifrons-v-gorode-sebezhe-v-2023-godu (дата обращения: 14.11.2024).","Геннадий Леонидович Косенков, & Сергей Анатольевич Фетисов (2024). Летняя встреча белолобого гуся Anser albifrons в городе Себеже в 2023 году. Русский орнитологический журнал, 33 (2380), 42-47.",https://cyberleninka.ru/article/n/letnyaya-vstrecha-belolobogo-gusya-anser-albifrons-v-gorode-sebezhe-v-2023-godu
Влияние климатических условий сезона на территориальную структуру и динамику репродуктивных показателей в популяции лебедя-шипуна Cygnus olor восточной части Финского залива,"Сергей Александрович Коузов, Анна Валентиновна Кравчук",Русский орнитологический журнал,2024,Биологические науки,,,,"Сергей Александрович Коузов, Анна Валентиновна Кравчук Влияние климатических условий сезона на территориальную структуру и динамику репродуктивных показателей в популяции лебедя-шипуна Cygnus olor восточной части Финского залива // Рус. орнитол. журн.. 2024. №2380. URL: https://cyberleninka.ru/article/n/vliyanie-klimaticheskih-usloviy-sezona-na-territorialnuyu-strukturu-i-dinamiku-reproduktivnyh-pokazateley-v-populyatsii-lebedya (дата обращения: 14.11.2024).","Сергей Александрович Коузов, & Анна Валентиновна Кравчук (2024). Влияние климатических условий сезона на территориальную структуру и динамику репродуктивных показателей в популяции лебедя-шипуна Cygnus olor восточной части Финского залива. Русский орнитологический журнал, 33 (2380), 56-57.",https://cyberleninka.ru/article/n/vliyanie-klimaticheskih-usloviy-sezona-na-territorialnuyu-strukturu-i-dinamiku-reproduktivnyh-pokazateley-v-populyatsii-lebedya
Состояние популяции кобчика Falco vespertinus в Ставропольском крае,"В.Н. Федосов , Л.В. Маловичко",Русский орнитологический журнал,2024,Биологические науки,,,,"В Н. Федосов, Л В. Маловичко Состояние популяции кобчика Falco vespertinus в Ставропольском крае // Рус. орнитол. журн.. 2024. №2380. URL: https://cyberleninka.ru/article/n/sostoyanie-populyatsii-kobchika-falco-vespertinus-v-stavropolskom-krae (дата обращения: 14.11.2024).","В.Н. Федосов , & Л.В. Маловичко (2024). Состояние популяции кобчика Falco vespertinus в Ставропольском крае. Русский орнитологический журнал, 33 (2380), 58-65.",https://cyberleninka.ru/article/n/sostoyanie-populyatsii-kobchika-falco-vespertinus-v-stavropolskom-krae
Микроэволюционные изменения при урбанизации диких видов птиц и неприложимость к ним модели Д.К. Беляева,"В.С. Фридман , В.В. Суслов",Русский орнитологический журнал,2024,Биологические науки,,,,"В С. Фридман, В В. Суслов Микроэволюционные изменения при урбанизации диких видов птиц и неприложимость к ним модели Д.К. Беляева // Рус. орнитол. журн.. 2024. №2380. URL: https://cyberleninka.ru/article/n/mikroevolyutsionnye-izmeneniya-pri-urbanizatsii-dikih-vidov-ptits-i-neprilozhimost-k-nim-modeli-d-k-belyaeva (дата обращения: 14.11.2024).","В.С. Фридман , & В.В. Суслов (2024). Микроэволюционные изменения при урбанизации диких видов птиц и неприложимость к ним модели Д.К. Беляева. Русский орнитологический журнал, 33 (2380), 65-67.",https://cyberleninka.ru/article/n/mikroevolyutsionnye-izmeneniya-pri-urbanizatsii-dikih-vidov-ptits-i-neprilozhimost-k-nim-modeli-d-k-belyaeva
К 75-летию со дня рождения Александра Владимировича Андреева (1948-2020): воспоминания якутских орнитологов,"Николай Иванович Гермогенов , Аркадий Петрович Исаев, Николай Александрович Находкин",Русский орнитологический журнал,2024,Биологические науки,,,,"Николай Иванович Гермогенов, Аркадий Петрович Исаев, Николай Александрович Находкин К 75-летию со дня рождения Александра Владимировича Андреева (1948-2020): воспоминания якутских орнитологов // Рус. орнитол. журн.. 2024. №2381. URL: https://cyberleninka.ru/article/n/k-75-letiyu-so-dnya-rozhdeniya-aleksandra-vladimirovicha-andreeva-1948-2020-vospominaniya-yakutskih-ornitologov (дата обращения: 14.11.2024).","Николай Иванович Гермогенов , Аркадий Петрович Исаев, & Николай Александрович Находкин (2024). К 75-летию со дня рождения Александра Владимировича Андреева (1948-2020): воспоминания якутских орнитологов. Русский орнитологический журнал, 33 (2381), 71-79.",https://cyberleninka.ru/article/n/k-75-letiyu-so-dnya-rozhdeniya-aleksandra-vladimirovicha-andreeva-1948-2020-vospominaniya-yakutskih-ornitologov
Птицы-дуплогнездники заброшенных воинских частей юго-запада Приморского края и влияние на них травяных палов,"Дмитрий Анатольевич Беляев, Юрий Николаевич Глущенко",Русский орнитологический журнал,2024,Биологические науки,,,,"Дмитрий Анатольевич Беляев, Юрий Николаевич Глущенко Птицы-дуплогнездники заброшенных воинских частей юго-запада Приморского края и влияние на них травяных палов // Рус. орнитол. журн.. 2024. №2381. URL: https://cyberleninka.ru/article/n/ptitsy-duplognezdniki-zabroshennyh-voinskih-chastey-yugo-zapada-primorskogo-kraya-i-vliyanie-na-nih-travyanyh-palov (дата обращения: 14.11.2024).","Дмитрий Анатольевич Беляев, & Юрий Николаевич Глущенко (2024). Птицы-дуплогнездники заброшенных воинских частей юго-запада Приморского края и влияние на них травяных палов. Русский орнитологический журнал, 33 (2381), 80-93.",https://cyberleninka.ru/article/n/ptitsy-duplognezdniki-zabroshennyh-voinskih-chastey-yugo-zapada-primorskogo-kraya-i-vliyanie-na-nih-travyanyh-palov
Сравнительный анализ строения мозга и когнитивных способностей птиц,"Леонид Николаевич Воронов , Галина Владимировна Воронова",Русский орнитологический журнал,2024,Биологические науки,,,,"Леонид Николаевич Воронов, Галина Владимировна Воронова Сравнительный анализ строения мозга и когнитивных способностей птиц // Рус. орнитол. журн.. 2024. №2381. URL: https://cyberleninka.ru/article/n/sravnitelnyy-analiz-stroeniya-mozga-i-kognitivnyh-sposobnostey-ptits (дата обращения: 14.11.2024).","Леонид Николаевич Воронов , & Галина Владимировна Воронова (2024). Сравнительный анализ строения мозга и когнитивных способностей птиц. Русский орнитологический журнал, 33 (2381), 94-115.",https://cyberleninka.ru/article/n/sravnitelnyy-analiz-stroeniya-mozga-i-kognitivnyh-sposobnostey-ptits
Кризис традиционных представлений об изменчивости: на пути к новой парадигме,Олег Николаевич Тиходеев,Русский орнитологический журнал,2024,Биологические науки,,,,Олег Николаевич Тиходеев Кризис традиционных представлений об изменчивости: на пути к новой парадигме // Рус. орнитол. журн.. 2024. №2381. URL: https://cyberleninka.ru/article/n/krizis-traditsionnyh-predstavleniy-ob-izmenchivosti-na-puti-k-novoy-paradigme-1 (дата обращения: 14.11.2024).,"Олег Николаевич Тиходеев (2024). Кризис традиционных представлений об изменчивости: на пути к новой парадигме. Русский орнитологический журнал, 33 (2381), 116-130.",https://cyberleninka.ru/article/n/krizis-traditsionnyh-predstavleniy-ob-izmenchivosti-na-puti-k-novoy-paradigme-1
