Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
Определение температуры замораживания пищевых продуктов перед сублимационной сушкой при атмосферном давлении,"Антипов А. В., Дугаров Ц. Б., Власенко Г. П., Данзанов В. Д.",Известия КГТУ,2018,Химические технологии,"сохранение исходных свойств, создание материалов с заданными физико-механическими свойствами, главный фактор, температура замораживания",,"Сублимационная сушка влагосодержащих объектов представляет собой хорошо известный метод получения высококачественных продуктов. Качество сублимированных продуктов определяется: • сохранением нативных свойств; • обеспечением возможности быстрого восстановления исходных свойств (инстант-продукты быстрого приготовления); • возможностью придания новых (отсутствующих у исходного материала) свойств: стойкость в хранении к температурным условиям, стойкость к радиационному облучению; • созданием материалов с заданными физико-механическими свойствами: порошков с заданной дисперсностью и т.п. Замораживание влаги в рассматриваемом процессе обязательный этап, позволяющий создать необходимые условия для дальнейшей сублимации. Главным фактором, определяющим качество получаемых при помощи сублимации материалов, является температура замораживания.","Антипов А. В., Дугаров Ц. Б., Власенко Г. П., Данзанов В. Д. Определение температуры замораживания пищевых продуктов перед сублимационной сушкой при атмосферном давлении // Известия КГТУ. 2018. №48. URL: https://cyberleninka.ru/article/n/opredelenie-temperatury-zamorazhivaniya-pischevyh-produktov-pered-sublimatsionnoy-sushkoy-pri-atmosfernom-davlenii (дата обращения: 14.11.2024).","Антипов А. В., Дугаров Ц. Б., Власенко Г. П., & Данзанов В. Д. (2018). Определение температуры замораживания пищевых продуктов перед сублимационной сушкой при атмосферном давлении. Известия КГТУ,  (48), 79-89.",https://cyberleninka.ru/article/n/opredelenie-temperatury-zamorazhivaniya-pischevyh-produktov-pered-sublimatsionnoy-sushkoy-pri-atmosfernom-davlenii
Процесс сажеобразования в цилиндре дизеля и методы его моделирования,Глазков Д. Ю.,Известия КГТУ,2018,Химические технологии,"судовые дизели, сажа, сажеобразование",,"Проведён анализ условий и механизма образования сажи в цилиндрах судовых дизелей. На основе литературных данных отмечено, что интенсивный прогрев топливовоздушной среды в струе (после начала сгорания), сопровождается образованием сажи при недостатке воздуха. Рассмотрены методы моделирования процесса сажеобразования. На основе метода расчёта процесса сгорания, разработанного профессором В.И. Одинцовым, получено выражение для расчёта величины выбросов сажевых частиц.",Глазков Д. Ю. Процесс сажеобразования в цилиндре дизеля и методы его моделирования // Известия КГТУ. 2018. №48. URL: https://cyberleninka.ru/article/n/protsess-sazheobrazovaniya-v-tsilindre-dizelya-i-metody-ego-modelirovaniya (дата обращения: 14.11.2024).,"Глазков Д. Ю. (2018). Процесс сажеобразования в цилиндре дизеля и методы его моделирования. Известия КГТУ,  (48), 131-141.",https://cyberleninka.ru/article/n/protsess-sazheobrazovaniya-v-tsilindre-dizelya-i-metody-ego-modelirovaniya
Теоретические исследования процесса выщелачивания кольматанта в гравийной обсыпке фильтра скважины при использовании установки для реверсивно-реагентной регенерации,"Иванова И.Е., Ивашечкин В.В., Веременюк В.В.",Энергетика. Известия высших учебных заведений и энергетических объединений СНГ,2018,Химические технологии,"регенерация, водозаборная скважина, кольматант, гравийный фильтр, реверсивно-реагентная обработка, реагент, соляная кислота, дитионит натрия",,"В процессе работы водозаборных скважин происходит снижение их удельного дебита в результате механического, биологического и химического кольматажа. Извлечение кольматанта из фильтра осложняется тем, что отложения охватывают не только фильтр скважины, но и гравийную обсыпку и не удаляются полностью при обработках. Предложена установка для реверсивно-реагентной регенерации водозаборных скважин, состоящая из компрессора, шлангов и погружного устройства, выполненного в виде двухкамерного пневматического насоса вытеснения. Преимуществом установки являются отсутствие в ее составе циркуляционного насоса и возможность эффективной обработки ограниченного интервала фильтра. Скважинное погружное устройство не содержит движущихся частей за исключением двух плавающих обратных клапанов. Для описания процесса растворения отложений способом реверсивно-реагентной регенерации скважин использована система уравнений: объединенного уравнения движения и сохранения массы и обобщенного уравнения кинетики. Путем интегрирования уравнения кинетики получена аналитическая зависимость для расчета продолжительности работы установки для реверсивно-реагентной обработки фильтров, по истечении которой удельный объем кольматирующих отложений в гравийной обсыпке будет снижен до заданного уровня. По полученным формулам была составлена компьютерная программа, позволяющая рассчитать количество циклов работы устройства, продолжительность очистки и степень удаления кольматанта на каждом этапе работы. С помощью разработанной компьютерной программы рассмотрена работа установки для реверсивно-реагентной обработки фильтров на примере водозаборной скважины с использованием двух различных реагентов: соляной кислоты и дитионита натрия. Приведена методика расчета количества реагента, необходимого для восстановления производительности скважин.","Иванова И. Е., Ивашечкин В. В., Веременюк В. В. Теоретические исследования процесса выщелачивания кольматанта в гравийной обсыпке фильтра скважины при использовании установки для реверсивно-реагентной регенерации // Энергетика. Известия высших учебных заведений и энергетических объединений СНГ. 2018. №1. URL: https://cyberleninka.ru/article/n/teoreticheskie-issledovaniya-protsessa-vyschelachivaniya-kolmatanta-v-graviynoy-obsypke-filtra-skvazhiny-pri-ispolzovanii-ustanovki (дата обращения: 14.11.2024).","Иванова И.Е., Ивашечкин В.В., & Веременюк В.В. (2018). Теоретические исследования процесса выщелачивания кольматанта в гравийной обсыпке фильтра скважины при использовании установки для реверсивно-реагентной регенерации. Энергетика. Известия высших учебных заведений и энергетических объединений СНГ, 61 (1), 80-92.",https://cyberleninka.ru/article/n/teoreticheskie-issledovaniya-protsessa-vyschelachivaniya-kolmatanta-v-graviynoy-obsypke-filtra-skvazhiny-pri-ispolzovanii-ustanovki
Электрокоагуляционное извлечение марганца из производственных вод обогатительного комбината,"Дударев Владимир Иванович, Минаева Людмила Анатольевна, Филатова Елена Геннадьевна, Саламатов Виктор Иванович",iPolytech Journal,2018,Химические технологии,"электрокоагуляция, извлечение марганца, производственные воды","electrocoagulation, extraction of manganese, industrial waters","ЦЕЛЬ. Электрофлотационное извлечение марганца из производственных вод позволяет эффективно очищать воду и использовать ее в замкнутой системе водоснабжения за счет высокой степени извлечения катионов металла. МЕТОДЫ. Комплексная переработка техногенных марганецсодержащих гидроминеральных ресурсов обусловливает возможность получения дополнительной дефицитной продукции из нерудной части отходов. РЕЗУЛЬТАТЫ И ИХ ОБСУЖДЕНИЕ. В работе показана оптимизация электрокоагуляционного извлечения марганца из производственных вод обогатительного комбината. Шлам, получаемый в результате очистки промышленных растворов, представляет собой ценный материал, состоящий в основном из гидроксидов алюминия (III), железа (III) и марганца (II). В результате несложной переработки из него могут быть извлечены широко используемые смешанные коагулянты для очистки воды и дефицитный диоксид марганца, применяемый в производстве химических источников тока. ВЫВОДЫ. В результате электрохимической очистки и комплексной переработки образующегося электрокоагуляционного шлама может быть получено более 30 т диоксида марганца и 150 т смешанных коагулянтов для очистки воды.","Дударев Владимир Иванович, Минаева Людмила Анатольевна, Филатова Елена Геннадьевна, Саламатов Виктор Иванович Электрокоагуляционное извлечение марганца из производственных вод обогатительного комбината // Вестник ИрГТУ. 2018. №1 (132). URL: https://cyberleninka.ru/article/n/elektrokoagulyatsionnoe-izvlechenie-margantsa-iz-proizvodstvennyh-vod-obogatitelnogo-kombinata (дата обращения: 14.11.2024).","Дударев Владимир Иванович, Минаева Людмила Анатольевна, Филатова Елена Геннадьевна, & Саламатов Виктор Иванович (2018). Электрокоагуляционное извлечение марганца из производственных вод обогатительного комбината. iPolytech Journal, 22 (1 (132)), 194-201.",https://cyberleninka.ru/article/n/elektrokoagulyatsionnoe-izvlechenie-margantsa-iz-proizvodstvennyh-vod-obogatitelnogo-kombinata
Подготовка патентной химической структурной информации к вводу в базу данных пестицидно-активных соединений,Шуваев А.В.,Аэкономика: экономика и сельское хозяйство,2018,Химические технологии,,"chemical structural information in the patents, chemical structure, processing of the chemical structures, database, generation of chemical structures","Разработка технологических основ и информационное наполнение базы данных пестицидно-активных химических соединений является актуальной задачей и имеет существенное значение для сельскохозяйственного производства. Для создания современной компьютерной базы, характеризующейся компактностью, большой емкостью, быстротой ввода и вывода информации, помимо обеспечения программными продуктами, необходимо решение ряда взаимосвязанных вопросов, связанных с обработкой исходных данных и размещения информации на магнитных носителях. Одним из таких вопросов является обработка патентной химической структурной информации пестицидно-активных соединений. В данной работе осуществлен анализ большого количества различных патентов на предмет формы представления химической структурной информации пестицидно-активных соединений. Среди них выявлены три группы патентов: с большим и малым объемом структурных данных, а также с нестандартным видом представления структурных данных. Для каждого типичного случая на конкретных примерах показаны приемы процедуры предварительной обработки и подготовки структурной информации к вводу в базу данных пестицидно-активных химических соединений. Патенты, характеризующиеся большим объемом однотипных структурных данных, не превышающих порядка одной тысячи соединений, рекомендовано производить совместную обработку всей совокупности данных. Патенты с малым объемом структурных данных предварительно необходимо распределить по признаку одинаковой биологической активности, затем сгруппировать по признаку близости структурных форм и осуществлять независимую обработку для каждой отдельной группы. К нестандартному виду представления структурных данных в патентах можно отнести следующие: единичные структурные формулы или названия химических соединений определенного класса; набор структурных формул соединений, принадлежащих к разным классам. В этом случае процедура обработки данных сводится к переводу их в стандартный вид формированию неканонической формулы Маркуша и таблицы замен с последующим изготовлением обобщенной формулы Маркуша и текста замен.",Шуваев А. В. Подготовка патентной химической структурной информации к вводу в базу данных пестицидно-активных соединений // Аэкономика: экономика и сельское хозяйство. 2018. №2 (26). URL: https://cyberleninka.ru/article/n/podgotovka-patentnoy-himicheskoy-strukturnoy-informatsii-k-vvodu-v-bazu-dannyh-pestitsidno-aktivnyh-soedineniy (дата обращения: 14.11.2024).,"Шуваев А.В. (2018). Подготовка патентной химической структурной информации к вводу в базу данных пестицидно-активных соединений. Аэкономика: экономика и сельское хозяйство,  (2 (26)), 94-114.",https://cyberleninka.ru/article/n/podgotovka-patentnoy-himicheskoy-strukturnoy-informatsii-k-vvodu-v-bazu-dannyh-pestitsidno-aktivnyh-soedineniy
Очистка питьевой воды от фторидов методом обратного осмоса,"Шабарин Александр Александрович, Водяков Владимир Николаевич, Котин Александр Владимирович, Кувшинова Ольга Александровна, Матюшкина Юлия Ивановна",Инженерные технологии и системы,2018,Химические технологии,"водопроводная вода, ионы фтора, фториды, обратный осмос, по-тенциометрический анализ","tap water, fluoride ions, fluorides, reverse osmosis, potentiometric analysis","Введение. Одной из важнейших задач в сфере санитарно-эпидемиологического благополучия населения Российской Федерации является обеспечение его доброкачественной питьевой водой, безопасной в эпидемиологическом отношении и безвредной по химическому составу. Одной из главных задач водоочистки является регулирование содержания фторид-ионов в питьевой воде. Цель настоящей работы изучение возможности очистки водопроводной воды от ионов фтора методом обратного осмоса. Материалы и методы. Для удаления фторид-ионов была использована установка Alfa Laval PilotUnit 2.5"" RO/NF с комплектом мембранных элементов спирального типа RO99-2517/48. Контроль за содержанием фторид-ионов проводили потенцио-метрическим методом с использованием pH-метра/милливольтметра Hanna HI 2211. В качестве индикаторного электрода использовали фторид-селективный электрод марки ЭЛИС 131 F, в качестве электрода сравнения стандартный хлоридсеребря-ный электрод марки ЭВЛ-1М3. Градуировочные и буферные растворы изготавливали из реактивов марки х.ч. и ч.д.а., согласно ГОСТ 4386-89. Результаты исследования. При однократном пропускании воды через обратноосмо-тическую мембрану содержание фторид-ионов сократилось с 2,29 ± 0,02 мг/л до 0,240 ± 0,015 мг/л; при двукратном еще в 2 раза. По мере возрастания содержания фторид-ионов в ретентате наблюдалось некоторое увеличение концентрации F~ и в фильтрате. После очистки воды, содержащей 20 мг/л ионов фтора, его концентрация в фильтрате не превышала 0,5 мг/л. Обсуждение и заключения. Использование установки Alfa Laval PilotUnit 2.5"" RO/NF с комплектом мембранных элементов спирального типа RO99-2517/48 позволяет эффективно очищать водопроводную воду от ионов фтора до уровня ниже предельно допустимой концентрации. Данное исследование открывает перспективу применения обратного осмоса для очистки водопроводной воды с высоким содержанием фторид-ионов.Introduction.","Шабарин Александр Александрович, Водяков Владимир Николаевич, Котин Александр Владимирович, Кувшинова Ольга Александровна, Матюшкина Юлия Ивановна Очистка питьевой воды от фторидов методом обратного осмоса // Вестник МГУ. 2018. №1. URL: https://cyberleninka.ru/article/n/ochistka-pitievoy-vody-ot-ftoridov-metodom-obratnogo-osmosa (дата обращения: 14.11.2024).","Шабарин Александр Александрович, Водяков Владимир Николаевич, Котин Александр Владимирович, Кувшинова Ольга Александровна, & Матюшкина Юлия Ивановна (2018). Очистка питьевой воды от фторидов методом обратного осмоса. Инженерные технологии и системы, 28 (1), 36-47.",https://cyberleninka.ru/article/n/ochistka-pitievoy-vody-ot-ftoridov-metodom-obratnogo-osmosa
Изучение механизма образования прочности в самотвердеющих смесях с фенольным связующим (обзор),"Клюквина Т.Д., Власова К.А., Леонов А.А., Яшина С.А.",Труды ВИАМ,2018,Химические технологии,"самотвердеющие смеси, фенольное связующее, прочность единичного контакта, адгезия, когезия, альфа-сет процесс, песчано-глинистая смесь","self-hardening mixtures, phenolic binder, single contact strength, adhesion, cohesion, alpha-set process, green sand","Целью работы является изучение технологии получения форм с использованием самотвердеющих смесей на базе фенольных связующих. Приведены статистические данные об использовании разных типов смесей для производства стержней. Рассмотрена классификация наиболее распространенных смол, используемых в формовке с применением холоднотвердеющих смесей. Выделены специфические характеристики, а также преимущества и недостатки литейных щелочных (основных) фенольных смол. На основе кривой отверждения самозатвердевающих смесей проанализированы характерные временны́е и прочностные параметры смесей. Приведены примеры дефектов форм, стержней и отливок, связанных с прочностью смеси. Рассмотрен механизм формирования прочности щелочных (основных) смол (альфа-сет процесс).","Клюквина Т. Д., Власова К. А., Леонов А. А., Яшина С. А. Изучение механизма образования прочности в самотвердеющих смесях с фенольным связующим (обзор) // Труды ВИАМ. 2018. №3 (63). URL: https://cyberleninka.ru/article/n/izuchenie-mehanizma-obrazovaniya-prochnosti-v-samotverdeyuschih-smesyah-s-fenolnym-svyazuyuschim-obzor (дата обращения: 14.11.2024).","Клюквина Т.Д., Власова К.А., Леонов А.А., & Яшина С.А. (2018). Изучение механизма образования прочности в самотвердеющих смесях с фенольным связующим (обзор). Труды ВИАМ,  (3 (63)), 18-27.",https://cyberleninka.ru/article/n/izuchenie-mehanizma-obrazovaniya-prochnosti-v-samotverdeyuschih-smesyah-s-fenolnym-svyazuyuschim-obzor
Композиционные материалы для безавтоклавной технологии (обзор),"Тимошков П.Н., Хрульков А.В., Язвенко Л.Н., Усачева М.Н.",Труды ВИАМ,2018,Химические технологии,"полимерные композиционные материалы, безавтоклавное формование, пористость, вязкость, связующее, смолы, polymeriс composite materials","non-autoclave molding, porosity, viscosity, binder, resins","Рассматриваются преимущества технологии безавтоклавного формования по сравнению с автоклавным формованием. Использование автоклава обеспечивает качественное отверждение полимерной матрицы, но ввиду дороговизны аппарата широкое внедрение получил безавтоклавный метод. Приводится схема формования, анализируются свойства марок препрегов и смол различных производителей для безавтоклавного формования, свойства волоконных наполнителей, процесс отверждения препрега с помощью безавтоклавного формования.","Тимошков П. Н., Хрульков А. В., Язвенко Л. Н., Усачева М. Н. Композиционные материалы для безавтоклавной технологии (обзор) // Труды ВИАМ. 2018. №3 (63). URL: https://cyberleninka.ru/article/n/kompozitsionnye-materialy-dlya-bezavtoklavnoy-tehnologii-obzor (дата обращения: 14.11.2024).","Тимошков П.Н., Хрульков А.В., Язвенко Л.Н., & Усачева М.Н. (2018). Композиционные материалы для безавтоклавной технологии (обзор). Труды ВИАМ,  (3 (63)), 37-48.",https://cyberleninka.ru/article/n/kompozitsionnye-materialy-dlya-bezavtoklavnoy-tehnologii-obzor
"Опыт определения углерода, серы, кислорода и азота в сплавах на основе ниобия на газоанализаторах фирмы Leco","Алексеев А.В., Растегаева Г.Ю., Пахомкина Т.Н.",Труды ВИАМ,2018,Химические технологии,"сплавы на основе nb, определение углерода, определение серы, определение кислорода, определение азота, метод инфракрасно-абсорбционной спектроскопии, метод плавления в токе инертного газа-носителя","alloys based on nb, determination of carbon, determination of sulfur, determination of oxygen, determination of nitrogen, method of infrared absorption spectroscopy, melting method in a current of an inert carrier gas","Проведено исследование возможности определения массовой доли углерода и серы в сплаве на основе Nb методом сжигания в индукционной печи газоанализатора CS-444 фирмы Leco с последующим детектированием в инфракрасной ячейке спектрометра. Выбран катализатор, со специально подобранным составом, позволяющий добиться полного извлечения углерода и серы из анализируемого материала. Определение содержания массовой доли кислорода и азота в сплаве на основе Nb проводили методом восстановительного плавления в токе инертного газа-носителя с последующим детектированием кислорода в инфракрасной ячейке и азота в кондуктометрической ячейке газоанализатора TC-600 фирмы Leco. Подобраны катализаторы, необходимые для полного извлечения указанных элементов из сплава на основе Nb.","Алексеев А. В., Растегаева Г. Ю., Пахомкина Т. Н. Опыт определения углерода, серы, кислорода и азота в сплавах на основе ниобия на газоанализаторах фирмы Leco // Труды ВИАМ. 2018. №1 (61). URL: https://cyberleninka.ru/article/n/opyt-opredeleniya-ugleroda-sery-kisloroda-i-azota-v-splavah-na-osnove-niobiya-na-gazoanalizatorah-firmy-leco (дата обращения: 14.11.2024).","Алексеев А.В., Растегаева Г.Ю., & Пахомкина Т.Н. (2018). Опыт определения углерода, серы, кислорода и азота в сплавах на основе ниобия на газоанализаторах фирмы Leco. Труды ВИАМ,  (1 (61)), 24-30.",https://cyberleninka.ru/article/n/opyt-opredeleniya-ugleroda-sery-kisloroda-i-azota-v-splavah-na-osnove-niobiya-na-gazoanalizatorah-firmy-leco
Направления развития производственных технологий в области редкоземельных металлов,"Севастьянов Д.В., Дориомедов М.С., Сутубалов И.В., Кулагина Г.С.",Труды ВИАМ,2018,Химические технологии,"редкоземельные металлы, тенденции, производственные технологии","rare earth metals, trends, manufacturing technologies","По результатам анализа научно-технической литературы выявлены основные направления развития производственных технологий в области редкоземельных металлов. Данные направления включают в себя извлечение редкоземельных металлов из отходов производства и отработанных изделий (флуоресцентных ламп, постоянных магнитов, Ni-MH батарей), а также получение высокочистых редкоземельных элементов. Представлены особенности применяемых технологий и перспективы дальнейшего развития технологических решений в этой области.","Севастьянов Д. В., Дориомедов М. С., Сутубалов И. В., Кулагина Г. С. Направления развития производственных технологий в области редкоземельных металлов // Труды ВИАМ. 2018. №1 (61). URL: https://cyberleninka.ru/article/n/napravleniya-razvitiya-proizvodstvennyh-tehnologiy-v-oblasti-redkozemelnyh-metallov (дата обращения: 14.11.2024).","Севастьянов Д.В., Дориомедов М.С., Сутубалов И.В., & Кулагина Г.С. (2018). Направления развития производственных технологий в области редкоземельных металлов. Труды ВИАМ,  (1 (61)), 31-40.",https://cyberleninka.ru/article/n/napravleniya-razvitiya-proizvodstvennyh-tehnologiy-v-oblasti-redkozemelnyh-metallov
