Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
ГИДРОЛОГИЧЕСКАЯ И ГИДРОБИОЛОГИЧЕСКАЯ ХАРАКТЕРИСТИКА РЕКИ БОЛЬШАЯ ЛИАХВА (ЮЖНАЯ ОСЕТИЯ),"Келехсаев М.З. , Зданович В.В.",Вестник науки,2024,Науки о Земле и смежные экологические науки,"южная осетия, река большая лиахва, экологические условия, видовой состав рыб","south ossetia, bolshaya liakhva river, ecological conditions, species composition of fish",На основе собственных и литературных данных представлена гидрологическая и гидробиологическая характеристика реки Большая Лиахва (Южная Осетия). В бассейне реки вертикальная зональность ландшафтов определяет своеобразие экологических условий и специфику распределения видового состава рыб.,"Келехсаев М. З., Зданович В. В. ГИДРОЛОГИЧЕСКАЯ И ГИДРОБИОЛОГИЧЕСКАЯ ХАРАКТЕРИСТИКА РЕКИ БОЛЬШАЯ ЛИАХВА (ЮЖНАЯ ОСЕТИЯ) // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/gidrologicheskaya-i-gidrobiologicheskaya-harakteristika-reki-bolshaya-liahva-yuzhnaya-osetiya (дата обращения: 09.11.2024).","Келехсаев М.З. , & Зданович В.В. (2024). ГИДРОЛОГИЧЕСКАЯ И ГИДРОБИОЛОГИЧЕСКАЯ ХАРАКТЕРИСТИКА РЕКИ БОЛЬШАЯ ЛИАХВА (ЮЖНАЯ ОСЕТИЯ). Вестник науки, 1 (1 (70)), 330-335.",https://cyberleninka.ru/article/n/gidrologicheskaya-i-gidrobiologicheskaya-harakteristika-reki-bolshaya-liahva-yuzhnaya-osetiya
ВЛИЯНИЕ И РАЗЛИЧИЯ РАЗНЫХ ТИПОВ МАТРИЦ НА ОТОБРАЖЕНИЕ,Коновалов Д.Э.,Вестник науки,2024,Науки о Земле и смежные экологические науки,"монитор, матрица монитора, графика, информационные технологию","monitor, monitor matrix, graphics, information technology",В статье рассматриваются особенности отображения изображения на экране монитора с различными матрицами.,Коновалов Д. Э. ВЛИЯНИЕ И РАЗЛИЧИЯ РАЗНЫХ ТИПОВ МАТРИЦ НА ОТОБРАЖЕНИЕ // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/vliyanie-i-razlichiya-raznyh-tipov-matrits-na-otobrazhenie (дата обращения: 09.11.2024).,"Коновалов Д.Э. (2024). ВЛИЯНИЕ И РАЗЛИЧИЯ РАЗНЫХ ТИПОВ МАТРИЦ НА ОТОБРАЖЕНИЕ. Вестник науки, 3 (1 (70)), 661-664.",https://cyberleninka.ru/article/n/vliyanie-i-razlichiya-raznyh-tipov-matrits-na-otobrazhenie
ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКИЕ ИЗЫСКАНИЯ: РЕКОНСТРУКЦИЯ ГИДРОТЕХНИЧЕСКОГО СООРУЖЕНИЯ ВОДОХРАНИЛИЩА «КУОГУЛЫ» С. ЧУРАПЧА ЧУРАПЧИНСКОГО УЛУСА,"Гермогенов А.В. , Ядрихинский И.В.",Вестник науки,2024,Науки о Земле и смежные экологические науки,"инженерно-экологические изыскания, природная среда, оценка, прогноз","engineering and environmental surveys, natural environment, assessment, forecast","В статье рассмотрены инженерно-экологические изыскания для разработки проектной документации по объекту реконструкция гидротехнического сооружения водохранилища «Куогулы» с. Чурапча Чурапчинского улуса. Целью инженерно-экологических изысканий являлись получение необходимых и достаточных материалов для экологического обоснования проектной и рабочей документации на строительство проектируемого объекта учетом нормального режима эксплуатации. Оценка современного состояния и прогноз возможных изменений окружающей природной среды территории изысканий под влиянием антропогенной нагрузки для предотвращения, минимизации или ликвидации вредных и нежелательных экологических и связанных с ними социальных, экономических и других последствий и сохранения оптимальных условий жизни населения.","Гермогенов А. В., Ядрихинский И. В. ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКИЕ ИЗЫСКАНИЯ: РЕКОНСТРУКЦИЯ ГИДРОТЕХНИЧЕСКОГО СООРУЖЕНИЯ ВОДОХРАНИЛИЩА «КУОГУЛЫ» С. ЧУРАПЧА ЧУРАПЧИНСКОГО УЛУСА // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/inzhenerno-ekologicheskie-izyskaniya-rekonstruktsiya-gidrotehnicheskogo-sooruzheniya-vodohranilischa-kuoguly-s-churapcha (дата обращения: 09.11.2024).","Гермогенов А.В. , & Ядрихинский И.В. (2024). ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКИЕ ИЗЫСКАНИЯ: РЕКОНСТРУКЦИЯ ГИДРОТЕХНИЧЕСКОГО СООРУЖЕНИЯ ВОДОХРАНИЛИЩА «КУОГУЛЫ» С. ЧУРАПЧА ЧУРАПЧИНСКОГО УЛУСА. Вестник науки, 4 (1 (70)), 722-725.",https://cyberleninka.ru/article/n/inzhenerno-ekologicheskie-izyskaniya-rekonstruktsiya-gidrotehnicheskogo-sooruzheniya-vodohranilischa-kuoguly-s-churapcha
ТЕХНОГЕННЫЕ ВОДОЕМЫ ЯКУТИИ И ИХ ЭКОЛОГИЧЕСКОЕ СОСТОЯНИЕ НА ПРИМЕРЕ ВИЛЮЙСКОГО ВОДОХРАНИЛИЩА,"Избекова О.С. , Петрова В.В. , Ядрихинский И.В.",Вестник науки,2024,Науки о Земле и смежные экологические науки,"вилюйское водохранилище, искусственный водоем, якутия, экология","vilyui reservoir, artificial reservoir, yakutia, ecology","В данной статье рассматривается техногенный водоём Якутии, Вилюйское водохранилище, как один из самых больших искусственных водоемов на территории России. В статье проанализировано особенности водохранилища и его методика исследования, а также проведен мониторинг и выработка мер экологической защиты искусственного водоема. В исследовании использовались глобальные источники информации о Вилюйском водохранилище Ленское бассейновое водное управление Федерального агентства водных ресурсов. Проведенный анализ показал, что наибольшее влияние на состояние искусственного водоема оказали химические составы, такие как фенол, медь, железо и трудноокисляемые органические вещества, а также частое рыболовство и судоходство.","Избекова О. С., Петрова В. В., Ядрихинский И. В. ТЕХНОГЕННЫЕ ВОДОЕМЫ ЯКУТИИ И ИХ ЭКОЛОГИЧЕСКОЕ СОСТОЯНИЕ НА ПРИМЕРЕ ВИЛЮЙСКОГО ВОДОХРАНИЛИЩА // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/tehnogennye-vodoemy-yakutii-i-ih-ekologicheskoe-sostoyanie-na-primere-vilyuyskogo-vodohranilischa (дата обращения: 09.11.2024).","Избекова О.С. , Петрова В.В. , & Ядрихинский И.В. (2024). ТЕХНОГЕННЫЕ ВОДОЕМЫ ЯКУТИИ И ИХ ЭКОЛОГИЧЕСКОЕ СОСТОЯНИЕ НА ПРИМЕРЕ ВИЛЮЙСКОГО ВОДОХРАНИЛИЩА. Вестник науки, 4 (1 (70)), 730-735.",https://cyberleninka.ru/article/n/tehnogennye-vodoemy-yakutii-i-ih-ekologicheskoe-sostoyanie-na-primere-vilyuyskogo-vodohranilischa
ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКИЕ ИЗЫСКАНИЯ: РЕКОНСТРУКЦИЯ ГИДРОТЕХНИЧЕСКОГО СООРУЖЕНИЯ НА Р. ТИЭРЭ БАТАРИНСКОГО НАСЛЕГА МЕГИНО-КАНГАЛАССКОГО УЛУСА,"Кириллов В.В. , Ядрихинский И.В.",Вестник науки,2024,Науки о Земле и смежные экологические науки,"инженерно-экологические изыскания, природная среда, оценка, прогноз","engineering and environmental surveys, natural environment, assessment, forecast","В статье рассмотрены инженерно-экологические изыскания для разработки проектной документации по объекту реконструкция гидротехнического сооружения на р. Тиэрэ Батаринского наслега Мегино-Кангаласского улуса. Целью инженерно-экологических изысканий являлись получение необходимых и достаточных материалов для экологического обоснования проектной и рабочей документации на строительство проектируемого объекта учетом нормального режима эксплуатации. Оценка современного состояния и прогноз возможных изменений окружающей природной среды территории изысканий под влиянием антропогенной нагрузки для предотвращения, минимизации или ликвидации вредных и нежелательных экологических и связанных с ними социальных, экономических и других последствий и сохранения оптимальных условий жизни населения.","Кириллов В. В., Ядрихинский И. В. ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКИЕ ИЗЫСКАНИЯ: РЕКОНСТРУКЦИЯ ГИДРОТЕХНИЧЕСКОГО СООРУЖЕНИЯ НА Р. ТИЭРЭ БАТАРИНСКОГО НАСЛЕГА МЕГИНО-КАНГАЛАССКОГО УЛУСА // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/inzhenerno-ekologicheskie-izyskaniya-rekonstruktsiya-gidrotehnicheskogo-sooruzheniya-na-r-tiere-batarinskogo-naslega-megino (дата обращения: 09.11.2024).","Кириллов В.В. , & Ядрихинский И.В. (2024). ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКИЕ ИЗЫСКАНИЯ: РЕКОНСТРУКЦИЯ ГИДРОТЕХНИЧЕСКОГО СООРУЖЕНИЯ НА Р. ТИЭРЭ БАТАРИНСКОГО НАСЛЕГА МЕГИНО-КАНГАЛАССКОГО УЛУСА. Вестник науки, 4 (1 (70)), 736-739.",https://cyberleninka.ru/article/n/inzhenerno-ekologicheskie-izyskaniya-rekonstruktsiya-gidrotehnicheskogo-sooruzheniya-na-r-tiere-batarinskogo-naslega-megino
"МОРФОМЕТРИЧЕСКИЕ И ГИДРОХИМИЧЕСКИЕ ОСОБЕННОСТИ ОЗЕР С. ЭСЕЛЯХ (УСТЬ-АЛДАНСКИЙ УЛУС, РЕСПУБЛИКА САХА (ЯКУТИЯ))","Лукачевский Б.Н. , Ядрихинский И.В.",Вестник науки,2024,Науки о Земле и смежные экологические науки,"озера якутии, республика саха, якутия, экология, гидрология","lakes of yakutia, republic of sakha, yakutia, ecology, hydrology","в статье проанализированы особенности озер Якутии на примере оз. Ойогос, оз. Хатыннаах, оз. Кычыкаан, оз. Тонсогой, оз. Кутурук, оз. Биэсикээн с. Эселях, Усть-Алданского улуса Республики Саха (Якутия). В данной статье приведены результаты химических анализов проб воды с установлением значений основных физико-химических характеристик: удельной электрической проводимости, pH, концентрации кислорода, катионов и анионов.","Лукачевский Б. Н., Ядрихинский И. В. МОРФОМЕТРИЧЕСКИЕ И ГИДРОХИМИЧЕСКИЕ ОСОБЕННОСТИ ОЗЕР С. ЭСЕЛЯХ (УСТЬ-АЛДАНСКИЙ УЛУС, РЕСПУБЛИКА САХА (ЯКУТИЯ)) // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/morfometricheskie-i-gidrohimicheskie-osobennosti-ozer-s-eselyah-ust-aldanskiy-ulus-respublika-saha-yakutiya (дата обращения: 09.11.2024).","Лукачевский Б.Н. , & Ядрихинский И.В. (2024). МОРФОМЕТРИЧЕСКИЕ И ГИДРОХИМИЧЕСКИЕ ОСОБЕННОСТИ ОЗЕР С. ЭСЕЛЯХ (УСТЬ-АЛДАНСКИЙ УЛУС, РЕСПУБЛИКА САХА (ЯКУТИЯ)). Вестник науки, 4 (1 (70)), 744-749.",https://cyberleninka.ru/article/n/morfometricheskie-i-gidrohimicheskie-osobennosti-ozer-s-eselyah-ust-aldanskiy-ulus-respublika-saha-yakutiya
ПОСЛЕДСТВИЯ ВМЕШАТЕЛЬСТВА В ПОГОДНЫЕ УСЛОВИЯ,"Сергеев Д.С., Вальков К.И., Гатаулин Ф.Ф.",Инновационная наука,2024,Науки о Земле и смежные экологические науки,"погода, метеоусловия, авиация, жизнедеятельность, влияние",,На сегодняшний день очень актуальна во всех сферах жизнедеятельности человека. Целью является анализ вмешательства в погодные условия со стороны человека и последствия этих действий. Изменение погодных условий влечет собой прогнозируемые последствия для жизнедеятельности человека.,"Сергеев Д. С., Вальков К. И., Гатаулин Ф. Ф. ПОСЛЕДСТВИЯ ВМЕШАТЕЛЬСТВА В ПОГОДНЫЕ УСЛОВИЯ // Инновационная наука. 2024. №1-2. URL: https://cyberleninka.ru/article/n/posledstviya-vmeshatelstva-v-pogodnye-usloviya (дата обращения: 09.11.2024).","Сергеев Д.С., Вальков К.И., & Гатаулин Ф.Ф. (2024). ПОСЛЕДСТВИЯ ВМЕШАТЕЛЬСТВА В ПОГОДНЫЕ УСЛОВИЯ. Инновационная наука,  (1-2), 203-204.",https://cyberleninka.ru/article/n/posledstviya-vmeshatelstva-v-pogodnye-usloviya
РЕДКИЕ ВИДЫ СОСУДИСТЫХ РАСТЕНИЙ КАК ИНДИКАТОРЫ СОСТОЯНИЯ ГОРОДСКОЙ СРЕДЫ (НА ПРИМЕРЕ ГОРОДА РЯЗАНИ),"М.А. Бобылев, М.В. Казакова",Фиторазнообразие Восточной Европы,2024,Науки о Земле и смежные экологические науки,"редкие растения, флора г. рязани, красная книга рязанской области","key words: rare plants, flora of the ryazan city, red book of the ryazan region","В черте муниципального образования г. Рязань выявлены местонахождения трех новых для Рязанской области аборигенных таксонов (Campanula × spryginii, Juncus gerardii, Wolffia arrhiza), 21 вид, новый для флоры города (Alchemilla propinqua Alisma lanceolatum, Cerastium arvense, Epilobium smyrneum, Euphrasia stricta, Glyceria nemoralis, Gnaphalium rossicum, Juncus atratus, Jurinea cyanoides, Myosotis sylvatica, Potamogeton pusillus, Ranunculus trichophyllus, Scorzonera humilis, Scrophularia umbrosa, Serratula coronata, Thymus marschallianus, Trapa natans, Trifolium aureum, Utricularia × neglecta, Viola × neglecta, Valeriana wolgensis), 6 видов занесенных в третье издание региональной Красной книги. Сообщается о находках 11 видов, которые были исключены из Красной книги Рязанской области, но для города их местонахождения показывают сохранившиеся природные сообщества. Распространение на окраинах г. Рязани слабо нарушенных естественных сообществ, находящихся на разных стадиях восстановительных сукцессий, обеспечило поддержание специфических условий, пригодных для произрастания стенотопных растений, приуроченных в регионе к различным долинным местообитаниям, выходам грунтовых вод, фрагментам широколиственных и хвойных лесов, их опушкам и южным склонам балок с луговой растительностью и элементами остепнения, старицам и старым карьерам.","М А. Бобылев, М В. Казакова РЕДКИЕ ВИДЫ СОСУДИСТЫХ РАСТЕНИЙ КАК ИНДИКАТОРЫ СОСТОЯНИЯ ГОРОДСКОЙ СРЕДЫ (НА ПРИМЕРЕ ГОРОДА РЯЗАНИ) // Фиторазнообразие Восточной Европы. 2024. №1. URL: https://cyberleninka.ru/article/n/redkie-vidy-sosudistyh-rasteniy-kak-indikatory-sostoyaniya-gorodskoy-sredy-na-primere-goroda-ryazani (дата обращения: 09.11.2024).","М.А. Бобылев, & М.В. Казакова (2024). РЕДКИЕ ВИДЫ СОСУДИСТЫХ РАСТЕНИЙ КАК ИНДИКАТОРЫ СОСТОЯНИЯ ГОРОДСКОЙ СРЕДЫ (НА ПРИМЕРЕ ГОРОДА РЯЗАНИ). Фиторазнообразие Восточной Европы, XVIII (1), 5-17. doi: 10.24412/2072-8816-2024-18-1-5-17",https://cyberleninka.ru/article/n/redkie-vidy-sosudistyh-rasteniy-kak-indikatory-sostoyaniya-gorodskoy-sredy-na-primere-goroda-ryazani
ИНВАЗИОННЫЕ ВИДЫ РАСТЕНИЙ В ПРИРОДНЫХ ЭКОТОПАХ ГОРОДА ИВАНОВО,"Е.А. Борисова, Ж.М. Дмитриева",Фиторазнообразие Восточной Европы,2024,Науки о Земле и смежные экологические науки,"инвазионные виды растений, природные экотопы, инвазиабельность растительных сообществ, город иваново","invasive plant species, natural ecotopes, plant communities, invasiability, city of ivanovo","В статье рассмотрены инвазионные виды растений, внедрившиеся в природные сообщества г. Иваново, а также особенности их распространения и активности. На основании проведенных полевых исследований различных типов природных экотопов в 2019–2022 гг. в г. Иваново было отмечено 65 видов чужеродных растений, относящихся к 54 родам, 23 семействам. Для оценки активности инвазионных видов была использована методика с выделением 4 инвазионных статусов. Установлено, что среди природных экотопов г. Иваново наиболее уязвимыми оказались прибрежно-водные местообитания и хвойно-мелколиственные леса. К менее инвазиабельным сообществам относятся сосняки разнотравные, березняки травянистые и заросли кустарников. Наиболее устойчивыми сообществами к внедрению инвазионных видов оказались заболоченные луга, водоемы и сохранившееся сфагновое болото. Отмечено, что только в одном типе природных экотопов г. Иваново было найдено 16 инвазионных видов растений, в двух типах природных экотопов – 14 видов, в 3-х и более типах – 35 видов. В соответствии с инвазионным статусом чужеродные виды на территории г. Иваново распределяются следующим образом: статус 1 (трансформеры) – 9 видов; статус 2 – 23 вида; статус 3 – 4 вида, статус 4 (потенциально инвазионные) – 28 видов. В биоморфологической структуре инвазионного компонента среди древесных растений преобладают кустарники (17 видов), среди травянистых – многолетние травянистые растения, представленные 18 видами.","Е А. Борисова, Ж М. Дмитриева ИНВАЗИОННЫЕ ВИДЫ РАСТЕНИЙ В ПРИРОДНЫХ ЭКОТОПАХ ГОРОДА ИВАНОВО // Фиторазнообразие Восточной Европы. 2024. №1. URL: https://cyberleninka.ru/article/n/invazionnye-vidy-rasteniy-v-prirodnyh-ekotopah-goroda-ivanovo (дата обращения: 09.11.2024).","Е.А. Борисова, & Ж.М. Дмитриева (2024). ИНВАЗИОННЫЕ ВИДЫ РАСТЕНИЙ В ПРИРОДНЫХ ЭКОТОПАХ ГОРОДА ИВАНОВО. Фиторазнообразие Восточной Европы, XVIII (1), 18-29. doi: 10.24412/2072-8816-2024-18-1-18-29",https://cyberleninka.ru/article/n/invazionnye-vidy-rasteniy-v-prirodnyh-ekotopah-goroda-ivanovo
НОВЫЕ ФЛОРИСТИЧЕСКИЕ НАХОДКИ В СРЕДНЕМ ПОВОЛЖЬЕ,"В.М. Васюков, Л.А. Новикова, Т.В. Горбушина, А.В. Иванова, Е.В. Письмаркина, Т.Б. Силаева, А.А. Миронова, А.В. Чувашов, В.В. Бондарева",Фиторазнообразие Восточной Европы,2024,Науки о Земле и смежные экологические науки,"сосудистые растения, пензенская область, самарская область, ульяновская область, россия","vascular plants, floristic finds, penza region, samara region, ulyanovsk region, russia","Впервые для флоры Пензенской области приводится 3 вида и 1 гибрид сосудистых растений: Betula krylovii G.V. Krylov, Hieracium filifolium Üksip, Marrubium leonuroides Desr., Pilosella × bifurca (M. Bieb.) F.W. Schultz et Sch. Bip.; для флоры Самарской области – 1 вид и 2 гибрида: Potamogeton × olivaceus Baagøe ex G. Fisch., Rumex patientia L., Salvia nutans L. × S. stepposa Des.-Shost.; для флоры Ульяновской области – 4 вида и 1 гибрид: Dactylis polygama Horv., Galium × affrenum (Klokov) Ostapko, Potentilla collina Wibel, Taraxacum falcatum Brenner, Thesium moesiacum Velen.","В М. Васюков, Л А. Новикова, Т В. Горбушина, А В. Иванова, Е В. Письмаркина, Т Б. Силаева, А А. Миронова, А В. Чувашов, В В. Бондарева НОВЫЕ ФЛОРИСТИЧЕСКИЕ НАХОДКИ В СРЕДНЕМ ПОВОЛЖЬЕ // Фиторазнообразие Восточной Европы. 2024. №1. URL: https://cyberleninka.ru/article/n/novye-floristicheskie-nahodki-v-srednem-povolzhie (дата обращения: 09.11.2024).","В.М. Васюков, Л.А. Новикова, Т.В. Горбушина, А.В. Иванова, Е.В. Письмаркина, Т.Б. Силаева, А.А. Миронова, А.В. Чувашов, & В.В. Бондарева (2024). НОВЫЕ ФЛОРИСТИЧЕСКИЕ НАХОДКИ В СРЕДНЕМ ПОВОЛЖЬЕ. Фиторазнообразие Восточной Европы, XVIII (1), 30-34. doi: 10.24412/2072-8816-2024-18-1-30-34",https://cyberleninka.ru/article/n/novye-floristicheskie-nahodki-v-srednem-povolzhie
