Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
Краткий анализ динамики содержания микроэлементов и тяжелых металлов в почвах Липецкой области,"Вершинин Валентин Валентинович, Галаганова Любовь Алексеевна",Международный сельскохозяйственный журнал,2020,Экологические биотехнологии,"тяжелые металлы, микроэлементы, мониторинг земель, загрязнители, химические элементы, предельно допустимые концентрации, почвы, подвижные и валовые формы","heavy metals, trace elements, land monitoring, pollutants, chemical elements, maximum permissible concentrations, soils, mobile and gross forms","В статье отмечена полярно-двойственная особенность тяжелых металлов, выступающих, с одной стороны — как жизненно необходимые для живых организмов микроэлементы, с другой стороны — как загрязнители, оказывающие пагубное влияние на почву, животных и растения. Акцентировано внимание на необходимости мониторинга микроэлементов в почвенном покрове пахотных земель. Приведён краткий анализ динамики содержания микроэлементов и тяжелых металлов в почвах Липецкой области.","Вершинин Валентин Валентинович, Галаганова Любовь Алексеевна Краткий анализ динамики содержания микроэлементов и тяжелых металлов в почвах Липецкой области // МСХ. 2020. №1. URL: https://cyberleninka.ru/article/n/kratkiy-analiz-dinamiki-soderzhaniya-mikroelementov-i-tyazhelyh-metallov-v-pochvah-lipetskoy-oblasti (дата обращения: 25.10.2024).","Вершинин Валентин Валентинович, & Галаганова Любовь Алексеевна (2020). Краткий анализ динамики содержания микроэлементов и тяжелых металлов в почвах Липецкой области. Международный сельскохозяйственный журнал,  (1), 55-58. doi: 10.24411/2587-6740-2020-11012",https://cyberleninka.ru/article/n/kratkiy-analiz-dinamiki-soderzhaniya-mikroelementov-i-tyazhelyh-metallov-v-pochvah-lipetskoy-oblasti
Термические методы демеркуризации ртути и оценка их эффективности,Абдуллаев Бобур Илхомович,International agricultural journal,2020,Экологические биотехнологии,"демеркуризация, ртуть, промышленные предприятия, термические методы демеркуризации, экологические проблемы, загрязнение ртутью",,"Изучение региональных и глобальных изменений компонентов природной среды, обусловленных техногенным воздействием, не обходится без внимания к проблеме загрязнения компонентов природной среды ртутью, относящейся к отходам первого класса опасности. Обозначенная проблема стоит настолько остро, что на государственном уровне различных стран предпринимаются соответствующие меры, целью которых служит снижения уровня ртути в окружающей среде и ее воздействия на человека. Среди таких мер следует назвать: государственное регулирование экспорта ртути, поэтапный отказ от использования ртути в приборах, разработка предложений по ограничению использования ртути в производстве. Однако все еще существуют производственные предприятия, которые не могут заменить ртуть на какой-либо другой альтернативный компонент. В зоне деятельности таких предприятий наблюдается значительный рост загрязнения ртутью почвы, грунта и строительных конструкций. Велика доля ртути и в медицинских отходах. Для минимизации возможных негативных последствий, связанных с загрязнением ртутью, разрабатываются различные методы демеркуризации ртути. В настоящей статье автором рассматриваются термические методы демеркуризации ртути и осуществляется оценка эффективности применения указанных методов.",Абдуллаев Бобур Илхомович Термические методы демеркуризации ртути и оценка их эффективности // IACJ. 2020. №1. URL: https://cyberleninka.ru/article/n/termicheskie-metody-demerkurizatsii-rtuti-i-otsenka-ih-effektivnosti (дата обращения: 25.10.2024).,"Абдуллаев Бобур Илхомович (2020). Термические методы демеркуризации ртути и оценка их эффективности. International agricultural journal,  (1), 11. doi: 10.24411/2588-0209-2020-10135",https://cyberleninka.ru/article/n/termicheskie-metody-demerkurizatsii-rtuti-i-otsenka-ih-effektivnosti
ОБОСНОВАНИЕ ЭКОЛОГИЧЕСКИ БЕЗОПАСНОГО ИСПОЛЬЗОВАНИЯ ОСАДКОВ СТОЧНЫХ ВОД КАНАЛИЗАЦИОННЫХ ОЧИСТНЫХ СООРУЖЕНИЙ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА,"А. В. Ильинский, К. Н. Евсенкин, А. В. Нефедов",Агрохимический вестник,2020,Экологические биотехнологии,"агрохимические свойства, мышьяк, осадок сточных вод, поллютанты, поч-ва, тяжелые металлы, экологическая безопасность","agrochemical properties, arsenic, sewage sludge, pollutants, soil, heavy metals, environmental safety","Мониторинговые исследования, выполненные на стационарном участке, показали, что за по-следние 25 лет значительно ухудшились агрохимические показатели мелиорированных аллювиаль-ных почв Рязанской области. Под влиянием длительного осушения и более чем полувекового ис-пользования в сельском хозяйстве торфяно-подзолисто-глеевая почва также претерпела суще-ственное изменение свойств: торфяный слой уплотнился, гумифицировался и минерализовался, что, в конечном итоге, привело к его трансформации в перегнойный горизонт. Для восстановления плодородия деградированных сельскохозяйственных земель и повышения их продуктивности необ-ходимо активно разрабатывать и внедрять современные многокомпонентные органоминераль-ные удобрения, полученные, в том числе, и из осадков сточных вод. Эколого-агрохимическая оцен-ка осадка сточных вод канализационных очистных сооружений жилищно-коммунального хозяй-ства Рязанской области показала, что исследованный осадок содержал: свинец 244,3 мг/кг; кад-мий 0,75 мг/кг; никель 127,3 мг/кг; цинк 173,9 мг/кг; медь 95,6 мг/кг, хром 27,1 мг/кг; ртуть 0,003 мг/кг и мышьяк 4,75 мг/кг, что не превышает установленных ГОСТ Р 17.4.3.07-2001 нормативов для осадков I-ой группы. На основе анализа результатов химико-аналитических исследований и расчета коэффициентов концентрации тяжелых металлов и мышьяка в осадке сточных вод по-строен эмпирический ряд их накопления: Pb > Ni > As > Cu > Zn > Cr > Cd > Hg. При определении доз внесения в почву осадка сточных вод канализационных очистных сооружений жилищно-коммунального хозяйства под сельскохозяйственные культуры на начальном этапе повышенное внимание следует обращать на поллютанты с наибольшими значениями коэффициентов концен-трации (свинец, никель и мышьяк). По содержанию нормируемых металлов обследованный осадок сточных вод может служить для растений источником микроэлементов таких, как медь, цинк, никель, необходимых для нормального протекания физиолого-биохимических процессов.","А В. Ильинский, К Н. Евсенкин, А В. Нефедов ОБОСНОВАНИЕ ЭКОЛОГИЧЕСКИ БЕЗОПАСНОГО ИСПОЛЬЗОВАНИЯ ОСАДКОВ СТОЧНЫХ ВОД КАНАЛИЗАЦИОННЫХ ОЧИСТНЫХ СООРУЖЕНИЙ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА // Агрохимический вестник. 2020. №1. URL: https://cyberleninka.ru/article/n/obosnovanie-ekologicheski-bezopasnogo-ispolzovaniya-osadkov-stochnyh-vod-kanalizatsionnyh-ochistnyh-sooruzheniy-zhilischno (дата обращения: 25.10.2024).","А. В. Ильинский, К. Н. Евсенкин, & А. В. Нефедов (2020). ОБОСНОВАНИЕ ЭКОЛОГИЧЕСКИ БЕЗОПАСНОГО ИСПОЛЬЗОВАНИЯ ОСАДКОВ СТОЧНЫХ ВОД КАНАЛИЗАЦИОННЫХ ОЧИСТНЫХ СООРУЖЕНИЙ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА. Агрохимический вестник,  (1), 60-64. doi: 10.24411/1029-2551-2020-10009",https://cyberleninka.ru/article/n/obosnovanie-ekologicheski-bezopasnogo-ispolzovaniya-osadkov-stochnyh-vod-kanalizatsionnyh-ochistnyh-sooruzheniy-zhilischno
Проблема влияния почвенной аэрации на жизнедеятельность различных групп микроорганизмов в трудах отечественных и зарубежных ученых,"В. А. Лыхман, М. Н. Дубинина",Международный журнал гуманитарных и естественных наук,2020,Экологические биотехнологии,"почвенная микрофлора, сапрофиты, актиномицеты, аэрация почвы, почвенная структура.","soil microflora, saprophytes, actinomycetes, soil aeration, soil structure.","Изучению и управлению такими физико-химическими процессами, как перераспределение органического вещества почвы, формирование и деградация структуры, газообмен в почвенной среде, посвящены многочисленные труды отечественных и зарубежных ученых. Доказано, что повышенное уплотнение почвенных слоев приводит к снижению поступления кислорода и замедлению окислительных процессов, поэтому регулирование жизнедеятельности аэробных микроорганизмов возможно за счет механической обработки почвы, рыхления и дренажа. Развитие анаэробных микроорганизмов, происходящее в верхних слоях почвы, регламентируется наличием в почвенных комочках углекислого газа. Как следует из экспериментов Мишустина, Муромцева и других исследователей, микроорганизмы, населяющие почвенные частицы, регулируют преобразования почвенного органического вещества и обладают способностью сдерживать рост неспецифических почвенных микроорганизмов, попадающих из воздуха.","В А. Лыхман, М Н. Дубинина Проблема влияния почвенной аэрации на жизнедеятельность различных групп микроорганизмов в трудах отечественных и зарубежных ученых // Международный журнал гуманитарных и естественных наук. 2020. №2-1. URL: https://cyberleninka.ru/article/n/problema-vliyaniya-pochvennoy-aeratsii-na-zhiznedeyatelnost-razlichnyh-grupp-mikroorganizmov-v-trudah-otechestvennyh-i-zarubezhnyh (дата обращения: 25.10.2024).","В. А. Лыхман, & М. Н. Дубинина (2020). Проблема влияния почвенной аэрации на жизнедеятельность различных групп микроорганизмов в трудах отечественных и зарубежных ученых. Международный журнал гуманитарных и естественных наук,  (2-1), 14-16. doi: 10.24411/2500-1000-2020-10098",https://cyberleninka.ru/article/n/problema-vliyaniya-pochvennoy-aeratsii-na-zhiznedeyatelnost-razlichnyh-grupp-mikroorganizmov-v-trudah-otechestvennyh-i-zarubezhnyh
Методы умягчения воды,Вайцель Ангелина Александровна,"Наука, образование и культура",2020,Экологические биотехнологии,"умягчение воды, водоподготовка, водоснабжение и водоотведение, ионообменный метод, мембранный метод",,"Приведены основные способы уменьшения жесткости воды, в частности рассмотрены ионный и мембранный методы смягчения воды.","Вайцель Ангелина Александровна Методы умягчения воды // Наука, образование и культура. 2020. №2 (46). URL: https://cyberleninka.ru/article/n/metody-umyagcheniya-vody (дата обращения: 25.10.2024).","Вайцель Ангелина Александровна (2020). Методы умягчения воды. Наука, образование и культура,  (2 (46)), 7-8.",https://cyberleninka.ru/article/n/metody-umyagcheniya-vody
Анализ влияния газовых выбросов на окружающую среду,"Мирзарахимов Мирсолих Султонович, Искандаров Жахонгир Равшан Угли, Хожиболаев Йодгор Юсуп Угли","Наука, техника и образование",2020,Экологические биотехнологии,"нефть, газ, осушка, углеводородов, адбсорбций, режим работы, сорбент","oil, gas, dehydration, hydrocarbons, absorption, operating mode, sorbent","В статье “Анализ влияния газовых выбросов на окружающую среду” анализируются недостатки и проблемы, возникающие при очистке газа, а также исследуются существующие технологии.В статье существует ряд важных требований для повышения эффективности очистки природного газа. В последние годы загрязнение воздуха в целом снизилось, но сегодня, к сожалению, в стране нет большого города, который бы соответствовал всем санитарным нормам. В статье также рассматриваются экологические факторы и факторы окружающей среды при переработке природных газов, а также излагаются способы устранения этих факторов.","Мирзарахимов Мирсолих Султонович, Искандаров Жахонгир Равшан Угли, Хожиболаев Йодгор Юсуп Угли Анализ влияния газовых выбросов на окружающую среду // Наука, техника и образование. 2020. №2 (66). URL: https://cyberleninka.ru/article/n/analiz-vliyaniya-gazovyh-vybrosov-na-okruzhayuschuyu-sredu (дата обращения: 25.10.2024).","Мирзарахимов Мирсолих Султонович, Искандаров Жахонгир Равшан Угли, & Хожиболаев Йодгор Юсуп Угли (2020). Анализ влияния газовых выбросов на окружающую среду. Наука, техника и образование,  (2 (66)), 5-9.",https://cyberleninka.ru/article/n/analiz-vliyaniya-gazovyh-vybrosov-na-okruzhayuschuyu-sredu
Энергетическая эффективность предварительной обработки синтетического субстрата метантенка в аппарате вихревого слоя,"Ковалев Андрей Александрович, Ковалев Дмитрий Александрович, Григорьев Виктор Степанович",Инженерные технологии и системы,2020,Экологические биотехнологии,"анаэробная обработка, аппарат вихревого слоя, энергетическая эффективность, биоконверсия органических отходов, предварительная обработка органических отходов","anaerobic treatment, vortex layer apparatus, energy efficiency, bioconversion of organic waste, pretreatment of organic waste","Введение. Переработка органических отходов для снижения антропогенной нагрузки на окружающую среду остается актуальной задачей, одним из способов решения которой является использование методов биоконверсии органического вещества органических отходов с получением газообразного энергоносителя и высококачественных органических удобрений. Одной из важнейших стадий анаэробной переработки органических отходов в биореакторах является стадия предварительной подготовки отходов к сбраживанию, которую возможно осуществить рядом методов. Однако в доступной научно-технической литературе сведения о предварительной обработке субстратов в аппарате вихревого слоя представлены в малом количестве. Целью работы является определение энергетической эффективности процесса предварительной обработки органических отходов в аппарате вихревого слоя перед анаэробным сбраживанием. Материалы и методы. Для исследования процесса предварительной обработки органических отходов создана экспериментальная установка. Субстратом для обработки в аппарате вихревого слоя служила смесь модели органической фракции твердых коммунальных отходов и воды холодного водоснабжения в соотношении 300 г/л. Результаты исследования. Проведенные расчеты подтвердили, что условие энергетической эффективности процесса предварительной обработки субстрата метантенка соблюдается, несмотря на дополнительные затраты на электрическую энергию в ходе интеграции этой стадии в систему анаэробной переработки. Обсуждение и заключение. Интеграция процесса предварительной обработки органических отходов в аппарате вихревого слоя перед сбраживанием в анаэробных биореакторах в систему анаэробной обработки органических отходов позволяет повысить как энергетическую эффективность системы, так и степень анаэробного разложения органического вещества органических отходов. Удельное количество энергии биогаза, полученного в процессе сбраживания в анаэробных биореакторах с применением предварительной обработки субстрата в аппарате вихревого слоя, полностью компенсирует затраты энергии на предварительную обработку субстрата в аппарате вихревого слоя. Практическая значимость работы обусловлена повышением удельного выхода товарной энергии на 70 % по сравнению с анаэробной обработкой в традиционных метантенках.","Ковалев Андрей Александрович, Ковалев Дмитрий Александрович, Григорьев Виктор Степанович Энергетическая эффективность предварительной обработки синтетического субстрата метантенка в аппарате вихревого слоя // Вестник МГУ. 2020. №1. URL: https://cyberleninka.ru/article/n/energeticheskaya-effektivnost-predvaritelnoy-obrabotki-sinteticheskogo-substrata-metantenka-v-apparate-vihrevogo-sloya (дата обращения: 25.10.2024).","Ковалев Андрей Александрович, Ковалев Дмитрий Александрович, & Григорьев Виктор Степанович (2020). Энергетическая эффективность предварительной обработки синтетического субстрата метантенка в аппарате вихревого слоя. Инженерные технологии и системы, 30 (1), 92-110.",https://cyberleninka.ru/article/n/energeticheskaya-effektivnost-predvaritelnoy-obrabotki-sinteticheskogo-substrata-metantenka-v-apparate-vihrevogo-sloya
Сорбционные материалы с использованием роторных шлаков и применение их для очистки воды,"Нуруллаев Шавкат Пайзиевич, Рузматов Икром, Саидмирзаева Дилноза Бакдурдиевна",Universum: технические науки,2020,Экологические биотехнологии,"феррит, очистка, ионы тяжелых металлов, сорбция, водопоглощение, эффективность очистки, сорбционная емкость, ферритазация, термогравиметрия, модельные растворы","ferrit, purification, heavy-metal ions, sorption, water absorption, purification efficiency, sorption capacity, ferritization, thermogravimetry, standardized test solution",В данный работе показана возможность использования роторного шлака ( отхода ) аккумуляторного завода г. Джизака в качестве сорбционного материала после проведения ферритазации исходного вещества.,"Нуруллаев Шавкат Пайзиевич, Рузматов Икром, Саидмирзаева Дилноза Бакдурдиевна Сорбционные материалы с использованием роторных шлаков и применение их для очистки воды // Universum: технические науки. 2020. №2-2 (71). URL: https://cyberleninka.ru/article/n/sorbtsionnye-materialy-s-ispolzovaniem-rotornyh-shlakov-i-primenenie-ih-dlya-ochistki-vody (дата обращения: 25.10.2024).","Нуруллаев Шавкат Пайзиевич, Рузматов Икром, & Саидмирзаева Дилноза Бакдурдиевна (2020). Сорбционные материалы с использованием роторных шлаков и применение их для очистки воды. Universum: технические науки,  (2-2 (71)), 64-67.",https://cyberleninka.ru/article/n/sorbtsionnye-materialy-s-ispolzovaniem-rotornyh-shlakov-i-primenenie-ih-dlya-ochistki-vody
О современных технологиях очистки корпусов судов,Т. Ю. Пашеева,Техническая эксплуатация водного транспорта: проблемы и пути развития,2020,Экологические биотехнологии,"судоремонтные предприятия, корпусные конструкции судна, судоремонт, техноло-гия очистки корпусов судов.","ship repair enterprises, ship hull structures, ship repair, ship hull cleaning technology","Степень подготовки поверхности к нанесению защитных покрытий имеет ключевое значение. Главная задача очистки – получение шероховатой поверхности, которая обеспечит хорошее сцепление с лакокрасочными материалами. В судоремонте возможны несколько вариантов организации работ по очистке поверхностей, при этом выбор конкретного варианта определяется как основными направле-ниями деятельности предприятия, так и его производственной программой.",Т Ю. Пашеева О современных технологиях очистки корпусов судов // Техническая эксплуатация водного транспорта: проблемы и пути развития. 2020. №1. URL: https://cyberleninka.ru/article/n/o-sovremennyh-tehnologiyah-ochistki-korpusov-sudov (дата обращения: 25.10.2024).,"Т. Ю. Пашеева (2020). О современных технологиях очистки корпусов судов. Техническая эксплуатация водного транспорта: проблемы и пути развития,  (1), 59-62. doi: 10.24411/9999-038A-2020-00013",https://cyberleninka.ru/article/n/o-sovremennyh-tehnologiyah-ochistki-korpusov-sudov
К вопросу о показателе ассимиляционного потенциала почв как составной части паспорта почв и ассимиляционного потенциала ландшафтов,"Н. М. Исмаилов, С. И. Наджафова, Ф. Кейсеровская, А. С. Гасымова",Аридные экосистемы,2020,Экологические биотехнологии,"почва, загрязнение, ассимиляционный потенциал, коэффициент минерализации, паспорт почв, научные основы природопользования.",,"Объектом исследования являются основные типы почв различных биоклиматических ландшафтов Азербайджана. Основными методами исследований явился сравнительнопочвенно-биологический. Впервые проведена оценка среднегодовых объемов ассимиляции углеводородных загрязнений в почвах различных биоклиматических ландшафтных зон Азербайджана. Результаты проведенных исследований показывают возможность и необходимость введения в показатели «Паспорта» почв данных об их ассимиляционном потенциале в отношении того или иного загрязняющего вещества. Предлагаемый подход, основанный на оценке ассимиляционного потенциала почвенных экосистем как составной и неотъемлемой части экокаркаса страны, и включение этих показателей в паспорта почв позволит объективно оценить уровень деградации почвенного покрова как природного капитала и интенсивность его деградации или восстановления, разработать научные основы природопользования с обеспечением минимальных экологических рисков в соответствии с парадигмой устойчивого развития.","Н М. Исмаилов, С И. Наджафова, Ф Кейсеровская, А С. Гасымова К вопросу о показателе ассимиляционного потенциала почв как составной части паспорта почв и ассимиляционного потенциала ландшафтов // Аридные экосистемы. 2020. №1 (82). URL: https://cyberleninka.ru/article/n/k-voprosu-o-pokazatele-assimilyatsionnogo-potentsiala-pochv-kak-sostavnoy-chasti-pasporta-pochv-i-assimilyatsionnogo-potentsiala (дата обращения: 25.10.2024).","Н. М. Исмаилов, С. И. Наджафова, Ф. Кейсеровская, & А. С. Гасымова (2020). К вопросу о показателе ассимиляционного потенциала почв как составной части паспорта почв и ассимиляционного потенциала ландшафтов. Аридные экосистемы, 26 (1 (82)), 69-75. doi: 10.24411/1993-3916-2020-10085",https://cyberleninka.ru/article/n/k-voprosu-o-pokazatele-assimilyatsionnogo-potentsiala-pochv-kak-sostavnoy-chasti-pasporta-pochv-i-assimilyatsionnogo-potentsiala
