Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
ТЕРРИТОРИАЛЬНОЕ ПЛАНИРОВАНИЕ СОВЕТСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ,Брыкина О.В.,Вестник науки,2024,Социальная и экономическая география,"территориальное планирование, перспективное развитие, генплан, распределение земель","territorial planning, long-term development, general plan, land distribution",В статье рассматриваются изменения целевого назначения земель как способ перспективного развития района.,Брыкина О. В. ТЕРРИТОРИАЛЬНОЕ ПЛАНИРОВАНИЕ СОВЕТСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/territorialnoe-planirovanie-sovetskogo-rayona-altayskogo-kraya (дата обращения: 09.11.2024).,"Брыкина О.В. (2024). ТЕРРИТОРИАЛЬНОЕ ПЛАНИРОВАНИЕ СОВЕТСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ. Вестник науки, 2 (1 (70)), 944-947.",https://cyberleninka.ru/article/n/territorialnoe-planirovanie-sovetskogo-rayona-altayskogo-kraya
ВЛИЯНИЕ ПРИНЦИПОВ УСТОЙЧИВОГО РАЗВИТИЯ НА ТЕРРИТОРИАЛЬНОЕ ПЛАНИРОВАНИЕ ПРИМОРСКИХ ТЕРРИТОРИЙ СТРАН СРЕДИЗЕМНОМОРЬЯ,Осипова В.В.,Вестник науки,2024,Социальная и экономическая география,"туристский сектор, социально-экономические проблемы, рекреационные зоны, средства размещения, устойчивое развитие, территориальное планирование, климат, экологические проблемы","tourism sector, socio-economic problems, recreational areas, accommodation facilities, sustainable development, territorial planning, climate, environmental problems","В статье рассматриваются особенности внедрения современных принципов устойчивого развития в процессе территориального планирования приморских территорий ведущих стран Средиземноморского региона, в котором жизнь граждан во многом зависит от услуг, предоставляемых морскими экосистемами. Это и производство рыбы и морепродуктов, и защита побережья от загрязняющих веществ, а также регулирование климата и т.д. Европейская комиссия и государства-члены ЕС предпринимают многочисленные шаги по борьбе с экологическими проблемами, возникающими в регионе, которые представляют серьезную угрозу для существования людей, продовольственной безопасности и стабильности климата в Средиземноморье.",Осипова В. В. ВЛИЯНИЕ ПРИНЦИПОВ УСТОЙЧИВОГО РАЗВИТИЯ НА ТЕРРИТОРИАЛЬНОЕ ПЛАНИРОВАНИЕ ПРИМОРСКИХ ТЕРРИТОРИЙ СТРАН СРЕДИЗЕМНОМОРЬЯ // Вестник науки. 2024. №1 (70). URL: https://cyberleninka.ru/article/n/vliyanie-printsipov-ustoychivogo-razvitiya-na-territorialnoe-planirovanie-primorskih-territoriy-stran-sredizemnomorya (дата обращения: 09.11.2024).,"Осипова В.В. (2024). ВЛИЯНИЕ ПРИНЦИПОВ УСТОЙЧИВОГО РАЗВИТИЯ НА ТЕРРИТОРИАЛЬНОЕ ПЛАНИРОВАНИЕ ПРИМОРСКИХ ТЕРРИТОРИЙ СТРАН СРЕДИЗЕМНОМОРЬЯ. Вестник науки, 4 (1 (70)), 43-48.",https://cyberleninka.ru/article/n/vliyanie-printsipov-ustoychivogo-razvitiya-na-territorialnoe-planirovanie-primorskih-territoriy-stran-sredizemnomorya
Ключевые риски развития транспортно-логистического проекта «Средний коридор»,Шовгин Ильхам Оглы Каримов,"Общество: политика, экономика, право",2024,Социальная и экономическая география,"связанность, транспортно-логистические маршруты, южный кавказ, закавказье, средний коридор, международные транспортные коридоры, политические риски, шелковый путь, регио-нальная безопасность","connectivity, transport and logistics routes, south caucasus, transcaucasia, middle corridor, international transport corridors, political risks, silk road, regional security","статье рассматривается проблема создания меридианных транспортных логистиче-ских направлений по линии «Китай – Европа» на примере Среднего коридора. Оценивается позиция тран-зитных государств Южного Кавказа в рамках данного маршрута (Азербайджан и Грузия), исследуется со-временное состояние и динамика развития Среднего коридора. Также в статье выделяются и анализиру-ются ключевые риски политического и экономического характера, влияющие на динамику транспортно-ло-гистических связей в регионе в контексте территориальных конфликтов на Южном Кавказе, проведения спе-циальной военной операции на Украине, напряженности в отношениях Китая и коллективного Запада, а также в свете влияния других факторов современной геополитики. Заключается, что позиция России в рас-сматриваемом вопросе является обусловленной собственными интересами, в соответствии с которыми приоритет во взаимодействии отдается Ирану и странам Закавказья, поскольку строительство маршрута «Север – Юг» будет способствовать развитию рассматриваемого региона, обеспечивая стабильность и без-опасность на Южном Кавказе без ущерба для национальной безопасности.","Шовгин Ильхам Оглы Каримов Ключевые риски развития транспортно-логистического проекта «Средний коридор» // Общество: политика, экономика, право. 2024. №1. URL: https://cyberleninka.ru/article/n/klyuchevye-riski-razvitiya-transportno-logisticheskogo-proekta-sredniy-koridor (дата обращения: 09.11.2024).","Шовгин Ильхам Оглы Каримов (2024). Ключевые риски развития транспортно-логистического проекта «Средний коридор». Общество: политика, экономика, право,  (1), 48-53. doi: 10.24158/pep.2024.1.6",https://cyberleninka.ru/article/n/klyuchevye-riski-razvitiya-transportno-logisticheskogo-proekta-sredniy-koridor
ДИФФЕРЕНЦИАЦИЯ РЕГИОНОВ И ПОЛИТИКА ВЫРАВНИВАНИЯ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ,Базылева Мария Анатольевна,Экономика и парадигма нового времени,2024,Социальная и экономическая география,"социально-экономический дифференциация регионов, оценка дифференциация, регионы, неоднородность экономики, факторы «первой» и «второй» природы, теория п. кругмана, социально-экономический рост, конкурентоспособность субъектов","socio-economic differentiation of regions, assessment of differentiation, regions, heterogeneity of the economy, factors of the ""first"" and ""second"" nature, p. krugman's theory, socio-economic growth, competitiveness of subjects","Современный этап развития экономики Российской Федерации характеризуется наличием явной социально экономический дифференциацией регионов. Основой такого неравенства развития регионов выступает множество внутренних и внешних экономических факторов, которые часто связаны с ресурсной обеспеченностью регионов и приводят к различию уровней благосостояния. Статья посвящена анализу факторов, влияющих на экономическую дифференциацию регионов, с учетом теории П. Кругмана о факторах «первой» и «второй» природы. Автор рассматривает различные подходы к классификации факторов, а также специфику России как страны с большой территорией и разными экологическими зонами. Автор делает вывод о необходимости учета всех факторов, как объективных, так и субъективных, при разработке региональной политики. Данная проблема была и остается актуальной как по мере трансформации российской экономики, так и во взаимосвязи с другими проблемами системного характера.",Базылева Мария Анатольевна ДИФФЕРЕНЦИАЦИЯ РЕГИОНОВ И ПОЛИТИКА ВЫРАВНИВАНИЯ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ // Экономика и парадигма нового времени. 2024. №1 (22). URL: https://cyberleninka.ru/article/n/differentsiatsiya-regionov-i-politika-vyravnivaniya-sotsialno-ekonomicheskogo-razvitiya-rossiyskoy-federatsii (дата обращения: 09.11.2024).,"Базылева Мария Анатольевна (2024). ДИФФЕРЕНЦИАЦИЯ РЕГИОНОВ И ПОЛИТИКА ВЫРАВНИВАНИЯ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ. Экономика и парадигма нового времени,  (1 (22)), 5-19.",https://cyberleninka.ru/article/n/differentsiatsiya-regionov-i-politika-vyravnivaniya-sotsialno-ekonomicheskogo-razvitiya-rossiyskoy-federatsii
УНИВЕРСАЛЬНЫЙ СУХОГРУЗ-КОНТЕЙНЕРОВОЗ ПРОЕКТА 00108,Арюпов А.Т.,Вестник науки,2024,Социальная и экономическая география,"универсальный сухогруз, контейнеровоз, проект 00108, мтк «север-юг», оск","universal cargo ship, container ship, project 00108, mtk north-south, usc","В настоящее время правительство России уделяет все большее внимание развитию МТК «Север-Юг». Астраханская область – ключевой участок этого маршрута и несмотря на санкции, наблюдается рост грузооборота через астраханские терминалы. Для развития МТК «Север-Юг» нижегородским конструкторским бюро «Вымпел» (входит в ОСК), разработан проект 00108 ""универсальный сухогруз-контейнеровоз"". На производственной площадке «Лотос» Южного центра судостроения и судоремонта (входит в ОСК) 04.05.2023г., состоялась торжественная церемония закладки первого из четырех контейнеровозов проекта 00108. Контракт на строительство и поставку судов подписан с АО «ГТЛК». Универсальные контейнеровозы не строились в нашей стране никогда – ни в современности, ни во времена Советского Союза.",Арюпов А. Т. УНИВЕРСАЛЬНЫЙ СУХОГРУЗ-КОНТЕЙНЕРОВОЗ ПРОЕКТА 00108 // Вестник науки. 2024. №2 (71). URL: https://cyberleninka.ru/article/n/universalnyy-suhogruz-konteynerovoz-proekta-00108 (дата обращения: 09.11.2024).,"Арюпов А.Т. (2024). УНИВЕРСАЛЬНЫЙ СУХОГРУЗ-КОНТЕЙНЕРОВОЗ ПРОЕКТА 00108. Вестник науки, 2 (2 (71)), 529-533.",https://cyberleninka.ru/article/n/universalnyy-suhogruz-konteynerovoz-proekta-00108
ЛАТИНОАМЕРИКАНСКИЙ ВЕКТОР МЕЖДУНАРОДНОГО СОТРУДНИЧЕСТВА ЕАЭС (НА ПРИМЕ-РЕ МЕРКОСУР),Алексанян Лариса Мгеровна,"Социальные и гуманитарные науки. Отечественная и зарубежная литература. Сер. 9, Востоковедение и африканистика: Реферативный журнал",2024,Социальная и экономическая география,"еаэс, меркосур, торгово-экономичес-кое сотрудничество, латинская америка и карибский бассейн","eaeu, mercosur, trade and economic relations, latin america and the caribbean","Данная статья посвящена изучению латиноаме-риканского вектора международного взаимодействия ЕАЭС. Про-анализирована социально-экономическая ситуация в государствах евразийского интеграционного объединения и латиноамерикан-ских странах. Особое внимание уделено изучению торгово-эконо-мического сотрудничества между Евразийским экономическим союзом (ЕАЭС) и Южноамериканским общим рынком (МЕРКОСУР). Подчеркивается, что фундаментом наращивания этого диалога стали взаимодополняемость экономик двух объединений и стрем-ление стран-участниц к диверсификации внешнеэкономических связей. Сделан вывод о том, что потенциал торгово-экономичес-кого сотрудничества ЕАЭС–МЕРКОСУР огромен и используется не в полной мере.","Алексанян Лариса Мгеровна ЛАТИНОАМЕРИКАНСКИЙ ВЕКТОР МЕЖДУНАРОДНОГО СОТРУДНИЧЕСТВА ЕАЭС (НА ПРИМЕ-РЕ МЕРКОСУР) // Социальные и гуманитарные науки. Отечественная и зарубежная литература. Сер. 9, Востоковедение и африканистика: Реферативный журнал. 2024. №1. URL: https://cyberleninka.ru/article/n/latinoamerikanskiy-vektor-mezhdunarodnogo-sotrudnichestva-eaes-na-prime-re-merkosur (дата обращения: 09.11.2024).","Алексанян Лариса Мгеровна (2024). ЛАТИНОАМЕРИКАНСКИЙ ВЕКТОР МЕЖДУНАРОДНОГО СОТРУДНИЧЕСТВА ЕАЭС (НА ПРИМЕ-РЕ МЕРКОСУР). Социальные и гуманитарные науки. Отечественная и зарубежная литература. Сер. 9, Востоковедение и африканистика: Реферативный журнал,  (1), 5-19. doi: 10.31249/RVA/2024.01.01",https://cyberleninka.ru/article/n/latinoamerikanskiy-vektor-mezhdunarodnogo-sotrudnichestva-eaes-na-prime-re-merkosur
ОЗЕЛЕНЕНИЕ И СОЗДАНИЕ КУЛЬТУРНЫХ ЛАНДШАФТОВ В ГОРОДЕ ЯКУТСКЕ,"М.Д. Очилдиева, И.В. Ядрихинский",Международный журнал гуманитарных и естественных наук,2024,Социальная и экономическая география,"озеленение, якутск, культурные ландшафты, парк, зона отдыха, аллея","greening, yakutsk, cultural landscapes, park, recreation area","В данной статье рассматриваются идеи и проекты по озеленению территории города Якутска с подробными примерами уже взятых в работу и завершенных проектов по высадке растительности. Также аргументируется важность заниматься благоустройством города путем высадки деревьев и других видов растений, включая их воздействие на улучшение качества воздуха, смягчение климата, создание природных зон отдыха и поддержание биоразнообразия.","М Д. Очилдиева, И В. Ядрихинский ОЗЕЛЕНЕНИЕ И СОЗДАНИЕ КУЛЬТУРНЫХ ЛАНДШАФТОВ В ГОРОДЕ ЯКУТСКЕ // Международный журнал гуманитарных и естественных наук. 2024. №1-1 (88). URL: https://cyberleninka.ru/article/n/ozelenenie-i-sozdanie-kulturnyh-landshaftov-v-gorode-yakutske (дата обращения: 09.11.2024).","М.Д. Очилдиева, & И.В. Ядрихинский (2024). ОЗЕЛЕНЕНИЕ И СОЗДАНИЕ КУЛЬТУРНЫХ ЛАНДШАФТОВ В ГОРОДЕ ЯКУТСКЕ. Международный журнал гуманитарных и естественных наук,  (1-1 (88)), 27-31. doi: 10.24412/2500-1000-2024-1-1-27-31",https://cyberleninka.ru/article/n/ozelenenie-i-sozdanie-kulturnyh-landshaftov-v-gorode-yakutske
ТЕНДЕНЦИИ И ПУТИ РАЗВИТИЯ ТУРИСТИЧЕСКОЙ ОТРАСЛИ В ВОЛГОГРАДСКОЙ ОБЛАСТИ,К.О. Пименова,Международный журнал гуманитарных и естественных наук,2024,Социальная и экономическая география,"туризм, инновация, исторические места, памятники, туристическая отрасль","tourism, innovation, historical sites, monuments, tourism industry","В последние несколько лет существенно вырос уровень внутреннего туризма в Российской Федерации. Волгоградская область не стала исключением. Регион обладает историческими местами и памятниками, а развитие туристической отрасли является одним из направлений экономической политики региона. За последний год поток туристов в регионе вырос на 12%. В статье указываются особенности развития туризма в регионе, основные проблемы, которые существуют в данной сфере в Волгоградской области, а также механизмы управления, которые способствуют решению данных проблем.",К О. Пименова ТЕНДЕНЦИИ И ПУТИ РАЗВИТИЯ ТУРИСТИЧЕСКОЙ ОТРАСЛИ В ВОЛГОГРАДСКОЙ ОБЛАСТИ // Международный журнал гуманитарных и естественных наук. 2024. №1-4 (88). URL: https://cyberleninka.ru/article/n/tendentsii-i-puti-razvitiya-turisticheskoy-otrasli-v-volgogradskoy-oblasti (дата обращения: 09.11.2024).,"К.О. Пименова (2024). ТЕНДЕНЦИИ И ПУТИ РАЗВИТИЯ ТУРИСТИЧЕСКОЙ ОТРАСЛИ В ВОЛГОГРАДСКОЙ ОБЛАСТИ. Международный журнал гуманитарных и естественных наук,  (1-4 (88)), 149-151. doi: 10.24412/2500-1000-2024-1-4-149-151",https://cyberleninka.ru/article/n/tendentsii-i-puti-razvitiya-turisticheskoy-otrasli-v-volgogradskoy-oblasti
РЕТРОСПЕКТИВНЫЙ АНАЛИЗ ФУНДАМЕНТАЛЬНОЙ ДОСТУПНОСТИ ЖИЛЬЯ В КАЛУЖСКОЙ ОБЛАСТИ,С.Н. Гагарина,Экономика и бизнес: теория и практика,2024,Социальная и экономическая география,"обеспеченность жильем, доступность жилья, коэффициент доступности жилья, калужская область, ретроспективный анализ","housing security, housing affordability, housing affordability coefficient, kaluga region, retrospective analysis","В статье показано, что достижение целевого показателя национального проекта в сфере жилья и городской среды – увеличение объемов жилищного строительства – необходимо рассматривать через призму доступности жилья. Проведен ретроспективный анализ фундаментальной доступности жилья на основе коэффициента доступности жилья. Социально-экономическая значимость проблемы и многообразие факторов, влияющих на доступность жилья, обусловливают актуальность мониторинга, оценки и прогнозирования доступности жилья.",С Н. Гагарина РЕТРОСПЕКТИВНЫЙ АНАЛИЗ ФУНДАМЕНТАЛЬНОЙ ДОСТУПНОСТИ ЖИЛЬЯ В КАЛУЖСКОЙ ОБЛАСТИ // Экономика и бизнес: теория и практика. 2024. №1-1 (107). URL: https://cyberleninka.ru/article/n/retrospektivnyy-analiz-fundamentalnoy-dostupnosti-zhilya-v-kaluzhskoy-oblasti (дата обращения: 09.11.2024).,"С.Н. Гагарина (2024). РЕТРОСПЕКТИВНЫЙ АНАЛИЗ ФУНДАМЕНТАЛЬНОЙ ДОСТУПНОСТИ ЖИЛЬЯ В КАЛУЖСКОЙ ОБЛАСТИ. Экономика и бизнес: теория и практика,  (1-1 (107)), 50-53. doi: 10.24412/2411-0450-2024-1-1-50-53",https://cyberleninka.ru/article/n/retrospektivnyy-analiz-fundamentalnoy-dostupnosti-zhilya-v-kaluzhskoy-oblasti
ПЕРСПЕКТИВЫ РАЗВИТИЯ ВОЗОБНОВЛЯЕМЫХ ИСТОЧНИКОВ ЭНЕРГИИ В ИРАКЕ,Мзедави Сажжад Касим Авад,Экономика и бизнес: теория и практика,2024,Социальная и экономическая география,"возобновляемые источники, экономический рост, устойчивое развитие, энергоэффективность, перспективы развития","renewable sources, economic growth, sustainable development, energy efficiency, development prospects","Развитие возобновляемых источников становится одним из принципиально важных вопросов в мире. Соответственно, важно решить, являются ли проекты в области возобновляемых источников энергии в Ираке экономически осуществимыми и реалистичными, а также учесть значительные проблемы, с которыми столкнется государство в будущем. В данной статье рассматривается актуальная на сегодняшний день ситуация в сфере возобновляемых источников, а также рассматриваются ближайшие перспективы.",Мзедави Сажжад Касим Авад ПЕРСПЕКТИВЫ РАЗВИТИЯ ВОЗОБНОВЛЯЕМЫХ ИСТОЧНИКОВ ЭНЕРГИИ В ИРАКЕ // Экономика и бизнес: теория и практика. 2024. №1-2 (107). URL: https://cyberleninka.ru/article/n/perspektivy-razvitiya-vozobnovlyaemyh-istochnikov-energii-v-irake (дата обращения: 09.11.2024).,"Мзедави Сажжад Касим Авад (2024). ПЕРСПЕКТИВЫ РАЗВИТИЯ ВОЗОБНОВЛЯЕМЫХ ИСТОЧНИКОВ ЭНЕРГИИ В ИРАКЕ. Экономика и бизнес: теория и практика,  (1-2 (107)), 31-34. doi: 10.24412/2411-0450-2024-2-1-31-34",https://cyberleninka.ru/article/n/perspektivy-razvitiya-vozobnovlyaemyh-istochnikov-energii-v-irake
